World Rank,Institution,Country,Share,Count,Year,Publication share
37,"University of California, San Francisco (UCSF)",United States of America (USA),235.14,697,2020,0.44137668999145113
38,Nankai University (NKU),China,230.53,565,2020,0.35778741728144886
39,The Pennsylvania State University (Penn State),United States of America (USA),227.29,609,2020,0.3856505081847829
40,Washington University in St. Louis (WUSTL),United States of America (USA),221.64,572,2020,0.3622201817433429
41,Southern University of Science and Technology (SUSTech),China,221.61,591,2020,0.37425197099705537
42,Nanyang Technological University (NTU),Singapore,221.41,571,2020,0.36158692967735806
43,Sichuan University (SCU),China,220.61,396,2020,0.25076781813000665
44,Duke University,United States of America (USA),218.93,704,2020,0.44580945445334513
45,University of Illinois at Urbana-Champaign (UIUC),United States of America (USA),216.17,574,2020,0.3634866858753127
46,University of Minnesota (UMN),United States of America (USA),214.59,664,2020,0.42047937181395056
47,UCL,United Kingdom (UK),211.46,919,2020,0.5819586486400912
48,University of Wisconsin-Madison (UW-Madison),United States of America (USA),209.27,620,2020,0.39261628091061646
49,Wuhan University (WHU),China,208.92,496,2020,0.31409302472849315
50,New York University (NYU),United States of America (USA),202.12,639,2020,0.4046480701643289
51,Seoul National University (SNU),South Korea,199.8,552,2020,0.34955514042364566
52,"University of California, Santa Barbara (UCSB)",United States of America (USA),197.29,579,2020,0.366652946205237
53,Soochow University,China,197.13,424,2020,0.2684988759775829
54,Xiamen University (XMU),China,195.41,395,2020,0.2501345660640218
55,"University of California, Davis (UC Davis)",United States of America (USA),190.52,583,2020,0.36918595446917646
56,Korea Advanced Institute of Science and Technology (KAIST),South Korea,189.28,400,2020,0.25330082639394613
57,Osaka University,Japan,185.04,520,2020,0.32929107431212995
58,Jilin University (JLU),China,180.65,415,2020,0.2627996073837191
59,Texas A&M University (TAMU),United States of America (USA),177.77,519,2020,0.3286578222461451
60,The University of North Carolina at Chapel Hill (UNC),United States of America (USA),175.53,522,2020,0.33055757844409966
61,Tianjin University (TJU),China,173.64,662,2020,0.41921286768198085
62,Weizmann Institute of Science (WIS),Israel,173.55,428,2020,0.2710318842415223
63,Huazhong University of Science and Technology (HUST),China,171.84,461,2020,0.29192920241902287
64,University of Colorado Boulder (CU-Boulder),United States of America (USA),167.53,646,2020,0.40908083462622297
65,Ludwig Maximilians University of Munich (LMU),Germany,162.96,649,2020,0.41098059082417754
66,Tohoku University,Japan,162.21,481,2020,0.3045942437387202
67,McGill University,Canada,161.48,584,2020,0.3698192065351613
68,Technical University of Munich (TUM),Germany,161.35,631,2020,0.39958205363645005
69,The University of Queensland (UQ),Australia,160.78,522,2020,0.33055757844409966
70,University of Pittsburgh (Pitt),United States of America (USA),160.31,520,2020,0.32929107431212995
71,Purdue University,United States of America (USA),159.44,431,2020,0.27293164043947693
72,The Ohio State University (OSU),United States of America (USA),159.15,570,2020,0.3609536776113732
73,University of Copenhagen (UCPH),Denmark,158.41,665,2020,0.4211126238799354
74,"University of California, Irvine (UCI)",United States of America (USA),156.03,479,2020,0.30332773960675047
75,"University of Maryland, College Park (UMCP)",United States of America (USA),155.95,661,2020,0.41857961561599594
76,University of New South Wales (UNSW Sydney),Australia,155.01,544,2020,0.34448912389576675
77,The University of Texas Southwestern Medical Center (UT Southwestern Medical Center),United States of America (USA),152.36,316,2020,0.20010765285121743
78,Georgia Institute of Technology (Georgia Tech),United States of America (USA),149.61,458,2020,0.2900294462210683
79,The University of Manchester (UoM),United Kingdom (UK),148.4,570,2020,0.3609536776113732
80,Nagoya University,Japan,147.44,417,2020,0.2640661115156888
81,The University of Edinburgh,United Kingdom (UK),143.33,657,2020,0.41604660735205645
82,University of Zurich (UZH),Switzerland,143.13,652,2020,0.41288034702213217
83,University of Münster (WWU),Germany,140.77,362,2020,0.22923724788652122
84,Hunan University (HNU),China,140.66,295,2020,0.18680935946553526
85,East China Normal University (ECNU),China,140.07,326,2020,0.20644017351106608
86,Heidelberg University (Uni Heidelberg),Germany,138.21,625,2020,0.39578254124054085
87,University of Bristol (UoB),United Kingdom (UK),137.69,471,2020,0.29826172307887155
88,Shandong University (SDU),China,135.8,596,2020,0.3774182313269797
89,Tokyo Institute of Technology (Tokyo Tech),Japan,134.95,385,2020,0.24380204540417313
90,"Rutgers, The State University of New Jersey (RU)",United States of America (USA),134.69,505,2020,0.319792293322357
91,Vanderbilt University (VU),United States of America (USA),134.27,427,2020,0.2703986321755375
92,University of Southern California (USC),United States of America (USA),132.42,414,2020,0.26216635531773425
93,Karlsruhe Institute of Technology (KIT),Germany,132.41,430,2020,0.2722983883734921
94,The University of British Columbia (UBC),Canada,132.32,519,2020,0.3286578222461451
95,The University of Utah (Utah),United States of America (USA),130.37,357,2020,0.2260709875565969
96,Harbin Institute of Technology (HIT),China,130.25,302,2020,0.19124212392742931
97,Utrecht University (UU),Netherlands,129.29,631,2020,0.39958205363645005
98,The Hong Kong University of Science and Technology (HKUST),China,127.97,378,2020,0.23936928094227908
99,Tongji University,China,127.16,433,2020,0.2741981445714467
100,Hebrew University of Jerusalem (HUJI),Israel,126.65,300,2020,0.1899756197954596
101,Monash University,Australia,125.43,540,2020,0.34195611563182726
102,Beijing Normal University (BNU),China,125.36,407,2020,0.2577335908558402
103,University of Würzburg (JMU),Germany,125.12,364,2020,0.23050375201849096
104,Lanzhou University (LZU),China,124.72,297,2020,0.188075863597505
105,South China University of Technology (SCUT),China,123.26,319,2020,0.20200740904917203
106,University of Florida (UF),United States of America (USA),121.55,533,2020,0.3375233511699332
107,Technion-Israel Institute of Technology (IIT),Israel,121.38,284,2020,0.17984358673970174
108,Arizona State University (ASU),United States of America (USA),119.95,410,2020,0.25963334705379476
109,Emory University,United States of America (USA),118.8,369,2020,0.23367001234841528
110,The University of Arizona (Arizona),United States of America (USA),118.4,446,2020,0.2824304214292499
111,Uppsala University (UU),Sweden,116.53,489,2020,0.30966026026659915
112,University of Geneva (UNIGE),Switzerland,115.01,386,2020,0.24443529747015796
113,King Abdullah University of Science and Technology (KAUST),Saudi Arabia,114.89,278,2020,0.17604407434379254
114,Hokkaido University,Japan,113.26,289,2020,0.18300984706962606
115,Xi'an Jiaotong University (XJTU),China,113.14,311,2020,0.1969413925212931
116,Catholic University of Leuven (KU Leuven),Belgium,112.78,401,2020,0.253934078459931
117,Boston University (BU),United States of America (USA),112.44,546,2020,0.3457556280277364
118,Indiana University (IU),United States of America (USA),112.25,392,2020,0.24823480986606716
119,Rice University,United States of America (USA),111.61,402,2020,0.25456733052591585
120,Kyushu University,Japan,111.36,339,2020,0.2146724503688693
121,The University of Melbourne (UniMelb),Australia,110.75,580,2020,0.3672861982712219
122,East China University of Science and Technology (ECUST),China,108.76,268,2020,0.1697115536839439
123,University of Groningen (RUG),Netherlands,107.41,412,2020,0.2608998511857645
124,Sorbonne University,France,104.53,1108,2020,0.7016432891112308
125,University of Göttingen,Germany,103.86,376,2020,0.23810277681030934
126,Zhengzhou University (ZZU),China,103.38,420,2020,0.26596586771364344
127,University of Erlangen-Nuremberg (FAU),Germany,103.0,309,2020,0.19567488838932337
128,"University of California, Riverside (UCR)",United States of America (USA),102.73,320,2020,0.20264066111515688
129,University of Alberta (U of A),Canada,101.27,359,2020,0.22733749168856662
130,University of Basel (UB),Switzerland,99.54,330,2020,0.2089731817750055
131,Free University of Berlin (FU Berlin),Germany,99.51,588,2020,0.3723522147991008
132,National Taiwan University (NTU),Taiwan,99.06,366,2020,0.23177025615046068
133,RWTH Aachen University (RWTH Aachen),Germany,98.84,402,2020,0.25456733052591585
134,Yonsei University,South Korea,96.57,317,2020,0.20074090491720228
135,University of Virginia (UVA),United States of America (USA),95.42,340,2020,0.21530570243485417
136,The University of Hong Kong (HKU),China,94.91,419,2020,0.2653326156476586
137,Karolinska Institute (KI),Sweden,94.89,418,2020,0.2646993635816737
138,Dresden University of Technology (TU Dresden),Germany,94.54,446,2020,0.2824304214292499
139,Nanjing Tech University (NanjingTech),China,93.8,185,2020,0.11715163220720008
140,City University of Hong Kong (CityU),China,93.41,314,2020,0.1988411487192477
141,Dalian University of Technology (DUT),China,92.81,202,2020,0.12791691732894278
142,The Chinese University of Hong Kong (CUHK),China,92.57,381,2020,0.24126903714023368
143,Stockholm University,Sweden,91.35,494,2020,0.31282652059652344
144,Aarhus University (AU),Denmark,91.17,304,2020,0.19250862805939906
145,Tel Aviv University (TAU),Israel,90.79,317,2020,0.20074090491720228
146,Pohang University of Science and Technology (POSTECH),South Korea,90.72,254,2020,0.16084602476015578
147,Ulsan National Institute of Science and Technology (UNIST),South Korea,90.69,221,2020,0.13994870658265524
148,Delft University of Technology (TU Delft),Netherlands,90.48,267,2020,0.16907830161795903
149,Brown University,United States of America (USA),90.04,303,2020,0.19187537599341417
150,State University of New York at Stony Brook (SUNY Stony Brook),United States of America (USA),89.87,377,2020,0.23873602887629422
151,Central South University (CSU),China,88.77,275,2020,0.17414431814583795
152,Baylor College of Medicine (BCM),United States of America (USA),87.75,359,2020,0.22733749168856662
153,Australian National University (ANU),Australia,87.71,328,2020,0.20770667764303583
154,University of Tübingen (Uni Tübingen),Germany,87.61,365,2020,0.23113700408447582
155,Leiden University,Netherlands,86.37,360,2020,0.2279707437545515
156,King's College London (KCL),United Kingdom (UK),86.2,417,2020,0.2640661115156888
157,University of Freiburg (Uni Freiburg),Germany,85.87,292,2020,0.18490960326758066
158,Lund University (LU),Sweden,85.66,372,2020,0.23556976854636988
159,Michigan State University (MSU),United States of America (USA),85.43,394,2020,0.24950131399803693
160,Beijing Institute of Technology (BIT),China,84.94,210,2020,0.13298293385682172
161,North Carolina State University (NCSU),United States of America (USA),84.28,278,2020,0.17604407434379254
162,The Rockefeller University,United States of America (USA),84.17,244,2020,0.15451350410030715
163,Shenzhen University (SZU),China,84.13,269,2020,0.17034480574992877
164,Southeast University (SEU),China,83.88,210,2020,0.13298293385682172
165,University of Illinois at Chicago (UIC),United States of America (USA),82.54,300,2020,0.1899756197954596
166,"Icahn School of Medicine at Mount Sinai (ISMMS), MSHS",United States of America (USA),82.51,329,2020,0.20833992970902068
167,University of Massachusetts Amherst (UMass Amherst),United States of America (USA),82.36,292,2020,0.18490960326758066
168,Virginia Polytechnic Institute and State University (Virginia Tech),United States of America (USA),82.03,230,2020,0.145647975176519
169,University of Leeds,United Kingdom (UK),81.43,293,2020,0.18554285533356552
170,Ghent University (UGent),Belgium,80.69,321,2020,0.20327391318114177
171,Technical University of Denmark (DTU),Denmark,79.97,283,2020,0.17921033467371686
172,Durham University,United Kingdom (UK),79.94,265,2020,0.1678117974859893
173,University of Hamburg (UHH),Germany,79.51,436,2020,0.27609790076940127
174,University of Rochester (UR),United States of America (USA),79.49,269,2020,0.17034480574992877
175,University of Paris,France,79.22,856,2020,0.5420637684830446
176,Colorado State University,United States of America (USA),79.17,263,2020,0.16654529335401957
177,Beijing University of Chemical Technology (BUCT),China,78.79,192,2020,0.12158439666909414
178,University of Barcelona (UB),Spain,77.31,415,2020,0.2627996073837191
179,Johannes Gutenberg University Mainz (JGU),Germany,77.07,364,2020,0.23050375201849096
180,Indian Institute of Science (IISc),India,76.97,193,2020,0.12221764873507898
181,Southwest University (SWU),China,76.68,121,2020,0.07662349998416869
182,Beihang University (BUAA),China,76.54,352,2020,0.22290472722667257
183,The University of Texas MD Anderson Cancer Center,United States of America (USA),76.52,329,2020,0.20833992970902068
184,University of Amsterdam (UvA),Netherlands,76.13,584,2020,0.3698192065351613
185,University of Southampton (Soton),United Kingdom (UK),76.08,332,2020,0.21023968590697528
186,University of Oslo (UiO),Norway,75.99,351,2020,0.2222714751606877
187,Jinan University (JNU),China,75.97,200,2020,0.12665041319697307
188,China University of Geosciences (CUG),China,75.31,213,2020,0.13488269005477632
189,Radboud University Nijmegen (RU),Netherlands,75.29,497,2020,0.314726276794478
190,University of Bern (UniBE),Switzerland,75.28,340,2020,0.21530570243485417
191,Goethe University Frankfurt (GU),Germany,75.26,291,2020,0.1842763512015958
192,Chongqing University (CQU),China,74.92,171,2020,0.10828610328341196
193,The University of Sydney (USYD),Australia,74.72,376,2020,0.23810277681030934
194,Korea University,South Korea,74.56,316,2020,0.20010765285121743
195,University of Vienna,Austria,74.22,299,2020,0.18934236772947471
196,Iowa State University,United States of America (USA),74.04,230,2020,0.145647975176519
197,The University of Warwick (Warwick),United Kingdom (UK),74.0,333,2020,0.2108729379729601
198,University of Glasgow,United Kingdom (UK),73.87,412,2020,0.2608998511857645
199,Sungkyunkwan University (SKKU),South Korea,73.37,280,2020,0.17731057847576226
200,"University of California, Santa Cruz (UCSC)",United States of America (USA),72.62,340,2020,0.21530570243485417
201,Shandong Normal University (SDNU),China,72.58,141,2020,0.08928854130386601
202,Florida State University (FSU),United States of America (USA),71.47,394,2020,0.24950131399803693
203,University of Waterloo,Canada,71.36,184,2020,0.11651838014121521
204,University of Cincinnati (UC),United States of America (USA),71.2,250,2020,0.15831301649621632
205,ShanghaiTech University,China,70.41,280,2020,0.17731057847576226
206,University of Lausanne (UNIL),Switzerland,70.08,241,2020,0.15261374790235255
207,University of Regensburg (UR),Germany,69.98,174,2020,0.11018585948136655
208,Autonomous University of Madrid (UAM),Spain,69.83,387,2020,0.24506854953614288
209,Carnegie Mellon University (CMU),United States of America (USA),68.89,267,2020,0.16907830161795903
210,Humboldt University of Berlin (HU Berlin),Germany,68.47,569,2020,0.36032042554538835
211,Queen Mary University of London (QMUL),United Kingdom (UK),68.32,302,2020,0.19124212392742931
212,University of Bonn (Uni Bonn),Germany,68.24,331,2020,0.20960643384099042
213,University of Oregon (UO),United States of America (USA),66.57,194,2020,0.12285090080106387
214,University of Connecticut (UConn),United States of America (USA),65.83,216,2020,0.1367824462527309
215,University of Cologne (UoC),Germany,65.52,262,2020,0.1659120412880347
216,Eindhoven University of Technology (TU/e),Netherlands,65.48,158,2020,0.10005382642560871
217,The University of Sheffield,United Kingdom (UK),65.23,269,2020,0.17034480574992877
218,University of Calgary (U of C),Canada,64.79,259,2020,0.16401228509008012
219,Chalmers University of Technology (Chalmers),Sweden,64.72,201,2020,0.12728366526295792
220,University of Delaware (UD),United States of America (USA),64.15,177,2020,0.11208561567932115
221,University of Science and Technology Beijing (USTB),China,64.11,167,2020,0.10575309501947251
222,The University of Georgia (UGA),United States of America (USA),63.8,189,2020,0.11968464047113954
223,The University of Nottingham (UoN),United Kingdom (UK),63.62,233,2020,0.1475477313744736
224,Technische Universität Berlin (TU Berlin),Germany,63.47,210,2020,0.13298293385682172
225,University of Helsinki,Finland,63.27,386,2020,0.24443529747015796
226,The University of Iowa (UI),United States of America (USA),63.21,315,2020,0.19947440078523257
227,Case Western Reserve University (CWRU),United States of America (USA),62.7,211,2020,0.13361618592280655
228,University of Exeter,United Kingdom (UK),62.04,243,2020,0.15388025203432226
229,University of Liverpool,United Kingdom (UK),61.53,363,2020,0.22987049995250608
230,University of Notre Dame (ND),United States of America (USA),60.75,224,2020,0.1418484627806098
231,University of Houston (UH),United States of America (USA),60.6,219,2020,0.1386822024506855
232,University of Paris-Sud (UPSud),France,60.58,665,2020,0.4211126238799354
233,Fuzhou University (FZU),China,60.23,122,2020,0.07725675205015357
234,KTH Royal Institute of Technology,Sweden,60.04,408,2020,0.25836684292182505
235,University of the Basque Country (UPV/EHU),Spain,60.0,301,2020,0.19060887186144446
236,University of Birmingham (UB),United Kingdom (UK),59.82,340,2020,0.21530570243485417
237,Shaanxi Normal University (SNNU),China,59.74,119,2020,0.07535699585219897
238,Ruhr University Bochum (RUB),Germany,59.36,213,2020,0.13488269005477632
239,The City University of New York (CUNY),United States of America (USA),59.09,204,2020,0.12918342146091252
240,Zhejiang University of Technology (ZJUT),China,58.24,134,2020,0.08485577684197194
241,The Hong Kong Polytechnic University (PolyU),China,58.02,220,2020,0.13931545451667035
242,University of Montreal (UdeM),Canada,57.08,363,2020,0.22987049995250608
243,University of São Paulo (USP),Brazil,56.51,293,2020,0.18554285533356552
244,University of Ottawa (uOttawa),Canada,56.21,181,2020,0.11461862394326061
245,Northwest University (NWU),China,55.76,117,2020,0.07409049172022923
246,Chinese Academy of Medical Sciences & Peking Union Medical College (CAMS & PUMC),China,55.58,198,2020,0.12538390906500332
247,The University of Tennessee at Knoxville (UTK),United States of America (USA),55.12,302,2020,0.19124212392742931
248,University of Valencia (UV),Spain,55.05,323,2020,0.20454041731311148
249,"University at Buffalo, The State University of New York (SUNY UB)",United States of America (USA),54.78,153,2020,0.09688756609568439
250,Shanghai University (SHU),China,54.63,139,2020,0.08802203717189627
251,Tufts University,United States of America (USA),54.46,249,2020,0.15767976443023146
252,University of Hawai'i at Manoa (UH Mānoa),United States of America (USA),54.23,312,2020,0.19757464458727797
253,University of Massachusetts Medical School (UMass Medical School),United States of America (USA),54.17,227,2020,0.1437482189785644
254,University of Strasbourg,France,54.14,407,2020,0.2577335908558402
255,Homi Bhabha National Institute (HBNI),India,53.48,202,2020,0.12791691732894278
256,Washington State University (WSU),United States of America (USA),52.35,175,2020,0.11081911154735144
257,University of Electronic Science and Technology of China (UESTC),China,52.35,154,2020,0.09752081816166924
258,Indian Institute of Technology Bombay (IIT Bombay),India,52.05,124,2020,0.07852325618212329
259,University of Miami (UM),United States of America (USA),51.12,180,2020,0.11398537187727575
260,Oregon State University,United States of America (USA),51.11,190,2020,0.12031789253712441
261,Wageningen University & Research (WUR),Netherlands,50.79,200,2020,0.12665041319697307
262,Philipps University of Marburg (Uni Marburg),Germany,50.64,143,2020,0.09055504543583573
263,University of Tsukuba,Japan,50.62,239,2020,0.15134724377038278
264,Keio University,Japan,49.69,142,2020,0.08992179336985087
265,Oregon Health and Science University (OHSU),United States of America (USA),49.6,173,2020,0.10955260741538168
266,National Autonomous University of Mexico (UNAM),Mexico,49.59,206,2020,0.13044992559288224
267,University of Toulouse,France,49.43,392,2020,0.24823480986606716
268,University of St Andrews,United Kingdom (UK),49.22,199,2020,0.12601716113098818
269,VU Amsterdam,Netherlands,49.21,456,2020,0.2887629420890986
270,Northwestern Polytechnical University (NPU),China,48.84,181,2020,0.11461862394326061
271,The University of Dublin,Ireland,48.79,173,2020,0.10955260741538168
272,Northeast Normal University (NENU),China,48.71,91,2020,0.05762593800462274
273,University of Kiel (CAU),Germany,48.43,195,2020,0.12348415286704874
274,University of Gothenburg (GU),Sweden,48.33,208,2020,0.13171642972485198
275,Central China Normal University (CCNU),China,48.31,158,2020,0.10005382642560871
276,Henan University (HENU),China,48.27,117,2020,0.07409049172022923
277,Lomonosov Moscow State University (MSU),Russia,48.06,338,2020,0.21403919830288448
278,Vienna University of Technology (TU Wien),Austria,47.1,206,2020,0.13044992559288224
279,University of Padova (UNIPD),Italy,47.02,355,2020,0.22480448342462717
280,Donghua University (DHU),China,46.96,106,2020,0.06712471899439572
281,Friedrich Schiller University Jena (FSU),Germany,46.87,234,2020,0.14818098344045846
282,National Tsing Hua University (NTHU),Taiwan,46.83,193,2020,0.12221764873507898
283,University of Lyon,France,46.74,456,2020,0.2887629420890986
284,Aix-Marseille University (AMU),France,46.7,421,2020,0.2665991197796283
285,University of Konstanz,Germany,46.7,108,2020,0.06839122312636545
286,Cardiff University,United Kingdom (UK),46.53,192,2020,0.12158439666909414
287,Dartmouth College,United States of America (USA),46.48,166,2020,0.10511984295348764
288,University of Montpellier,France,46.41,394,2020,0.24950131399803693
289,University of Colorado Anschutz Medical Campus (CU Anschutz),United States of America (USA),46.24,166,2020,0.10511984295348764
290,University of Bayreuth (UBT),Germany,46.05,118,2020,0.0747237437862141
291,Nanjing University of Science and Technology (NUST),China,45.98,107,2020,0.06775797106038058
292,Guangdong University of Technology (GDUT),China,45.77,127,2020,0.08042301238007789
293,The University of Kansas (KU),United States of America (USA),45.77,218,2020,0.13804895038470064
294,China Agricultural University (CAU),China,44.96,114,2020,0.07219073552227465
295,Ben-Gurion University of the Negev (BGU),Israel,44.48,144,2020,0.0911882975018206
296,The University of Texas at Dallas (UT Dallas),United States of America (USA),44.21,159,2020,0.10068707849159358
297,Newcastle University,United Kingdom (UK),43.91,196,2020,0.12411740493303358
298,Nanjing Normal University (NNU),China,43.88,150,2020,0.0949878098977298
299,Western University (UWO),Canada,43.79,122,2020,0.07725675205015357
300,Anhui University (AHU),China,43.59,116,2020,0.07345723965424437
301,Wuhan University of Technology (WUT),China,43.59,101,2020,0.06395845866447139
302,The University of Western Australia (UWA),Australia,43.56,244,2020,0.15451350410030715
303,Norwegian University of Science and Technology (NTNU),Norway,43.23,171,2020,0.10828610328341196
304,Leibniz University Hannover (LUH),Germany,43.17,118,2020,0.0747237437862141
305,Hanyang University (HYU),South Korea,43.08,187,2020,0.11841813633916981
306,University of South Florida (USF),United States of America (USA),42.96,156,2020,0.09878732229363898
307,Charles University (CU),Czech Republic,42.87,301,2020,0.19060887186144446
308,Catholic University of Louvain (UCLouvain),Belgium,42.63,193,2020,0.12221764873507898
309,Complutense University of Madrid (UCM),Spain,42.12,223,2020,0.14121521071462495
310,Indian Institute of Science Education and Research Kolkata (IISER Kolkata),India,42.05,63,2020,0.03989488015704651
311,McMaster University,Canada,41.81,113,2020,0.07155748345628977
312,Okinawa Institute of Science and Technology Graduate University (OIST),Japan,41.79,107,2020,0.06775797106038058
313,University of Nebraska-Lincoln (UNL),United States of America (USA),41.75,195,2020,0.12348415286704874
314,University of Lisbon (ULISBOA),Portugal,41.72,240,2020,0.15198049583636766
315,The University of Oklahoma (OU),United States of America (USA),41.66,233,2020,0.1475477313744736
316,The University of Adelaide (Adelaide Uni),Australia,41.21,236,2020,0.1494474875724282
317,South China Normal University (SCNU),China,40.92,158,2020,0.10005382642560871
318,Nanchang University (NCU),China,40.58,94,2020,0.059525694202577334
319,Shanxi University (SXU),China,40.48,155,2020,0.09815407022765411
320,China Pharmaceutical University (CPU),China,40.31,72,2020,0.0455941487509103
321,University of Warsaw (UW),Poland,39.94,202,2020,0.12791691732894278
322,Northeastern University (NEU),United States of America (USA),39.9,185,2020,0.11715163220720008
323,Yangzhou University (YZU),China,39.78,96,2020,0.06079219833454707
324,Jiangnan University,China,39.67,78,2020,0.04939366114681949
325,Heinrich Heine University Düsseldorf (HHU),Germany,39.6,152,2020,0.09625431402969953
326,University of Missouri (Mizzou),United States of America (USA),38.66,144,2020,0.0911882975018206
327,University of Duisburg-Essen (UDE),Germany,38.65,140,2020,0.08865528923788113
328,Aalto University,Finland,38.49,232,2020,0.14691447930848875
329,Albert Einstein College of Medicine (Einstein),United States of America (USA),38.17,141,2020,0.08928854130386601
330,University of Florence (UNIFI),Italy,38.16,233,2020,0.1475477313744736
331,Brandeis University,United States of America (USA),38.14,126,2020,0.07978976031409302
332,Grenoble Alpes University (UGA),France,38.03,532,2020,0.33689009910394835
333,University of Bordeaux,France,37.52,273,2020,0.1728778140138682
334,University of Stuttgart,Germany,37.49,129,2020,0.08168951651204762
335,Louisiana State University (LSU),United States of America (USA),37.45,158,2020,0.10005382642560871
336,Jagiellonian University (UJ),Poland,37.39,167,2020,0.10575309501947251
337,Nanjing University of Information Science and Technology (NUIST),China,37.32,165,2020,0.10448659088750276
338,Jawaharlal Nehru Centre for Advanced Scientific Research (JNCASR),India,37.3,60,2020,0.037995123959091916
339,Linköping University (LiU),Sweden,36.78,113,2020,0.07155748345628977
340,University of Wollongong (UOW),Australia,36.72,145,2020,0.09182154956780547
341,University of Bath,United Kingdom (UK),36.68,126,2020,0.07978976031409302
342,The University of New Mexico (UNM),United States of America (USA),36.68,186,2020,0.11778488427318494
343,Kanazawa University (KU),Japan,36.63,102,2020,0.06459171073045626
344,University of York,United Kingdom (UK),36.61,176,2020,0.11145236361333628
345,University of Santiago de Compostela (USC),Spain,36.61,180,2020,0.11398537187727575
346,Qingdao University of Science and Technology (QUST),China,36.56,79,2020,0.05002691321280436
347,Université Libre de Bruxelles (ULB),Belgium,35.98,213,2020,0.13488269005477632
348,Ocean University of China (OUC),China,35.85,203,2020,0.12855016939492767
349,Northwest A&F University (NWAFU),China,35.67,70,2020,0.044327644618940565
350,Northeastern University (NEU),China,35.64,69,2020,0.04369439255295571
351,National Chiao Tung University (NCTU),Taiwan,35.52,112,2020,0.0709242313903049
352,University of Kentucky (UK),United States of America (USA),35.5,134,2020,0.08485577684197194
353,Sapienza University of Rome,Italy,35.19,331,2020,0.20960643384099042
354,Okayama University,Japan,35.01,120,2020,0.07599024791818383
355,Institute of Science and Technology Austria (IST Austria),Austria,34.76,82,2020,0.051926669410758956
356,"University of Maryland, Baltimore (UMB)",United States of America (USA),34.21,118,2020,0.0747237437862141
357,Ulm University,Germany,34.17,152,2020,0.09625431402969953
358,University of Bremen (Uni Bremen),Germany,34.16,128,2020,0.08105626444606276
359,Leipzig University,Germany,34.1,182,2020,0.11525187600924548
360,Anhui Normal University (AHNU),China,33.56,60,2020,0.037995123959091916
361,Indian Institute of Technology Kanpur (IIT Kanpur),India,33.36,68,2020,0.04306114048697084
362,Henan Normal University,China,33.3,91,2020,0.05762593800462274
363,Kobe University,Japan,33.23,145,2020,0.09182154956780547
