World Rank,Institution,Country,Share,Count,Year,Publication share
1,Harvard University,United States of America (USA),927.26,2569,2020,1.6268245575151188
2,Stanford University,United States of America (USA),638.05,1687,2020,1.0682962353164678
3,Massachusetts Institute of Technology (MIT),United States of America (USA),526.26,1841,2020,1.165817053478137
4,The University of Tokyo (UTokyo),Japan,461.85,1308,2020,0.8282937023082039
5,University of Oxford,United Kingdom (UK),458.8,1437,2020,0.9099832188202515
6,University of Cambridge,United Kingdom (UK),456.45,1439,2020,0.9112497229522211
7,University of Science and Technology of China (USTC),China,448.5,1270,2020,0.8042301238007789
8,Peking University (PKU),China,446.11,1634,2020,1.03473387581927
9,University of Chinese Academy of Sciences (UCAS),China,425.66,2503,2020,1.585029921160118
10,Nanjing University (NJU),China,417.89,1022,2020,0.6471836114365324
11,University of Michigan (U-M),United States of America (USA),398.64,1034,2020,0.6547826362283506
12,"University of California, Berkeley (UC Berkeley)",United States of America (USA),394.96,1302,2020,0.8244941899122946
13,Tsinghua University,China,394.09,1360,2020,0.8612228097394167
14,Swiss Federal Institute of Technology Zurich (ETH Zurich),Switzerland,377.72,1055,2020,0.6680809296140329
15,Yale University,United States of America (USA),356.24,1001,2020,0.6338853180508501
16,University of Toronto (U of T),Canada,343.33,931,2020,0.5895576734319096
17,Zhejiang University (ZJU),China,342.07,850,2020,0.5382642560871355
18,"University of California, Los Angeles (UCLA)",United States of America (USA),339.09,1118,2020,0.7079758097710793
19,"University of California, San Diego (UC San Diego)",United States of America (USA),338.45,1005,2020,0.6364183263147896
20,Columbia University in the City of New York (CU),United States of America (USA),331.37,1021,2020,0.6465503593705475
21,Cornell University,United States of America (USA),315.87,991,2020,0.6275527973910014
22,Northwestern University (NU),United States of America (USA),315.58,757,2020,0.47937181395054307
23,University of Pennsylvania (Penn),United States of America (USA),307.72,864,2020,0.5471297850109236
24,National University of Singapore (NUS),Singapore,300.27,851,2020,0.5388975081531203
25,Shanghai Jiao Tong University (SJTU),China,295.15,839,2020,0.5312984833613019
26,California Institute of Technology (Caltech),United States of America (USA),293.44,899,2020,0.5692936073203938
27,Johns Hopkins University (JHU),United States of America (USA),293.38,928,2020,0.587657917233955
28,Fudan University,China,291.18,799,2020,0.5059684007219073
29,Princeton University,United States of America (USA),275.69,763,2020,0.4831713263464522
30,Sun Yat-sen University (SYSU),China,269.22,715,2020,0.4527752271791786
31,University of Washington (UW),United States of America (USA),268.45,958,2020,0.6066554792135009
32,Kyoto University,Japan,267.94,696,2020,0.4407434379254662
33,The University of Texas at Austin (UT Austin),United States of America (USA),260.84,732,2020,0.46354051230092136
34,Swiss Federal Institute of Technology Lausanne (EPFL),Switzerland,260.31,630,2020,0.39894880157046514
35,Imperial College London (ICL),United Kingdom (UK),254.49,962,2020,0.6091884874774404
36,The University of Chicago (UChicago),United States of America (USA),252.21,732,2020,0.46354051230092136
