World Rank,Institution,Country,Share,Count,Year,Publication share
1,Harvard University,United States of America (USA),879.74,2459,2018,1.6640387621554682
2,Stanford University,United States of America (USA),628.15,1579,2018,1.0685307870855976
3,Massachusetts Institute of Technology (MIT),United States of America (USA),572.1,1832,2018,1.2397393299181854
4,The University of Tokyo (UTokyo),Japan,448.83,1191,2018,0.8059659071684272
5,University of Cambridge,United Kingdom (UK),448.39,1378,2018,0.9325113518707748
6,Swiss Federal Institute of Technology Zurich (ETH Zurich),Switzerland,418.68,1086,2018,0.7349109783248631
7,Peking University (PKU),China,413.55,1506,2018,1.0191306936991196
8,University of Oxford,United Kingdom (UK),412.45,1293,2018,0.8749906951878895
9,Tsinghua University,China,398.99,1396,2018,0.9446921968153857
10,"University of California, Berkeley (UC Berkeley)",United States of America (USA),396.08,1264,2018,0.8553660005549052
11,Nanjing University (NJU),China,393.0,975,2018,0.6597957678330953
12,University of Science and Technology of China (USTC),China,351.04,1038,2018,0.7024287251392338
13,Yale University,United States of America (USA),348.27,925,2018,0.6259600874313981
14,University of Michigan (U-M),United States of America (USA),344.48,916,2018,0.6198696649590927
15,"University of California, Los Angeles (UCLA)",United States of America (USA),339.13,1064,2018,0.7200232789481164
16,"University of California, San Diego (UC San Diego)",United States of America (USA),334.48,1012,2018,0.6848341713303513
17,Northwestern University (NU),United States of America (USA),331.93,790,2018,0.5346037503468157
18,University of Toronto (U of T),Canada,327.92,865,2018,0.5853572709493615
19,University of Chinese Academy of Sciences (UCAS),China,326.94,1906,2018,1.2898161369126973
20,Columbia University in the City of New York (CU),United States of America (USA),318.49,987,2018,0.6679163311295028
21,University of Pennsylvania (Penn),United States of America (USA),307.78,793,2018,0.5366338911709175
22,California Institute of Technology (Caltech),United States of America (USA),293.93,919,2018,0.6218998057831945
23,University of Washington (UW),United States of America (USA),293.43,937,2018,0.6340806507278055
24,Zhejiang University (ZJU),China,289.83,712,2018,0.4818200889201681
25,Kyoto University,Japan,289.61,761,2018,0.5149790557138313
26,Princeton University,United States of America (USA),288.02,780,2018,0.5278366142664762
27,Cornell University,United States of America (USA),286.31,935,2018,0.6327272235117376
28,The University of Texas at Austin (UT Austin),United States of America (USA),277.09,680,2018,0.4601652534630819
29,Fudan University,China,260.1,686,2018,0.46422553511128556
30,National University of Singapore (NUS),Singapore,254.12,691,2018,0.46760910315145526
31,University of Illinois at Urbana-Champaign (UIUC),United States of America (USA),246.11,641,2018,0.4337734227497581
32,University of Minnesota (UMN),United States of America (USA),239.77,694,2018,0.4696392439755571
33,Nanyang Technological University (NTU),Singapore,238.07,585,2018,0.3958774606998572
34,Johns Hopkins University (JHU),United States of America (USA),236.58,853,2018,0.5772367076529542
35,Imperial College London (ICL),United Kingdom (UK),233.27,920,2018,0.6225765193912284
36,Shanghai Jiao Tong University (SJTU),China,231.55,741,2018,0.5014447835531525
37,Swiss Federal Institute of Technology Lausanne (EPFL),Switzerland,223.85,588,2018,0.39790760152395904
38,"University of California, San Francisco (UCSF)",United States of America (USA),215.4,596,2018,0.4033213103882306
39,The Pennsylvania State University (Penn State),United States of America (USA),214.6,594,2018,0.4019678831721627
40,Washington University in St. Louis (WUSTL),United States of America (USA),211.61,507,2018,0.3430937992732096
41,The University of Chicago (UChicago),United States of America (USA),208.35,684,2018,0.4628721078952177
42,Duke University,United States of America (USA),207.79,670,2018,0.4533981173827424
43,University of Wisconsin-Madison (UW-Madison),United States of America (USA),202.89,690,2018,0.4669323895434213
44,UCL,United Kingdom (UK),202.6,818,2018,0.5535517313717662
45,Ludwig Maximilians University of Munich (LMU),Germany,201.51,664,2018,0.4493378357345388
46,Nankai University (NKU),China,198.71,556,2018,0.37625276606687286
47,Sun Yat-sen University (SYSU),China,196.35,496,2018,0.33564994958483624
48,Wuhan University (WHU),China,195.71,413,2018,0.27948272011801883
49,University of Colorado Boulder (CU-Boulder),United States of America (USA),193.75,730,2018,0.49400093386477906
50,Soochow University,China,193.5,366,2018,0.2476771805404235
51,"University of California, Santa Barbara (UCSB)",United States of America (USA),184.45,596,2018,0.4033213103882306
52,Sichuan University (SCU),China,181.77,330,2018,0.2233154906512015
53,The University of North Carolina at Chapel Hill (UNC),United States of America (USA),181.2,486,2018,0.3288828135044968
54,Weizmann Institute of Science (WIS),Israel,180.07,421,2018,0.2848964289822904
55,"University of California, Davis (UC Davis)",United States of America (USA),178.97,598,2018,0.4046747376042985
56,New York University (NYU),United States of America (USA),175.91,544,2018,0.36813220277046554
57,"University of Maryland, College Park (UMCP)",United States of America (USA),175.06,736,2018,0.4980612155129827
58,Osaka University,Japan,171.56,497,2018,0.33632666319287013
59,Tohoku University,Japan,166.72,445,2018,0.3011375555751051
60,Seoul National University (SNU),South Korea,166.13,495,2018,0.33497323597680223
61,Korea Advanced Institute of Science and Technology (KAIST),South Korea,162.36,334,2018,0.2260223450833373
62,"University of California, Irvine (UCI)",United States of America (USA),159.52,454,2018,0.3072279780474106
63,University of Copenhagen (UCPH),Denmark,158.66,616,2018,0.4168555825489095
64,Purdue University,United States of America (USA),153.03,499,2018,0.33768009040893804
65,The Ohio State University (OSU),United States of America (USA),152.12,594,2018,0.4019678831721627
66,Texas A&M University (TAMU),United States of America (USA),151.18,498,2018,0.3370033768009041
67,Huazhong University of Science and Technology (HUST),China,150.91,395,2018,0.26730187517340787
68,Xiamen University (XMU),China,150.49,284,2018,0.19218666468164008
69,The University of Queensland (UQ),Australia,150.25,450,2018,0.3045211236152748
70,Georgia Institute of Technology (Georgia Tech),United States of America (USA),148.33,463,2018,0.31331840051971604
71,The University of Manchester (UoM),United Kingdom (UK),146.95,576,2018,0.38978703822755173
72,McGill University,Canada,146.46,511,2018,0.3458006537053454
73,Technical University of Munich (TUM),Germany,145.73,540,2018,0.36542534833832974
74,University of Bristol (UoB),United Kingdom (UK),143.17,507,2018,0.3430937992732096
75,The University of Edinburgh,United Kingdom (UK),141.88,616,2018,0.4168555825489095
76,University of Southern California (USC),United States of America (USA),141.12,344,2018,0.23278948116367673
77,University of Pittsburgh (Pitt),United States of America (USA),136.35,461,2018,0.3119649733036482
78,Utrecht University (UU),Netherlands,136.24,611,2018,0.41347201450873977
79,The University of British Columbia (UBC),Canada,132.64,472,2018,0.31940882299202156
80,University of Zurich (UZH),Switzerland,132.16,649,2018,0.43918713161402967
81,University of Münster (WWU),Germany,131.89,327,2018,0.2212853498270997
82,Nagoya University,Japan,131.65,432,2018,0.2923402786706638
83,Heidelberg University (Uni Heidelberg),Germany,128.46,579,2018,0.3918171790516536
84,"Rutgers, The State University of New Jersey (RU)",United States of America (USA),127.95,498,2018,0.3370033768009041
85,Tokyo Institute of Technology (Tokyo Tech),Japan,126.8,368,2018,0.24903060775649136
86,The University of Utah (Utah),United States of America (USA),126.02,333,2018,0.22534563147530334
87,Monash University,Australia,125.62,480,2018,0.32482253185629306
88,University of New South Wales (UNSW Sydney),Australia,122.1,421,2018,0.2848964289822904
89,The University of Texas Southwestern Medical Center (UT Southwestern Medical Center),United States of America (USA),121.57,266,2018,0.1800058197370291
90,Hunan University (HNU),China,119.08,241,2018,0.16308797953618048
91,Lanzhou University (LZU),China,117.08,237,2018,0.16038112510404473
92,Indiana University (IU),United States of America (USA),115.54,395,2018,0.26730187517340787
93,Tianjin University (TJU),China,114.58,535,2018,0.36204178029816
94,Jilin University (JLU),China,114.56,268,2018,0.181359246953097
95,Hokkaido University,Japan,114.17,286,2018,0.19354009189770796
96,Shandong University (SDU),China,113.59,434,2018,0.2936937058867317
97,Karlsruhe Institute of Technology (KIT),Germany,113.33,413,2018,0.27948272011801883
98,University of Florida (UF),United States of America (USA),112.92,536,2018,0.362718493906194
99,Hebrew University of Jerusalem (HUJI),Israel,111.97,260,2018,0.17594553808882543
100,Technion-Israel Institute of Technology (IIT),Israel,111.7,281,2018,0.19015652385753826
101,University of Geneva (UNIGE),Switzerland,111.19,386,2018,0.26121145270110235
102,South China University of Technology (SCUT),China,110.53,225,2018,0.1522605618076374
103,Vanderbilt University (VU),United States of America (USA),110.44,429,2018,0.29031013784656196
104,The Hong Kong University of Science and Technology (HKUST),China,108.75,329,2018,0.22263877704316756
105,Beijing Normal University (BNU),China,107.29,331,2018,0.22399220425923547
106,Emory University,United States of America (USA),107.0,312,2018,0.21113464570659052
107,East China University of Science and Technology (ECUST),China,106.87,222,2018,0.15023042098353556
108,"University of California, Riverside (UCR)",United States of America (USA),106.32,367,2018,0.24835389414845743
109,Uppsala University (UU),Sweden,106.26,468,2018,0.31670196855988575
110,King Abdullah University of Science and Technology (KAUST),Saudi Arabia,106.05,250,2018,0.169178402008486
111,Tongji University,China,105.69,335,2018,0.2266990586913712
112,Catholic University of Leuven (KU Leuven),Belgium,105.14,318,2018,0.2151949273547942
113,The University of Melbourne (UniMelb),Australia,104.68,534,2018,0.3613650666901261
114,Harbin Institute of Technology (HIT),China,104.31,227,2018,0.1536139890237053
115,Sorbonne University,France,104.07,1073,2018,0.7261137014204219
116,The University of Arizona (Arizona),United States of America (USA),103.4,407,2018,0.2754224384698152
117,RWTH Aachen University (RWTH Aachen),Germany,101.46,456,2018,0.30858140526347844
118,Xi'an Jiaotong University (XJTU),China,100.89,269,2018,0.18203596056113092
