World Rank,Institution,Country,Share,Count,Year,Publication share
1,Harvard University,United States of America (USA),923.94,2583,2019,1.6956718681275396
2,Stanford University,United States of America (USA),647.66,1660,2019,1.0897465354594331
3,Massachusetts Institute of Technology (MIT),United States of America (USA),561.57,1866,2019,1.2249801416670496
4,University of Science and Technology of China (USTC),China,456.35,1233,2019,0.809432215796073
5,University of Oxford,United Kingdom (UK),455.82,1375,2019,0.9026514977450124
6,Peking University (PKU),China,438.3,1620,2019,1.0634875827977601
7,The University of Tokyo (UTokyo),Japan,431.41,1191,2019,0.7818603155013162
8,Tsinghua University,China,429.01,1394,2019,0.9151245002593072
9,Nanjing University (NJU),China,426.56,1056,2019,0.6932363502681695
10,University of Cambridge,United Kingdom (UK),419.32,1326,2019,0.8704842807344629
11,University of Chinese Academy of Sciences (UCAS),China,408.57,2340,2019,1.5361487307078756
12,Swiss Federal Institute of Technology Zurich (ETH Zurich),Switzerland,403.35,1051,2019,0.6899539811854604
13,"University of California, Berkeley (UC Berkeley)",United States of America (USA),390.15,1266,2019,0.8310958517419533
14,University of Michigan (U-M),United States of America (USA),343.84,941,2019,0.6177418613658594
15,"University of California, San Diego (UC San Diego)",United States of America (USA),342.62,1051,2019,0.6899539811854604
16,Yale University,United States of America (USA),339.38,890,2019,0.5842616967222263
17,"University of California, Los Angeles (UCLA)",United States of America (USA),339.11,1094,2019,0.718182355296759
18,Zhejiang University (ZJU),China,330.2,817,2019,0.5363391081146729
19,Cornell University,United States of America (USA),320.19,1005,2019,0.6597561856245364
20,Northwestern University (NU),United States of America (USA),317.97,764,2019,0.501545995837956
21,University of Toronto (U of T),Canada,314.15,889,2019,0.5836052229056844
22,Columbia University in the City of New York (CU),United States of America (USA),304.14,989,2019,0.6492526045598671
23,University of Washington (UW),United States of America (USA),303.96,984,2019,0.6459702354771579
24,University of Pennsylvania (Penn),United States of America (USA),301.04,852,2019,0.5593156916936368
25,Johns Hopkins University (JHU),United States of America (USA),287.39,924,2019,0.6065818064846484
26,California Institute of Technology (Caltech),United States of America (USA),286.98,890,2019,0.5842616967222263
27,Fudan University,China,271.65,741,2019,0.486447098057494
28,Swiss Federal Institute of Technology Lausanne (EPFL),Switzerland,268.84,642,2019,0.4214561902198531
29,Princeton University,United States of America (USA),261.02,728,2019,0.4779129384424502
30,Sun Yat-sen University (SYSU),China,260.16,634,2019,0.4162043996875185
31,National University of Singapore (NUS),Singapore,253.73,724,2019,0.4752870431762829
32,Kyoto University,Japan,252.11,683,2019,0.44837161669806797
33,Nankai University (NKU),China,244.9,600,2019,0.39388428992509633
34,Shanghai Jiao Tong University (SJTU),China,244.55,796,2019,0.5225531579672944
35,The University of Chicago (UChicago),United States of America (USA),238.09,738,2019,0.4844776766078685
36,University of Wisconsin-Madison (UW-Madison),United States of America (USA),236.08,691,2019,0.4536234072304027
37,Nanyang Technological University (NTU),Singapore,231.95,625,2019,0.41029613533864207
38,University of Illinois at Urbana-Champaign (UIUC),United States of America (USA),230.7,608,2019,0.39913608045743093
39,Soochow University,China,229.36,455,2019,0.2986955865265314
40,Duke University,United States of America (USA),227.2,712,2019,0.467409357377781
41,Sichuan University (SCU),China,223.78,399,2019,0.261933052800189
42,The University of Texas at Austin (UT Austin),United States of America (USA),222.32,658,2019,0.43195977128452234
43,Imperial College London (ICL),United Kingdom (UK),221.28,889,2019,0.5836052229056844
44,Wuhan University (WHU),China,217.16,495,2019,0.3249545391882045
45,UCL,United Kingdom (UK),216.73,865,2019,0.5678498513086805
46,"University of California, San Francisco (UCSF)",United States of America (USA),215.93,634,2019,0.4162043996875185
47,University of Minnesota (UMN),United States of America (USA),214.52,664,2019,0.4358986141837733
48,"University of California, Santa Barbara (UCSB)",United States of America (USA),200.75,642,2019,0.4214561902198531
49,The Pennsylvania State University (Penn State),United States of America (USA),200.57,562,2019,0.3689382848965069
50,Washington University in St. Louis (WUSTL),United States of America (USA),197.6,535,2019,0.3512134918498776
51,Huazhong University of Science and Technology (HUST),China,195.02,468,2019,0.30722974614157517
52,New York University (NYU),United States of America (USA),192.48,598,2019,0.3925713422920127
53,Ludwig Maximilians University of Munich (LMU),Germany,184.11,678,2019,0.44508924761535884
54,Xiamen University (XMU),China,182.9,358,2019,0.23501762632197415
55,Osaka University,Japan,182.59,489,2019,0.3210156962889535
56,University of Colorado Boulder (CU-Boulder),United States of America (USA),170.48,693,2019,0.4549363548634863
57,The University of North Carolina at Chapel Hill (UNC),United States of America (USA),168.66,506,2019,0.33217575117016457
58,Seoul National University (SNU),South Korea,168.34,490,2019,0.3216721701054953
59,"University of California, Davis (UC Davis)",United States of America (USA),164.45,552,2019,0.3623735467310886
60,"University of Maryland, College Park (UMCP)",United States of America (USA),163.4,710,2019,0.46609640974469735
61,Georgia Institute of Technology (Georgia Tech),United States of America (USA),162.63,467,2019,0.30657327232503334
62,Jilin University (JLU),China,161.88,351,2019,0.23042230960618137
63,McGill University,Canada,161.37,569,2019,0.37353360161229965
64,Tianjin University (TJU),China,157.12,600,2019,0.39388428992509633
65,The Ohio State University (OSU),United States of America (USA),157.1,551,2019,0.3617170729145468
66,Technical University of Munich (TUM),Germany,154.85,595,2019,0.3906019208423872
67,Weizmann Institute of Science (WIS),Israel,153.37,423,2019,0.27768842439719293
68,Korea Advanced Institute of Science and Technology (KAIST),South Korea,151.84,349,2019,0.22910936197309772
69,University of Copenhagen (UCPH),Denmark,151.43,609,2019,0.39979255427397276
70,The University of Edinburgh,United Kingdom (UK),150.74,666,2019,0.43721156181685694
71,Tokyo Institute of Technology (Tokyo Tech),Japan,149.51,388,2019,0.25471184081822895
72,University of Southern California (USC),United States of America (USA),149.3,403,2019,0.2645589480663564
73,Texas A&M University (TAMU),United States of America (USA),146.61,484,2019,0.31773332720624436
74,The University of Manchester (UoM),United Kingdom (UK),146.03,552,2019,0.3623735467310886
75,University of Pittsburgh (Pitt),United States of America (USA),145.73,499,2019,0.3275804344543718
76,Hunan University (HNU),China,144.25,289,2019,0.18972093298058806
77,The University of British Columbia (UBC),Canada,144.05,496,2019,0.3256110130047463
78,"University of California, Irvine (UCI)",United States of America (USA),142.81,470,2019,0.3085426937746588
79,Tohoku University,Japan,142.55,441,2019,0.28950495309494584
80,The University of Texas Southwestern Medical Center (UT Southwestern Medical Center),United States of America (USA),140.78,315,2019,0.2067892522106756
81,Purdue University,United States of America (USA),139.82,417,2019,0.27374958149794193
82,Heidelberg University (Uni Heidelberg),Germany,138.84,568,2019,0.3728771277957578
83,"Rutgers, The State University of New Jersey (RU)",United States of America (USA),137.33,507,2019,0.3328322249867064
84,University of Zurich (UZH),Switzerland,136.44,659,2019,0.43261624510106417
85,University of Bristol (UoB),United Kingdom (UK),134.57,492,2019,0.32298511773857896
86,University of New South Wales (UNSW Sydney),Australia,133.32,466,2019,0.3059167985084915
87,Monash University,Australia,131.79,526,2019,0.3453052275010011
88,Southern University of Science and Technology (SUSTech),China,128.09,375,2019,0.2461776812031852
89,The University of Utah (Utah),United States of America (USA),126.92,328,2019,0.21532341182571935
90,Utrecht University (UU),Netherlands,124.28,642,2019,0.4214561902198531
91,University of Florida (UF),United States of America (USA),123.6,585,2019,0.3840371826769689
92,South China University of Technology (SCUT),China,122.99,279,2019,0.1831561948151698
93,Karlsruhe Institute of Technology (KIT),Germany,122.57,415,2019,0.2724366338648583
94,Shandong University (SDU),China,122.11,520,2019,0.3413663846017502
95,The Hong Kong University of Science and Technology (HKUST),China,120.74,369,2019,0.24223883830393425
96,Beijing Normal University (BNU),China,120.55,376,2019,0.24683415501972703
97,Xi'an Jiaotong University (XJTU),China,119.42,325,2019,0.21335399037609384
98,East China University of Science and Technology (ECUST),China,117.86,244,2019,0.16017961123620583
99,Hebrew University of Jerusalem (HUJI),Israel,117.61,292,2019,0.19169035443021354
100,Vanderbilt University (VU),United States of America (USA),117.25,401,2019,0.2632460004332727
101,East China Normal University (ECNU),China,116.93,299,2019,0.19628567114600634
102,The University of Queensland (UQ),Australia,116.36,452,2019,0.2967261650769059
103,Lanzhou University (LZU),China,115.86,285,2019,0.18709503771442076
104,University of Würzburg (JMU),Germany,115.64,345,2019,0.22648346670693037
105,University of Geneva (UNIGE),Switzerland,114.79,366,2019,0.24026941685430878
106,Rice University,United States of America (USA),113.33,425,2019,0.2790013720302766
107,"University of California, Riverside (UCR)",United States of America (USA),113.2,354,2019,0.23239173105580685
108,Nagoya University,Japan,112.83,392,2019,0.25733773608439625
109,Indiana University (IU),United States of America (USA),111.89,406,2019,0.26652836951598186
110,Sorbonne University,France,111.4,1129,2019,0.7411589388757229
111,Hokkaido University,Japan,111.33,266,2019,0.17462203520012604
112,Tongji University,China,110.2,350,2019,0.22976583578963955
113,University of Münster (WWU),Germany,109.32,321,2019,0.21072809510992654
114,Catholic University of Leuven (KU Leuven),Belgium,108.96,326,2019,0.21401046419263567
115,Harbin Institute of Technology (HIT),China,108.72,230,2019,0.15098897780462028
116,Nanjing Tech University (NanjingTech),China,108.53,217,2019,0.1424548181895765
117,Tel Aviv University (TAU),Israel,108.21,328,2019,0.21532341182571935
118,King Abdullah University of Science and Technology (KAUST),Saudi Arabia,107.66,258,2019,0.16937024466779144
119,Boston University (BU),United States of America (USA),107.02,561,2019,0.36828181107996505
120,University of Basel (UB),Switzerland,106.46,349,2019,0.22910936197309772
121,Dalian University of Technology (DUT),China,105.83,203,2019,0.13326418475799093
122,University of Freiburg (Uni Freiburg),Germany,105.2,344,2019,0.22582699289038854
123,Australian National University (ANU),Australia,104.58,382,2019,0.250772997918978
124,Free University of Berlin (FU Berlin),Germany,102.96,556,2019,0.3649994419972559
125,The University of Melbourne (UniMelb),Australia,102.52,556,2019,0.3649994419972559
126,RWTH Aachen University (RWTH Aachen),Germany,102.31,383,2019,0.2514294717355198
127,University of Göttingen,Germany,101.31,358,2019,0.23501762632197415
128,Kyushu University,Japan,100.61,315,2019,0.2067892522106756
129,Technion-Israel Institute of Technology (IIT),Israel,98.17,281,2019,0.18446914244825344
130,Arizona State University (ASU),United States of America (USA),97.55,347,2019,0.22779641434001408
131,University of Groningen (RUG),Netherlands,97.09,390,2019,0.2560247884513126
132,University of Alberta (U of A),Canada,96.4,346,2019,0.22713994052347225
