World Rank,Institution,Share,Count,Year,Publication share,Country
341,The University of New Mexico (UNM),36.75,187.0,2021,0.11819509142737955,United States of America (USA)
342,University of York,36.61,176.0,2021,0.11124243899047485,United Kingdom (UK)
343,University of Santiago de Compostela (USC),36.61,180.0,2021,0.11377067624025838,Spain
344,Qingdao University of Science and Technology (QUST),36.56,79.0,2021,0.049932685683224516,China
345,Louisiana State University (LSU),36.5,158.0,2021,0.09986537136644903,United States of America (USA)
346,University of Bath,36.28,125.0,2021,0.079007414055735,United Kingdom (UK)
347,University of Wollongong (UOW),36.14,144.0,2021,0.09101654099220671,Australia
348,Université Libre de Bruxelles (ULB),35.98,213.0,2021,0.13462863355097243,Belgium
349,Northeastern University (NEU),35.8,70.0,2021,0.04424415187121159,China
350,Kanazawa University (KU),35.63,101.0,2021,0.06383799055703386,Japan
351,Ocean University of China (OUC),35.57,203.0,2021,0.12830804042651361,China
352,University of Kentucky (UK),35.5,134.0,2021,0.08469594786774791,United States of America (USA)
353,Curtin University,35.27,159.0,2021,0.10049743067889491,Australia
354,Sapienza University of Rome,35.19,331.0,2021,0.20921163241958626,Italy
355,Okayama University,35.01,120.0,2021,0.07584711749350559,Japan
356,Institute of Science and Technology Austria (IST Austria),34.76,82.0,2021,0.051828863620562146,Austria
357,Northwest A&F University (NWAFU),34.73,70.0,2021,0.04424415187121159,China
358,University of Bremen (Uni Bremen),34.36,129.0,2021,0.08153565130551851,Germany
359,Leipzig University,34.17,183.0,2021,0.11566685417759602,Germany
360,Ulm University,34.17,152.0,2021,0.09607301549177376,Germany
361,Anhui Normal University (AHNU),33.56,60.0,2021,0.037923558746752795,China
362,Indian Institute of Technology Kanpur (IIT Kanpur),33.36,68.0,2021,0.04298003324631983,India
363,Henan Normal University,33.3,91.0,2021,0.05751739743257507,China
364,"University of Maryland, Baltimore (UMB)",33.15,115.0,2021,0.07268682093127618,United States of America (USA)
365,Clemson University,33.01,78.0,2021,0.04930062637077863,United States of America (USA)
366,The University of Texas Health Science Center at Houston (UTHealth),32.8,175.0,2021,0.110610379678029,United States of America (USA)
367,Hiroshima University (HU),32.61,120.0,2021,0.07584711749350559,Japan
368,Ningbo University (NBU),32.49,82.0,2021,0.051828863620562146,China
369,University of Milan (UNIMI),32.45,264.0,2021,0.1668636584857123,Italy
370,University of Innsbruck (LFU),32.41,147.0,2021,0.09291271892954435,Austria
371,Kobe University,32.28,145.0,2021,0.09164860030465259,Japan
372,University of Technology Sydney (UTS),32.15,105.0,2021,0.06636622780681739,Australia
373,University of Bologna (UNIBO),32.0,305.0,2021,0.19277809029599338,Italy
374,Hunan Normal University (HUNNU),31.87,87.0,2021,0.054989160182791555,China
375,The University of Auckland,31.76,189.0,2021,0.1194592100522713,New Zealand
376,University of Twente (UTwente),31.53,92.0,2021,0.05814945674502096,Netherlands
377,Gwangju Institute of Science and Technology (GIST),31.41,72.0,2021,0.045508270496103356,South Korea
378,Yunnan University (YNU),31.2,78.0,2021,0.04930062637077863,China
379,University of Antwerp (UA),31.08,182.0,2021,0.11503479486515014,Belgium
380,Waseda University,31.07,104.0,2021,0.06573416849437151,Japan
381,Bar-Ilan University (BIU),30.78,94.0,2021,0.059413575369912715,Israel
382,University of Victoria (UVic),30.72,160.0,2021,0.10112948999134079,Canada
383,Technical University of Darmstadt (TU Darmstadt),30.64,131.0,2021,0.08279976993041027,Germany
384,Tianjin University of Technology (TJUT),30.57,62.0,2021,0.03918767737164455,China
385,TU Dortmund University,30.5,157.0,2021,0.09923331205400315,Germany
386,Kyung Hee University (KHU),30.48,158.0,2021,0.09986537136644903,South Korea
387,Beijing University of Technology (BJUT),30.41,114.0,2021,0.0720547616188303,China
388,Lancaster University,30.3,173.0,2021,0.10934626105313723,United Kingdom (UK)
389,Hefei University of Technology (HFUT),30.1,67.0,2021,0.042347973933873954,China
390,Indian Institute of Science Education and Research Pune (IISER Pune),30.04,101.0,2021,0.06383799055703386,India
391,University of Central Florida (UCF),30.0,74.0,2021,0.046772389120995114,United States of America (USA)
392,Boston College (BC),29.28,79.0,2021,0.049932685683224516,United States of America (USA)
393,University of Sussex,29.22,129.0,2021,0.08153565130551851,United Kingdom (UK)
394,University of Bergen (UIB),29.21,246.0,2021,0.15548659086168645,Norway
395,Chiba University,29.1,106.0,2021,0.06699828711926327,Japan
396,Laval University (UL),29.09,141.0,2021,0.08912036305486906,Canada
397,University of Milano-Bicocca (UNIMIB),29.07,218.0,2021,0.1377889301132018,Italy
398,Queen's University,29.06,94.0,2021,0.059413575369912715,Canada
399,Huazhong Agricultural University (HZAU),28.78,81.0,2021,0.05119680430811628,China
400,Macquarie University,28.75,141.0,2021,0.08912036305486906,Australia
401,Wenzhou University (WZU),28.38,65.0,2021,0.041083855308982196,China
402,Royal Melbourne Institute of Technology (RMIT University),28.26,104.0,2021,0.06573416849437151,Australia
403,The University of Alabama at Birmingham (UAB),28.25,144.0,2021,0.09101654099220671,United States of America (USA)
404,Tulane University,28.22,87.0,2021,0.054989160182791555,United States of America (USA)
405,Temple University,28.21,109.0,2021,0.0688944650566009,United States of America (USA)
406,Wayne State University,28.16,156.0,2021,0.09860125274155726,United States of America (USA)
407,Indian Institute of Technology Guwahati (IIT Guwahati),28.11,48.0,2021,0.030338846997402236,India
408,Queensland University of Technology (QUT),28.1,125.0,2021,0.079007414055735,Australia
409,Institute for Advanced Study (IAS),28.08,80.0,2021,0.050564744995670395,United States of America (USA)
410,Hebei University (HBU),27.97,62.0,2021,0.03918767737164455,China
411,University of Otago,27.92,139.0,2021,0.08785624442997732,New Zealand
412,Bielefeld University,27.89,66.0,2021,0.041715914621428075,Germany
413,University of Naples Federico II (UNINA),27.57,275.0,2021,0.17381631092261698,Italy
414,Southern Medical University (SMU),27.44,96.0,2021,0.06067769399480447,China
415,West Virginia University (WVU),27.32,86.0,2021,0.054357100870345676,United States of America (USA)
416,Indian Institute of Technology Madras (IIT Madras),27.06,133.0,2021,0.08406388855530203,India
417,Saarland University (Saar-Uni),26.86,93.0,2021,0.058781516057466836,Germany
418,National Institute of Applied Sciences (INSA),26.81,267.0,2021,0.16875983642304992,France
419,Martin Luther University Halle-Wittenberg (MLU),26.81,136.0,2021,0.08596006649263967,Germany
420,University of South Carolina - Columbia (SC),26.74,82.0,2021,0.051828863620562146,United States of America (USA)
421,Simon Fraser University (SFU),26.63,134.0,2021,0.08469594786774791,Canada
422,Qingdao University (QU),26.39,78.0,2021,0.04930062637077863,China
423,Queen's University Belfast (QUB),26.3,104.0,2021,0.06573416849437151,United Kingdom (UK)
424,Hubei University (HUBU),26.24,61.0,2021,0.038555618059198674,China
425,"University of Nevada, Reno (UNR)",26.23,78.0,2021,0.04930062637077863,United States of America (USA)
426,University of Jinan (UJN),26.2,62.0,2021,0.03918767737164455,China
427,Giessen University (JLU),26.08,178.0,2021,0.11250655761536663,Germany
428,Erasmus University Rotterdam (EUR),26.03,163.0,2021,0.10302566792867841,Netherlands
429,University of Strathclyde,25.74,101.0,2021,0.06383799055703386,United Kingdom (UK)
430,Jiangsu Normal University (JSNU),25.67,51.0,2021,0.03223502493473988,China
431,University of Potsdam,25.51,154.0,2021,0.0973371341166655,Germany
432,Drexel University,25.46,106.0,2021,0.06699828711926327,United States of America (USA)
433,Hong Kong Baptist University (HKBU),25.37,101.0,2021,0.06383799055703386,China
434,Pusan National University (PNU),25.3,101.0,2021,0.06383799055703386,South Korea
435,Syracuse University,25.25,104.0,2021,0.06573416849437151,United States of America (USA)
436,Changzhou University (CZU),25.17,46.0,2021,0.02907472837251048,China
437,"China University of Geosciences, Beijing (CUGB)",25.06,69.0,2021,0.04361209255876571,China
438,Autonomous University of Barcelona (UAB),25.03,260.0,2021,0.16433542123592879,Spain
439,Nanjing Medical University (NJMU),25.01,103.0,2021,0.06510210918192563,China
440,Nanjing Agricultural University (NAU),24.97,72.0,2021,0.045508270496103356,China
441,Umeå University (UMU),24.78,126.0,2021,0.07963947336818088,Sweden
442,University of Oviedo (UniOvi),24.66,164.0,2021,0.10365772724112429,Spain
443,University of Jyväskylä,24.56,188.0,2021,0.11882715073982543,Finland
444,University of Oldenburg,24.55,64.0,2021,0.04045179599653631,Germany
445,"China University of Petroleum, East China (CUP East China)",24.45,51.0,2021,0.03223502493473988,China
446,National Cheng Kung University (NCKU),24.01,83.0,2021,0.05246092293300803,Taiwan
447,Saint Petersburg State University (SPbU),23.82,102.0,2021,0.06447004986947975,Russia
448,Scuola Internazionale Superiore di Studi Avanzati (SISSA),23.77,96.0,2021,0.06067769399480447,Italy
449,University of Pisa (UNIPI),23.73,250.0,2021,0.15801482811147,Italy
450,University of Leicester,23.72,113.0,2021,0.07142270230638444,United Kingdom (UK)
451,University of Turin (UNITO),23.33,251.0,2021,0.15864688742391586,Italy
452,University of Buenos Aires (UBA),23.29,143.0,2021,0.09038448167976083,Argentina
453,Guangzhou University (GU),23.22,68.0,2021,0.04298003324631983,China
454,University of Saskatchewan (U of S),23.18,106.0,2021,0.06699828711926327,Canada
455,Ewha Womans University (Ewha),23.13,80.0,2021,0.050564744995670395,South Korea
456,Army Medical University,23.11,132.0,2021,0.08343182924285615,China
457,University of Liège (ULg),23.03,104.0,2021,0.06573416849437151,Belgium
458,Dalhousie University,23.02,100.0,2021,0.063205931244588,Canada
459,Griffith University,23.0,85.0,2021,0.0537250415578998,Australia
460,Indian Institute of Technology Kharagpur (IIT Kharagpur),22.8,36.0,2021,0.022754135248051678,India
461,Hohai University (HHU),22.71,56.0,2021,0.03539532149696928,China
462,Texas Tech University (TTU),22.63,147.0,2021,0.09291271892954435,United States of America (USA)
463,University of Southern Denmark (SDU),22.47,123.0,2021,0.07774329543084323,Denmark
464,Swansea University,22.46,84.0,2021,0.05309298224545391,United Kingdom (UK)
465,Rensselaer Polytechnic Institute (RPI),22.46,69.0,2021,0.04361209255876571,United States of America (USA)
466,Moscow Institute of Physics and Technology - State University (MIPT),22.19,196.0,2021,0.12388362523939246,Russia
467,Chung-Ang University (CAU),22.13,56.0,2021,0.03539532149696928,South Korea
468,Tokyo Medical and Dental University (TMDU),22.04,68.0,2021,0.04298003324631983,Japan
469,Skolkovo Institute of Science and Technology (Skoltech),22.0,97.0,2021,0.06130975330725035,Russia
470,University of Texas Medical Branch (UTMB),21.95,66.0,2021,0.041715914621428075,United States of America (USA)
471,University of East Anglia (UEA),21.91,108.0,2021,0.06826240574415503,United Kingdom (UK)
472,Guangzhou Medical University (GMU),21.88,104.0,2021,0.06573416849437151,China
473,The George Washington University (GW),21.87,97.0,2021,0.06130975330725035,United States of America (USA)
474,Colorado School of Mines,21.86,82.0,2021,0.051828863620562146,United States of America (USA)
475,University College Dublin (UCD),21.84,176.0,2021,0.11124243899047485,Ireland
476,Tokyo University of Science (TUS),21.79,68.0,2021,0.04298003324631983,Japan
477,Auburn University,21.72,88.0,2021,0.05562121949523743,United States of America (USA)
478,Masaryk University (MU),21.64,118.0,2021,0.07458299886861383,Czech Republic
479,Hangzhou Normal University (HZNU),21.54,73.0,2021,0.046140329808549235,China
480,University of Fribourg (UNIFR),21.54,95.0,2021,0.06004563468235859,Switzerland
481,Zhejiang Sci-Tech University (ZSTU),21.4,46.0,2021,0.02907472837251048,China
482,University of Iceland,21.21,87.0,2021,0.054989160182791555,Iceland
483,University of Dundee,21.2,100.0,2021,0.063205931244588,United Kingdom (UK)
484,University of Tasmania (UTAS),21.16,124.0,2021,0.0783753547432891,Australia
485,The University of Texas Health Science Center at San Antonio (UT Health San Antonio),21.13,69.0,2021,0.04361209255876571,United States of America (USA)
486,Jiangxi Normal University (JXNU),21.12,53.0,2021,0.033499143559631635,China
487,ITMO National Research University (ITMO University),21.1,63.0,2021,0.03981973668409044,Russia
488,University of Granada (UGR),21.09,137.0,2021,0.08659212580508555,Spain
489,The University of Texas at San Antonio (UTSA),21.01,65.0,2021,0.041083855308982196,United States of America (USA)
490,Huaqiao University (HQU),20.91,35.0,2021,0.022122075935605796,China
491,University of Lorraine (UL),20.79,126.0,2021,0.07963947336818088,France
492,University of Ljubljana,20.78,134.0,2021,0.08469594786774791,Slovenia
493,Indian Institute of Science Education and Research Bhopal (IISER Bhopal),20.55,29.0,2021,0.01832972006093052,India
494,University of Macau (UM),20.31,85.0,2021,0.0537250415578998,China
495,Capital Normal University (CNU),20.27,51.0,2021,0.03223502493473988,China
496,University of Reading,20.23,95.0,2021,0.06004563468235859,United Kingdom (UK)
497,Swedish University of Agricultural Sciences (SLU),20.08,103.0,2021,0.06510210918192563,Sweden
498,Medical University of Vienna (MUW),19.99,151.0,2021,0.09544095617932787,Austria
499,Utah State University (USU),19.95,92.0,2021,0.05814945674502096,United States of America (USA)
500,Polytechnic University of Milan,19.95,97.0,2021,0.06130975330725035,Italy
