World Rank,Institution,Country,Share,Count,Year,Publication share
235,KTH Royal Institute of Technology,Sweden,50.77,392,2016,0.3037794189443665
236,University of Toulouse,France,50.72,416,2016,0.3223781588797359
237,University of Colorado Anschutz Medical Campus (CU Anschutz),United States of America (USA),50.62,141,2016,0.1092675971202951
238,University of Lausanne (UNIL),Switzerland,50.47,187,2016,0.14491518199641973
239,University of São Paulo (USP),Brazil,50.22,270,2016,0.20923582427290552
240,Beihang University (BUAA),China,50.01,168,2016,0.13019117954758563
241,University of Valencia (UV),Spain,49.71,263,2016,0.2038111917917561
242,University of Birmingham (UB),United Kingdom (UK),49.62,305,2016,0.23635898667865252
243,University of Konstanz,Germany,49.45,94,2016,0.0728450647468634
244,McMaster University,Canada,49.3,116,2016,0.08989390968761866
245,Tufts University,United States of America (USA),49.23,267,2016,0.20691098178098433
246,Wayne State University,United States of America (USA),49.21,190,2016,0.14724002448834092
247,Vienna University of Technology (TU Wien),Austria,48.87,174,2016,0.13484086453142802
248,University of Lyon,France,48.68,438,2016,0.3394270038204911
249,Cardiff University,United Kingdom (UK),48.44,192,2016,0.14878991948295503
250,Beijing University of Chemical Technology (BUCT),China,48.08,95,2016,0.07362001224417046
251,The University of Dublin,Ireland,47.66,141,2016,0.1092675971202951
252,Leipzig University,Germany,47.34,166,2016,0.12864128455297152
253,University of Delaware (UD),United States of America (USA),47.22,129,2016,0.09996822715261042
254,University of Stuttgart,Germany,47.0,127,2016,0.0984183321579963
255,Aix-Marseille University (AMU),France,46.98,456,2016,0.35337605877201816
256,Brandeis University,United States of America (USA),46.8,141,2016,0.1092675971202951
257,University of Connecticut (UConn),United States of America (USA),46.24,141,2016,0.1092675971202951
258,Aalto University,Finland,45.73,218,2016,0.16893855441293854
259,Dalian University of Technology (DUT),China,45.6,98,2016,0.07594485473609162
260,Université Libre de Bruxelles (ULB),Belgium,45.53,196,2016,0.15188970947218325
261,Philipps University of Marburg (Uni Marburg),Germany,45.41,119,2016,0.09221875217953983
262,The University of Kansas (KU),United States of America (USA),44.85,194,2016,0.15033981447756914
263,Queen Mary University of London (QMUL),United Kingdom (UK),44.58,262,2016,0.20303624429444905
264,The City University of New York (CUNY),United States of America (USA),44.42,175,2016,0.13561581202873504
265,Western University (UWO),Canada,44.2,109,2016,0.08446927720646927
266,University of York,United Kingdom (UK),44.13,148,2016,0.1146922296014445
267,City University of Hong Kong (CityU),China,43.65,141,2016,0.1092675971202951
268,University of Exeter,United Kingdom (UK),43.64,159,2016,0.12321665207182214
269,University of South Florida (USF),United States of America (USA),43.54,113,2016,0.08756906719569749
270,Central China Normal University (CCNU),China,43.5,121,2016,0.09376864717415395
271,Friedrich Schiller University Jena (FSU),Germany,43.21,173,2016,0.13406591703412093
272,University of Montpellier,France,43.08,374,2016,0.28983036399283946
273,Southwest University (SWU),China,43.01,65,2016,0.05037158732495873
274,Lomonosov Moscow State University (MSU),Russia,42.63,331,2016,0.256507621608636
275,Ben-Gurion University of the Negev (BGU),Israel,42.48,92,2016,0.07129516975224928
276,Nanjing Tech University (NanjingTech),China,42.45,102,2016,0.07904464472531986
277,The University of New Mexico (UNM),United States of America (USA),41.0,216,2016,0.16738865941832443
278,The University of Alabama at Birmingham (UAB),United States of America (USA),40.44,132,2016,0.1022930696445316
279,The University of Tennessee at Knoxville (UTK),United States of America (USA),40.21,246,2016,0.19063708433753615
280,Technical University of Darmstadt (TU Darmstadt),Germany,40.16,113,2016,0.08756906719569749
281,Chalmers University of Technology (Chalmers),Sweden,40.15,109,2016,0.08446927720646927
282,University of Kiel (CAU),Germany,39.91,171,2016,0.13251602203950683
283,"University of Maryland, Baltimore (UMB)",United States of America (USA),39.8,125,2016,0.09686843716338218
284,The University of Oklahoma (OU),United States of America (USA),39.75,203,2016,0.15731434195333266
285,Dartmouth College,United States of America (USA),39.71,125,2016,0.09686843716338218
286,Newcastle University,United Kingdom (UK),39.64,179,2016,0.1387156020179633
287,University of Lisbon (ULISBOA),Portugal,39.59,220,2016,0.17048844940755264
288,Complutense University of Madrid (UCM),Spain,39.11,176,2016,0.13639075952604213
289,The University of Akron (UAkron),United States of America (USA),38.88,67,2016,0.05192148231957285
290,National Chiao Tung University (NCTU),Taiwan,38.57,91,2016,0.07052022225494223
291,University of Kentucky (UK),United States of America (USA),38.45,120,2016,0.09299369967684688
292,University of Padova (UNIPD),Italy,38.42,269,2016,0.20846087677559846
293,Indian Institute of Science Education and Research Pune (IISER Pune),India,37.81,110,2016,0.08524422470377632
294,Ulm University,Germany,37.68,143,2016,0.11081749211490921
295,Chiba University,Japan,37.65,105,2016,0.08136948721724103
296,University of Innsbruck (LFU),Austria,37.62,195,2016,0.15111476197487622
297,Sapienza University of Rome,Italy,37.41,333,2016,0.25805751660325016
298,Curtin University,Australia,37.35,138,2016,0.10694275462837394
299,China University of Geosciences (CUG),China,37.19,80,2016,0.06199579978456459
300,University of South Carolina - Columbia (SC),United States of America (USA),36.91,122,2016,0.09454359467146102
301,Virginia Commonwealth University (VCU),United States of America (USA),36.87,79,2016,0.061220852287257536
302,Northeastern University (NEU),United States of America (USA),36.83,164,2016,0.12709138955835741
303,National Autonomous University of Mexico (UNAM),Mexico,36.69,145,2016,0.11236738710952332
304,Catholic University of Louvain (UCLouvain),Belgium,36.33,150,2016,0.11624212459605862
305,University of Bath,United Kingdom (UK),35.94,100,2016,0.07749474973070575
306,The Hong Kong Polytechnic University (PolyU),China,35.42,95,2016,0.07362001224417046
307,University of Duisburg-Essen (UDE),Germany,35.15,121,2016,0.09376864717415395
308,Rensselaer Polytechnic Institute (RPI),United States of America (USA),34.99,83,2016,0.06432064227648576
309,University of Potsdam,Germany,34.96,126,2016,0.09764338466068924
310,Shandong Normal University (SDNU),China,34.39,43,2016,0.03332274238420347
311,University of Science and Technology Beijing (USTB),China,34.36,79,2016,0.061220852287257536
312,Louisiana State University (LSU),United States of America (USA),34.26,154,2016,0.11934191458528684
313,University of Missouri (Mizzou),United States of America (USA),34.23,86,2016,0.06664548476840694
314,The University of Adelaide (Adelaide Uni),Australia,34.21,214,2016,0.1658387644237103
315,University of Gothenburg (GU),Sweden,34.17,128,2016,0.09919327965530335
316,Washington State University (WSU),United States of America (USA),34.17,105,2016,0.08136948721724103
317,The University of Western Australia (UWA),Australia,34.09,221,2016,0.1712633969048597
318,University of Warsaw (UW),Poland,33.61,172,2016,0.13329096953681388
319,University of Santiago de Compostela (USC),Spain,33.43,144,2016,0.11159243961221628
320,Simon Fraser University (SFU),Canada,33.41,172,2016,0.13329096953681388
321,Wageningen University & Research (WUR),Netherlands,32.89,142,2016,0.11004254461760216
322,Heinrich Heine University Düsseldorf (HHU),Germany,32.84,136,2016,0.10539285963375983
323,Ewha Womans University (Ewha),South Korea,32.82,98,2016,0.07594485473609162
324,Shanghai University (SHU),China,32.68,92,2016,0.07129516975224928
325,University of Bordeaux,France,32.37,232,2016,0.17978781937523733
326,University of Bologna (UNIBO),Italy,32.21,286,2016,0.22163498422981842
327,Bar-Ilan University (BIU),Israel,32.11,84,2016,0.06509558977379282
328,The University of Texas at Dallas (UT Dallas),United States of America (USA),31.79,163,2016,0.12631644206105036
329,University of Otago,New Zealand,31.78,118,2016,0.09144380468223277
330,University of Saskatchewan (U of S),Canada,31.42,78,2016,0.06044590478995048
331,University of Dundee,United Kingdom (UK),31.38,95,2016,0.07362001224417046
332,University of Twente (UTwente),Netherlands,31.17,65,2016,0.05037158732495873
333,Hiroshima University (HU),Japan,31.1,125,2016,0.09686843716338218
334,Chongqing University (CQU),China,30.66,88,2016,0.06819537976302106
335,Southern University of Science and Technology (SUSTech),China,30.64,95,2016,0.07362001224417046
336,University of Sussex,United Kingdom (UK),30.58,171,2016,0.13251602203950683
337,Boston College (BC),United States of America (USA),30.51,56,2016,0.043397059849195216
338,National Institute of Applied Sciences (INSA),France,30.49,289,2016,0.22395982672173959
339,Kobe University,Japan,30.21,149,2016,0.11546717709875155
340,Linköping University (LiU),Sweden,30.1,106,2016,0.08214443471454809
341,University of Wollongong (UOW),Australia,29.91,101,2016,0.0782696972280128
342,Chinese Academy of Medical Sciences & Peking Union Medical College (CAMS & PUMC),China,29.76,106,2016,0.08214443471454809
343,Queen's University,Canada,29.58,163,2016,0.12631644206105036
344,Clemson University,United States of America (USA),29.46,59,2016,0.04572190234111639
345,TU Dortmund University,Germany,29.45,174,2016,0.13484086453142802
346,Jawaharlal Nehru Centre for Advanced Scientific Research (JNCASR),India,29.44,47,2016,0.0364225323734317
347,Kanazawa University (KU),Japan,28.96,78,2016,0.06044590478995048
348,Charles University (CU),Czech Republic,28.81,254,2016,0.1968366643159926
349,Fuzhou University (FZU),China,28.62,49,2016,0.03797242736804581
350,Drexel University,United States of America (USA),28.6,95,2016,0.07362001224417046
351,University of Antwerp (UA),Belgium,28.48,145,2016,0.11236738710952332
352,State University of New York at Albany (SUNY Albany),United States of America (USA),28.24,145,2016,0.11236738710952332
353,Northwest University (NWU),China,28.02,53,2016,0.041072217357274045
354,Indian Institute of Technology Kanpur (IIT Kanpur),India,28.02,47,2016,0.0364225323734317
355,University of Strathclyde,United Kingdom (UK),27.44,107,2016,0.08291938221185514
356,University of Oviedo (UniOvi),Spain,27.4,126,2016,0.09764338466068924
357,Leibniz University Hannover (LUH),Germany,27.32,84,2016,0.06509558977379282
358,University of Liège (ULg),Belgium,27.2,88,2016,0.06819537976302106
359,University of Florence (UNIFI),Italy,27.12,177,2016,0.13716570702334915
360,University of Turin (UNITO),Italy,27.08,213,2016,0.16506381692640323
361,Gwangju Institute of Science and Technology (GIST),South Korea,26.78,64,2016,0.049596639827651674
362,Saarland University (Saar-Uni),Germany,26.71,73,2016,0.056571167303415194
363,University of Bremen (Uni Bremen),Germany,26.67,109,2016,0.08446927720646927
364,China Agricultural University (CAU),China,26.53,65,2016,0.05037158732495873
365,Waseda University,Japan,26.51,139,2016,0.10771770212568098
366,Indian Institute of Technology Madras (IIT Madras),India,26.22,52,2016,0.04029726985996699
367,Institute for Advanced Study (IAS),United States of America (USA),25.86,71,2016,0.05502127230880108
368,University of Sherbrooke (USherbrooke),Canada,25.82,114,2016,0.08834401469300454
369,Jagiellonian University (UJ),Poland,25.76,147,2016,0.11391728210413743
370,Okayama University,Japan,25.76,147,2016,0.11391728210413743
371,Queen's University Belfast (QUB),United Kingdom (UK),25.7,84,2016,0.06509558977379282
