Rank,University,Country,Article,Citation,Total Document,AIT,CIT,Collaboration,Total
1,Harvard University,USA,126.0,126.0,60.0,90.0,90.0,108.0,600.0
2,University of Toronto,CANADA,118.78,124.55,59.0,89.0,107.0,86.42,584.76
3,University College London,ENGLAND,117.04,124.15,57.47,88.33,106.83,87.34,581.16
4,Universite de Paris,FRANCE,117.59,122.26,57.39,87.75,104.9,84.75,574.64
5,University of Oxford,ENGLAND,113.73,122.48,56.02,86.07,104.82,86.25,569.37
6,Stanford University,USA,112.17,125.0,55.59,80.03,106.53,89.0,568.31
7,Johns Hopkins University,USA,113.65,121.91,56.37,80.46,104.93,85.68,563.01
8,Shanghai Jiao Tong University,CHINA MAINLAND,125.0,117.02,55.63,74.91,103.05,80.53,556.14
9,Tsinghua University,CHINA MAINLAND,116.44,120.12,53.89,74.49,103.67,84.23,552.84
10,Zhejiang University,CHINA MAINLAND,124.15,116.37,54.98,74.26,101.65,79.58,550.99
11,University of Cambridge,ENGLAND,108.47,119.05,53.65,82.64,102.12,84.6,550.54
12,University of Michigan,USA,111.96,118.87,55.62,77.14,102.76,82.89,549.23
13,Imperial College London,ENGLAND,107.7,118.81,53.14,83.15,101.21,84.75,548.75
14,University of Washington Seattle,USA,108.85,120.01,53.9,76.29,103.53,86.13,548.71
15,University of Pennsylvania,USA,108.69,118.21,55.0,75.54,102.06,83.91,543.41
16,University of California Los Angeles,USA,106.77,116.69,53.69,76.41,100.75,83.09,537.39
17,Peking University,CHINA MAINLAND,115.56,115.37,53.13,73.35,99.53,79.69,536.64
18,University of Sydney,AUSTRALIA,107.34,115.08,53.67,81.07,98.99,80.41,536.55
19,Universite Paris Saclay,FRANCE,107.31,114.58,53.02,81.88,98.74,80.26,535.79
20,Columbia University,USA,105.68,116.8,53.2,76.25,100.42,83.09,535.43
21,Massachusetts Institute of Technology (MIT),USA,101.42,119.1,50.02,75.4,101.32,87.53,534.8
22,University of Melbourne,AUSTRALIA,107.72,114.31,52.87,79.81,98.04,79.18,531.93
23,Sorbonne Universite,FRANCE,106.13,114.13,52.61,81.6,97.66,79.65,531.77
