Rank,University,Country,Article,Citation,Total Document,AIT,CIT,Collaboration,Total
1,Harvard University,United States of America,126.0,126.0,60.0,108.0,90.0,90.0,600.0
2,University of Toronto,Canada,125.0,123.38,59.0,105.75,81.33,89.0,583.47
3,University of Oxford,United Kingdom,119.19,122.63,55.67,106.06,83.58,88.15,575.28
4,Stanford University,United States of America,119.8,125.0,54.96,107.0,86.01,81.2,573.97
5,University College London,United Kingdom,120.92,120.24,56.89,103.89,80.08,87.97,569.99
6,Johns Hopkins University,United States of America,120.11,121.24,56.09,102.73,80.7,80.45,561.32
7,University of Cambridge,United Kingdom,115.83,119.3,53.62,103.33,81.77,86.2,560.03
8,Massachusetts Institute of Technology (MIT),United States of America,110.68,122.09,50.04,105.69,89.0,79.07,556.57
9,University of Michigan,United States of America,120.73,118.91,55.8,102.56,78.79,78.16,554.95
10,University of Washington Seattle,United States of America,116.11,119.33,53.58,101.93,80.49,77.29,548.74
11,Imperial College London,United Kingdom,113.07,115.81,52.51,98.72,78.07,84.28,542.46
12,University of California Berkeley,United States of America,107.29,119.16,50.62,103.08,83.24,78.7,542.08
13,University of California Los Angeles,United States of America,114.03,116.86,53.67,100.12,78.4,77.62,540.7
14,Columbia University,United States of America,111.57,116.76,52.65,100.26,79.82,77.21,538.27
15,University of Pennsylvania,United States of America,113.4,117.56,54.06,100.09,79.28,73.64,538.03
16,University of Copenhagen,Denmark,112.33,113.89,50.86,96.9,76.32,83.31,533.6
17,Sorbonne Universite,France,112.27,111.9,50.14,96.22,74.6,83.45,528.58
18,Tsinghua University,China,119.34,110.61,51.99,97.18,72.85,74.1,526.05
19,University of California San Diego,United States of America,108.22,113.71,50.92,97.58,77.22,75.52,523.16
20,University of Tokyo,Japan,114.79,110.91,52.16,95.2,71.19,76.12,520.36
21,Yale University,United States of America,106.59,113.36,50.71,97.16,77.76,73.63,519.2
22,Peking University,China,115.02,109.9,50.57,94.77,71.33,74.56,516.15
23,University of Sydney,Australia,110.45,108.85,52.36,93.62,71.18,79.55,516.01
24,Shanghai Jiao Tong University,China,120.64,107.68,52.53,93.52,67.72,73.48,515.57
25,Cornell University,United States of America,107.9,111.65,50.26,95.7,76.04,73.27,514.82
26,University of Melbourne,Australia,109.79,108.94,50.76,94.18,72.42,78.5,514.58
27,University of British Columbia,Canada,107.9,108.89,50.7,94.0,72.42,79.96,513.88
28,University of California San Francisco,United States of America,104.83,114.13,50.23,95.09,78.15,71.28,513.71
29,University of Chicago,United States of America,104.24,112.55,49.08,96.72,77.83,73.24,513.66
30,National University of Singapore,Singapore,106.84,108.41,49.29,94.14,72.7,81.18,512.56
31,Zhejiang University,China,117.88,107.75,51.78,93.12,67.72,72.79,511.04
32,University of Minnesota Twin Cities,United States of America,109.36,108.58,50.85,94.78,72.87,72.56,509.0
33,Duke University,United States of America,106.05,111.29,50.44,94.38,74.53,72.16,508.85
34,ETH Zurich,Switzerland,103.32,106.96,46.11,93.77,74.51,79.37,504.03
35,University of Pittsburgh,United States of America,104.95,110.53,50.97,93.27,73.83,69.38,502.93
36,Ohio State University,United States of America,107.53,107.37,50.46,93.43,72.22,71.28,502.3
37,McGill University,Canada,104.15,107.08,49.07,92.49,72.12,77.36,502.27
38,Universidade de Sao Paulo,Brazil,116.33,102.46,53.53,88.35,62.46,78.12,501.25
39,University of Queensland,Australia,107.27,106.47,49.07,91.26,69.31,77.75,501.13
40,Utrecht University,Netherlands,103.76,107.09,47.68,91.38,71.31,77.5,498.72
41,University of Wisconsin Madison,United States of America,106.05,106.83,49.31,93.57,72.19,69.97,497.92
42,KU Leuven,Belgium,104.58,105.23,48.63,89.59,68.83,80.13,496.99
43,University of Manchester,United Kingdom,102.35,105.74,48.91,90.69,70.68,76.36,494.73
44,University of North Carolina Chapel Hill,United States of America,104.39,108.47,48.91,91.87,72.58,68.26,494.48
45,Northwestern University,United States of America,103.24,108.92,48.6,92.31,73.45,67.7,494.22
46,Monash University,Australia,106.57,104.54,48.9,89.34,68.07,76.51,493.93
47,Ruprecht Karl University Heidelberg,Germany,99.31,107.47,46.95,91.29,74.07,74.84,493.92
48,Karolinska Institutet,Sweden,102.33,106.69,46.62,88.57,70.97,78.03,493.22
49,Seoul National University,South Korea,112.31,105.12,50.31,89.17,65.72,69.91,492.54
50,University of Edinburgh,United Kingdom,99.06,105.67,46.82,91.71,73.92,74.87,492.05
51,University of Amsterdam,Netherlands,102.25,105.28,47.45,89.78,70.16,75.9,490.82
52,University of New South Wales Sydney,Australia,105.35,102.8,48.26,89.43,68.57,75.69,490.1
53,University of Munich,Germany,98.42,106.24,46.68,90.25,72.45,74.98,489.04
54,University of California Davis,United States of America,102.53,104.55,47.9,90.6,70.11,71.89,487.58
55,Kings College London,United Kingdom,98.26,104.02,48.4,90.07,71.66,74.4,486.8
56,Penn State University,United States of America,104.02,103.68,48.35,90.14,68.86,70.9,485.95
57,Nanyang Technological University,Singapore,98.97,103.82,45.31,90.0,71.45,75.47,485.02
58,University of Barcelona,Spain,100.57,104.12,47.09,87.43,68.4,75.41,483.03
59,University of Florida,United States of America,105.05,101.29,48.92,87.98,66.4,71.31,480.95
60,Ghent University,Belgium,100.62,100.35,46.78,88.11,66.39,77.15,479.39
61,Washington University (WUSTL),United States of America,96.92,107.48,46.27,89.24,73.96,63.72,477.58
62,Fudan University,China,106.43,103.24,46.71,86.94,66.08,67.21,476.62
63,University of Zurich,Switzerland,95.01,102.12,44.44,88.23,70.84,75.43,476.06
64,University of Texas Austin,United States of America,98.22,102.46,45.6,90.51,71.77,67.28,475.84
65,New York University,United States of America,99.01,102.65,47.67,88.99,69.89,67.19,475.4
66,Kyoto University,Japan,104.81,101.39,47.8,86.29,64.12,68.68,473.09
67,Sapienza University Rome,Italy,97.61,100.19,47.37,87.7,68.16,71.43,472.46
68,University of Illinois Urbana-Champaign,United States of America,98.82,101.2,46.09,88.62,68.75,68.3,471.79
69,University of Groningen,Netherlands,97.34,101.17,44.7,86.49,68.38,73.27,471.36
70,Aarhus University,Denmark,99.95,100.25,44.73,85.16,65.6,75.1,470.79
71,University of Helsinki,Finland,95.92,101.43,43.93,86.62,68.8,74.05,470.75
72,California Institute of Technology,United States of America,88.82,104.73,40.58,89.75,76.07,68.54,468.49
73,University of Maryland College Park,United States of America,95.57,100.86,43.98,89.36,70.53,68.17,468.47
74,Humboldt University of Berlin,Germany,95.51,100.6,46.54,85.96,67.63,71.72,467.96
75,University of Southern California,United States of America,94.74,102.76,46.06,87.63,70.21,66.2,467.59
76,Aix-Marseille Universite,France,96.31,100.02,44.79,86.0,67.25,73.16,467.52
77,Vrije Universiteit Amsterdam,Netherlands,94.89,100.77,44.87,86.25,67.81,72.8,467.38
78,University of Alberta,Canada,99.86,98.72,46.77,84.97,64.19,72.81,467.31
79,Technical University of Munich,Germany,97.56,100.08,45.39,85.14,66.79,72.28,467.24
80,Free University of Berlin,Germany,96.61,100.58,46.95,84.51,65.81,72.33,466.79
81,Huazhong University of Science & Technology,China,107.1,98.66,46.35,86.67,64.15,63.85,466.78
82,Emory University,United States of America,96.81,103.86,46.55,85.9,69.36,63.9,466.38
83,Sun Yat Sen University,China,107.87,99.5,46.28,84.81,63.33,64.42,466.21
84,Lund University,Sweden,95.84,99.73,44.1,85.43,67.01,73.89,466.0
85,Universite Grenoble Alpes (UGA),France,95.26,99.39,44.14,85.73,66.84,73.38,464.73
86,University of Oslo,Norway,95.99,99.58,43.88,84.55,67.21,72.98,464.19
87,Vanderbilt University,United States of America,94.65,103.39,45.48,87.17,70.52,62.78,463.99
88,University of Padua,Italy,94.8,99.26,44.87,85.15,67.72,71.16,462.96
89,Radboud University Nijmegen,Netherlands,92.66,100.34,43.55,85.52,68.98,71.57,462.62
90,University of Science & Technology of China,China,102.18,100.02,43.27,86.62,67.06,63.01,462.16
91,Universite Paris Sud - Paris 11,France,91.14,100.93,42.51,86.11,69.24,72.23,462.16
92,Uppsala University,Sweden,95.47,99.11,43.07,84.44,66.64,73.13,461.86
93,Leiden University,Netherlands,93.55,100.04,43.53,84.59,68.05,71.72,461.48
94,Nanjing University,China,101.66,99.67,43.93,85.97,65.1,63.86,460.19
95,University of Paris Diderot,France,90.07,101.16,41.8,85.16,70.3,70.9,459.4
96,Erasmus University Rotterdam,Netherlands,91.72,100.65,43.89,84.16,68.24,70.11,458.76
97,Boston University,United States of America,91.27,99.61,43.92,86.58,69.92,64.0,455.3
98,University of Southampton,United Kingdom,90.86,97.36,43.6,84.93,67.44,71.04,455.24
99,University of Montreal,Canada,94.82,97.05,44.97,83.28,64.44,70.49,455.05
100,King Abdulaziz University,Saudi Arabia,87.27,98.55,39.53,84.75,69.8,74.95,454.85
101,University of Bristol,United Kingdom,90.55,96.95,42.94,84.86,67.93,68.88,452.11
102,Ecole Polytechnique Federale de Lausanne,Switzerland,86.01,100.18,39.86,84.43,70.77,70.12,451.37
103,Princeton University,United States of America,86.04,100.41,40.19,87.24,72.54,64.84,451.26
104,Rutgers State University New Brunswick,United States of America,93.39,97.04,45.61,84.33,64.98,65.61,450.96
105,University of Arizona,United States of America,91.27,97.19,43.86,85.46,67.46,65.55,450.8
106,Xi'an Jiaotong University,China,104.69,92.94,44.97,81.44,64.04,61.75,449.83
107,University of Western Australia,Australia,93.11,96.72,43.3,81.79,63.68,70.99,449.6
108,University of Birmingham,United Kingdom,89.34,96.9,44.27,83.16,67.31,68.24,449.23
109,University of Milan,Italy,92.99,96.85,43.96,82.03,65.02,67.77,448.61
110,University of Bologna,Italy,91.53,95.27,43.91,83.27,65.4,68.12,447.51
111,National Taiwan University,Taiwan,95.07,96.55,45.36,82.65,61.62,65.5,446.76
112,University of Geneva,Switzerland,86.38,97.33,41.06,82.64,68.02,70.94,446.36
113,Harbin Institute of Technology,China,103.12,93.27,45.61,82.64,60.41,61.22,446.27
114,University of Colorado Boulder,United States of America,89.52,97.47,41.35,84.83,68.7,62.72,444.59
115,Purdue University,United States of America,95.13,93.93,44.13,83.28,63.39,64.65,444.5
116,Texas A&M University College Station,United States of America,97.17,92.88,44.18,81.59,61.06,67.4,444.29
117,Georgia Institute of Technology,United States of America,90.41,95.82,42.34,83.02,66.4,64.7,442.69
118,University of California Irvine,United States of America,87.72,96.92,42.16,84.18,68.73,62.81,442.51
119,Shandong University,China,101.6,93.83,45.08,81.65,60.01,59.97,442.14
120,University of Utah,United States of America,93.41,97.49,43.69,81.48,64.51,61.42,442.01
121,Michigan State University,United States of America,94.2,93.9,43.37,82.43,62.75,64.51,441.15
122,Universidade de Lisboa,Portugal,93.64,90.98,44.79,80.43,59.61,71.45,440.89
123,Universite de Toulouse,France,91.31,94.56,41.39,80.07,62.53,69.68,439.55
124,University of Hamburg,Germany,89.4,93.47,42.5,80.74,63.98,68.15,438.24
125,Tohoku University,Japan,96.15,93.52,44.27,79.23,58.08,65.46,436.7
126,McMaster University,Canada,87.1,95.72,42.7,79.72,63.82,66.62,435.68
127,University of Bern,Switzerland,88.41,92.4,40.99,79.81,63.54,70.16,435.3
128,Tel Aviv University,Israel,93.11,91.9,43.42,79.28,60.29,67.25,435.25
129,Australian National University,Australia,87.3,93.37,41.43,81.0,63.7,68.43,435.24
130,Osaka University,Japan,95.13,93.62,44.91,79.57,58.93,62.67,434.83
131,University of Nottingham,United Kingdom,89.29,93.69,43.3,79.29,62.26,66.92,434.75
132,Sichuan University,China,102.48,93.07,45.07,78.51,56.92,58.01,434.06
133,Autonomous University of Barcelona,Spain,90.87,91.96,41.71,79.62,61.52,68.27,433.95
134,University of Glasgow,United Kingdom,84.02,93.36,41.84,81.56,66.09,66.48,433.35
135,Jilin University,China,100.27,93.4,44.15,79.22,58.73,57.53,433.3
136,University of Hong Kong,Hong Kong,91.11,93.38,41.95,79.94,61.69,64.1,432.17
137,University of Sheffield,United Kingdom,87.57,91.29,42.13,81.03,64.61,65.28,431.91
138,Wuhan University,China,100.0,92.15,42.62,79.02,59.2,58.88,431.88
139,University of Calgary,Canada,90.2,92.91,43.05,77.39,60.38,66.56,430.51
140,Sungkyunkwan University,South Korea,92.39,94.27,42.62,79.66,62.14,59.13,430.22
141,Yonsei University,South Korea,96.87,93.05,44.22,77.91,57.05,60.32,429.43
142,Central South University,China,101.2,91.16,42.67,78.15,57.91,58.05,429.16
143,Universite de Montpellier,France,88.81,91.93,40.69,77.38,60.03,69.4,428.24
144,Technical University of Denmark,Denmark,86.03,92.97,38.75,79.11,63.31,67.4,427.56
145,Eberhard Karls University of Tubingen,Germany,85.1,93.57,40.88,78.45,62.45,67.02,427.47
146,University of Adelaide,Australia,86.4,91.42,40.42,79.66,63.99,64.97,426.85
147,Dresden University of Technology,Germany,84.93,92.18,41.46,79.21,63.11,65.45,426.35
148,University of Bonn,Germany,81.66,93.73,39.48,79.8,65.51,66.06,426.24
149,University of Basel,Switzerland,83.87,93.37,39.19,77.45,63.18,68.5,425.56
150,University of Leeds,United Kingdom,87.77,90.51,42.36,77.21,60.12,66.68,424.65
