Rank,University,Country,Article,Citation,Total Document,AIT,CIT,Collaboration,Total
151,Charite Medical University of Berlin,Germany,82.94,93.67,42.14,76.78,64.03,64.28,423.85
152,University of Ottawa,Canada,87.56,91.77,42.52,76.93,59.92,64.56,423.25
153,University of Virginia,United States of America,85.48,92.84,41.6,79.91,64.53,58.86,423.23
154,Tongji University,China,96.6,89.39,42.6,76.91,56.64,60.64,422.77
155,Arizona State University,United States of America,88.65,90.92,41.54,79.45,60.96,60.5,422.02
156,University of Liverpool,United Kingdom,84.73,90.43,40.91,76.99,61.26,67.28,421.6
157,University of Naples Federico II,Italy,87.93,88.67,41.89,78.29,61.21,63.13,421.13
158,University of Erlangen Nuremberg,Germany,84.89,91.56,40.96,76.76,60.85,65.44,420.45
159,Wageningen University & Research,Netherlands,82.01,91.65,37.15,78.95,62.96,67.51,420.23
160,RWTH Aachen University,Germany,85.74,89.89,40.83,77.81,61.83,63.75,419.85
161,Korea University,South Korea,91.92,89.86,41.88,78.09,58.13,59.67,419.56
162,Southeast University - China,China,94.72,88.45,42.02,78.88,58.84,56.61,419.52
163,Universite Toulouse III - Paul Sabatier,France,84.31,91.77,37.96,76.66,61.59,66.32,418.62
164,South China University of Technology,China,95.13,90.74,39.92,77.58,59.81,53.29,416.47
165,Case Western Reserve University,United States of America,84.14,93.66,41.49,77.05,62.73,57.37,416.45
166,Cardiff University,United Kingdom,81.64,90.94,39.71,76.66,63.79,63.6,416.34
167,Brown University,United States of America,83.76,92.3,40.52,79.04,63.74,56.88,416.23
168,University of California Santa Barbara,United States of America,78.4,92.8,36.84,80.68,67.7,58.81,415.23
169,Tianjin University,China,97.6,88.5,41.12,75.91,55.99,55.39,414.5
170,University of Iowa,United States of America,85.23,89.65,41.89,78.71,62.21,56.7,414.38
171,University of Gothenburg,Sweden,84.95,90.18,38.52,74.96,59.55,65.65,413.82
172,Karlsruhe Institute of Technology,Germany,82.48,87.74,38.55,77.8,62.33,64.88,413.78
173,University of Freiburg,Germany,81.29,89.38,39.81,76.93,61.41,64.6,413.42
174,Universite Claude Bernard Lyon 1,France,83.25,88.77,38.52,76.72,60.5,65.19,412.95
175,Charles University Prague,Czech Republic,85.56,85.69,41.84,75.08,57.42,65.92,411.52
176,Suzhou University,China,89.42,90.81,39.29,76.21,59.91,55.84,411.48
177,Stockholm University,Sweden,80.46,88.96,36.21,77.06,63.0,65.39,411.09
178,University of Gottingen,Germany,78.86,89.46,38.39,77.3,62.03,64.07,410.11
179,Universidade do Porto,Portugal,85.21,86.87,41.25,74.0,55.86,65.81,409.0
180,North Carolina State University,United States of America,86.92,87.54,39.83,75.85,57.96,59.19,407.29
181,University of Warwick,United Kingdom,82.46,86.42,39.21,75.57,59.57,64.0,407.23
182,University of Alabama Birmingham,United States of America,82.45,92.8,41.11,74.62,61.15,54.49,406.62
183,Queen Mary University London,United Kingdom,79.49,88.13,39.0,75.24,62.36,62.18,406.41
184,University of Paris Descartes,France,80.09,90.64,39.26,73.38,60.1,62.33,405.79
185,Newcastle University - UK,United Kingdom,82.37,87.53,40.18,73.76,58.4,63.13,405.37
186,Maastricht University,Netherlands,82.77,87.6,39.39,72.91,56.83,65.83,405.34
187,Western University (University of Western Ontario),Canada,84.45,87.32,40.95,73.67,56.22,62.58,405.19
188,Universidad Nacional Autonoma de Mexico,Mexico,92.65,83.14,42.2,70.82,49.66,66.54,405.01
189,University of Turin,Italy,81.53,87.61,39.44,74.59,59.44,62.27,404.89
190,Delft University of Technology,Netherlands,84.39,85.15,39.08,74.14,56.65,65.11,404.53
191,University of Waterloo,Canada,83.55,85.28,38.9,75.37,57.34,63.9,404.34
192,University of Florence,Italy,82.22,86.78,40.01,74.86,58.9,61.38,404.14
193,Royal Institute of Technology,Sweden,81.08,84.26,37.98,75.81,59.14,65.37,403.65
194,Nagoya University,Japan,87.89,86.66,41.03,74.22,55.83,57.86,403.49
195,University of Munster,Germany,79.57,89.68,38.55,74.05,59.53,62.01,403.39
196,University of Illinois Chicago,United States of America,83.0,87.39,41.68,75.73,58.78,56.16,402.74
197,Hebrew University of Jerusalem,Israel,80.72,87.34,38.79,73.6,57.61,63.23,401.3
198,University of Rochester,United States of America,77.26,90.04,38.74,76.53,62.48,56.2,401.24
199,University of Miami,United States of America,81.07,89.31,40.1,74.08,59.64,56.99,401.18
200,Lomonosov Moscow State University,Russia,85.48,80.6,42.05,74.5,55.24,63.15,401.02
201,University of Pisa,Italy,79.57,84.91,38.89,75.77,61.44,59.92,400.49
202,King Saud University,Saudi Arabia,86.67,82.0,39.92,69.94,50.74,70.83,400.09
203,University of Auckland,New Zealand,81.98,83.65,39.24,73.78,56.87,64.49,400.01
204,Dalian University of Technology,China,90.17,85.8,39.33,74.06,55.28,54.6,399.24
205,University of Tennessee Knoxville,United States of America,81.41,86.25,37.93,75.52,60.47,57.56,399.15
206,University of Bergen,Norway,76.61,86.04,35.53,75.06,62.46,63.19,398.89
207,Goethe University Frankfurt,Germany,78.43,88.07,38.22,72.81,58.51,62.53,398.57
208,Johannes Gutenberg University of Mainz,Germany,78.34,86.55,37.23,74.12,59.99,61.91,398.13
209,Kyushu University,Japan,86.88,84.91,41.09,73.05,54.19,57.0,397.12
210,University of Valencia,Spain,80.04,85.3,37.7,73.51,58.12,61.94,396.62
211,University of Cincinnati,United States of America,80.4,88.59,38.69,73.16,58.55,56.72,396.13
212,Beihang University,China,92.05,82.09,42.03,72.47,52.53,54.69,395.86
213,University of Cologne,Germany,78.8,86.22,37.96,72.15,57.79,62.47,395.39
214,University of Lausanne,Switzerland,77.9,86.72,36.88,71.94,58.5,63.4,395.34
215,Xiamen University,China,86.41,85.66,37.47,72.74,56.1,56.78,395.15
216,City University of Hong Kong,Hong Kong,80.19,84.87,35.72,75.98,59.59,54.97,391.32
217,Virginia Polytechnic Institute & State University,United States of America,83.88,83.44,39.47,72.84,54.5,57.18,391.31
218,Hokkaido University,Japan,86.74,84.29,39.83,70.44,51.65,57.68,390.64
219,Korea Advanced Institute of Science & Technology (KAIST),South Korea,81.9,86.22,37.85,73.68,57.24,53.61,390.5
220,University of Wurzburg,Germany,73.8,86.47,36.35,73.04,60.03,60.12,389.8
221,Universite de Strasbourg,France,75.97,84.43,35.73,72.51,58.64,62.44,389.71
222,State University of New York (SUNY) Stony Brook,United States of America,75.93,84.98,37.09,74.04,60.1,56.91,389.05
223,University of Exeter,United Kingdom,77.53,83.88,36.39,72.3,58.26,60.4,388.76
224,University of Vienna,Austria,78.27,83.01,36.49,70.29,54.67,65.57,388.3
225,Norwegian University of Science & Technology (NTNU),Norway,82.3,82.14,38.25,69.82,53.31,62.4,388.23
226,University of Athens,Greece,73.45,82.7,39.57,72.62,58.76,60.69,387.78
227,Hong Kong Polytechnic University,Hong Kong,84.52,82.44,36.55,73.44,55.66,55.04,387.65
228,Complutense University of Madrid,Spain,82.64,82.14,38.58,69.85,51.75,62.29,387.25
229,University of Kiel,Germany,73.59,85.64,35.82,72.14,61.1,58.56,386.85
230,Universite Catholique Louvain,Belgium,70.86,84.3,36.12,73.37,60.43,61.58,386.65
231,University of Rome Tor Vergata,Italy,71.89,83.82,36.62,73.96,62.45,57.85,386.59
232,Autonomous University of Madrid,Spain,74.97,82.62,35.7,73.51,59.71,59.87,386.38
233,University of Georgia,United States of America,83.41,82.83,38.6,71.56,53.24,56.56,386.21
234,Iowa State University,United States of America,80.88,81.9,37.51,73.01,55.86,57.05,386.2
235,Universite de Lille,France,77.49,83.7,37.27,70.42,55.28,62.02,386.18
236,Universiti Malaya,Malaysia,77.98,80.45,39.32,71.68,53.4,63.09,385.92
237,University of Connecticut,United States of America,80.92,83.62,39.33,71.69,54.54,54.99,385.09
238,Laval University,Canada,78.32,83.93,37.37,70.63,54.99,59.76,385.0
239,University of Maryland Baltimore,United States of America,76.88,86.54,38.37,71.0,58.0,54.19,384.98
240,Indiana University-Purdue University Indianapolis,United States of America,77.21,86.5,39.42,70.82,56.79,53.48,384.24
241,University of Cape Town,South Africa,74.38,82.11,36.48,71.2,57.52,62.54,384.22
242,University of Granada,Spain,75.79,81.38,36.73,72.16,58.17,59.91,384.14
243,Medical University of Vienna,Austria,74.89,85.59,37.81,68.08,56.14,61.54,384.05
244,University of Antwerp,Belgium,75.72,81.71,35.78,71.16,56.73,62.44,383.54
245,Nankai University,China,81.42,86.68,34.98,72.18,57.59,49.19,382.03
246,Universite Libre de Bruxelles,Belgium,71.53,83.3,35.49,71.39,58.51,61.59,381.81
247,University of Massachusetts Amherst,United States of America,74.28,82.87,36.06,72.65,59.65,55.86,381.36
248,University of Duisburg Essen,Germany,74.25,85.06,36.36,69.71,58.18,57.5,381.06
249,Curtin University,Australia,81.4,80.96,36.05,68.06,51.9,61.62,379.98
250,Carnegie Mellon University,United States of America,71.39,83.22,36.51,73.71,60.99,54.06,379.88
251,University College Dublin,Ireland,74.0,80.65,37.63,70.04,55.86,61.61,379.79
252,University of South Florida,United States of America,74.19,84.96,39.05,71.21,55.96,54.38,379.74
253,Ruhr University Bochum,Germany,76.16,83.09,37.14,69.1,54.3,59.62,379.41
254,University of Kansas,United States of America,77.54,81.59,38.09,71.47,56.04,54.25,378.98
255,University of California Santa Cruz,United States of America,64.56,85.99,30.83,75.48,68.55,53.16,378.57
256,University of Belgrade,Serbia,77.48,77.81,39.89,70.39,53.76,59.19,378.52
257,Durham University,United Kingdom,71.55,82.53,34.99,71.38,57.75,60.0,378.2
258,Universidade Estadual de Campinas,Brazil,83.61,78.61,39.22,68.94,51.18,56.48,378.05
259,Hanyang University,South Korea,81.37,82.03,37.58,70.27,52.58,54.05,377.88
260,Indiana University Bloomington,United States of America,73.65,81.62,37.07,72.89,58.22,54.19,377.64
261,Universidade Estadual Paulista,Brazil,86.32,75.77,40.13,67.89,49.87,57.65,377.63
262,Beijing Normal University,China,81.87,80.11,35.99,70.24,52.49,55.85,376.54
263,University of Kentucky,United States of America,79.29,81.92,37.99,69.65,53.12,54.57,376.54
264,University of Electronic Science & Technology of China,China,83.64,77.49,39.23,70.67,51.52,53.93,376.47
265,Queens University Belfast,United Kingdom,70.3,80.89,34.25,70.74,59.18,59.38,374.73
266,Florida State University,United States of America,73.33,81.86,35.24,72.46,58.08,53.53,374.5
267,Louisiana State University,United States of America,77.32,81.55,37.47,68.74,53.7,55.23,374.01
268,Trinity College Dublin,Ireland,70.9,82.25,36.72,68.38,56.59,58.96,373.8
269,University of Basque Country,Spain,76.47,80.01,35.65,68.83,52.37,60.45,373.78
270,Tufts University,United States of America,71.13,83.37,36.01,71.21,59.28,52.45,373.46
271,State University of New York (SUNY) Buffalo,United States of America,74.22,80.37,37.51,71.07,55.67,54.32,373.17
272,Friedrich Schiller University of Jena,Germany,72.9,82.44,36.02,68.86,54.54,58.36,373.12
273,Yeshiva University,United States of America,69.9,86.12,36.87,69.56,58.83,51.72,373.0
274,Aalto University,Finland,72.03,80.94,34.37,69.9,55.9,59.76,372.89
275,University of Genoa,Italy,72.0,78.87,36.77,70.56,58.15,56.01,372.37
276,University of California Riverside,United States of America,71.31,81.3,33.71,71.49,59.43,54.13,371.38
277,Colorado State University,United States of America,77.8,80.5,35.8,69.5,54.03,53.51,371.15
278,Wayne State University,United States of America,70.78,82.3,37.21,70.39,56.89,53.36,370.94
279,Griffith University,Australia,75.97,79.18,35.52,68.77,53.4,57.15,369.99
280,Beijing Institute of Technology,China,82.79,79.0,38.33,68.85,52.02,48.98,369.98
281,Ulm University,Germany,69.54,83.47,34.82,67.9,56.98,56.97,369.68
282,University of Leicester,United Kingdom,67.69,82.68,35.36,68.83,57.99,57.0,369.55
283,Tokyo Institute of Technology,Japan,76.64,79.58,37.06,69.49,52.49,54.21,369.46
284,Universite de Lorraine,France,75.49,79.34,35.37,66.53,52.68,59.77,369.18
285,University of Manitoba,Canada,75.21,79.19,36.57,66.91,51.61,58.06,367.56
286,Technion Israel Institute of Technology,Israel,75.07,78.28,35.45,68.54,53.28,56.74,367.35
287,Linkoping University,Sweden,72.12,79.71,33.88,68.7,55.34,57.43,367.18
288,University of Leipzig,Germany,73.86,80.84,35.83,66.51,52.76,57.37,367.16
289,Universidade Federal do Rio de Janeiro,Brazil,79.07,76.16,37.72,66.28,49.82,58.0,367.06
290,Hunan University,China,79.51,81.13,33.27,69.64,55.52,47.87,366.94
291,Oregon State University,United States of America,77.92,79.39,35.19,67.96,52.17,53.88,366.5
292,Chongqing University,China,85.11,77.96,36.08,67.09,49.56,50.54,366.34
293,Polytechnic University of Milan,Italy,74.43,77.78,36.92,67.56,51.76,57.84,366.29
294,University of New Mexico,United States of America,69.2,80.68,36.22,70.55,56.97,52.33,365.95
295,Hong Kong University of Science & Technology,Hong Kong,71.28,81.41,33.1,71.04,57.77,51.32,365.91
296,Kyung Hee University,South Korea,79.15,79.75,36.25,67.43,50.48,52.71,365.77
297,University of Southern Denmark,Denmark,74.3,79.29,34.0,65.83,51.98,59.73,365.13
298,China University of Geosciences,China,83.88,77.54,34.9,65.13,48.5,54.81,364.75
299,University of Tehran,Iran,83.53,75.84,37.24,66.06,47.28,54.28,364.22
300,Lanzhou University,China,78.7,81.11,34.01,68.53,53.12,48.35,363.82
301,Umea University,Sweden,72.03,80.78,32.93,66.03,53.42,58.6,363.79
302,Dalhousie University,Canada,71.95,80.21,35.12,67.12,53.53,55.85,363.78
303,Deakin University,Australia,76.2,76.91,35.27,66.18,50.55,57.0,362.1
304,Washington State University,United States of America,75.11,78.82,34.27,67.74,53.23,52.89,362.06
305,University of Otago,New Zealand,71.31,78.74,34.43,65.86,51.96,58.83,361.11
306,University of York - UK,United Kingdom,69.9,78.5,34.83,67.7,53.71,56.29,360.95
307,Jagiellonian University,Poland,75.51,75.92,36.06,66.05,50.53,56.67,360.74
308,University of Turku,Finland,70.35,79.61,32.95,65.68,53.54,58.43,360.56
309,George Washington University,United States of America,73.05,80.17,36.21,67.25,53.19,50.66,360.53
310,University of Aberdeen,United Kingdom,67.37,79.67,33.78,67.23,54.87,57.6,360.53
311,Aalborg University,Denmark,72.41,78.52,35.17,65.45,52.56,56.17,360.28
312,Rice University,United States of America,66.55,81.32,31.7,69.64,59.88,51.09,360.18
313,Universite de Versailles Saint-Quentin-En-Yvelines,France,65.01,79.77,30.81,68.31,59.99,55.94,359.84
314,University of Missouri Columbia,United States of America,75.36,78.61,36.59,67.27,50.91,51.04,359.77
315,Queensland University of Technology (QUT),Australia,74.18,76.82,34.81,65.94,50.06,57.59,359.4
316,East China University of Science & Technology,China,77.14,81.41,33.45,67.38,52.93,46.94,359.25
317,University of Nebraska Lincoln,United States of America,72.46,76.75,34.14,68.74,54.38,52.54,359.01
318,Virginia Commonwealth University,United States of America,71.92,80.47,36.18,66.86,53.67,49.36,358.46
319,University of Liege,Belgium,71.04,77.91,33.53,64.5,51.13,60.32,358.43
