2018,Institution,Country,"Share 2017","Share 2018","Count 2018","Change Adjusted in Share 2017-2018"
107,"East China University of Science and Technology (ECUST)",China,82.41,106.87,222,22.4
108,"University of California, Riverside (UCR)","United States of America (USA)",104.19,106.32,367,-3.7
109,"Uppsala University (UU)",Sweden,97.53,106.26,468,2.8
110,"King Abdullah University of Science and Technology (KAUST)","Saudi Arabia",111.62,106.05,250,-10.3
111,"Tongji University",China,75.99,105.69,335,31.3
112,"Catholic University of Leuven (KU Leuven)",Belgium,120.31,105.14,318,-17.5
113,"The University of Melbourne (UniMelb)",Australia,90.61,104.68,534,9.0
114,"Harbin Institute of Technology (HIT)",China,89.28,104.31,227,10.3
115,"Sorbonne University",France,108.55,104.07,1073,-9.5
116,"The University of Arizona (Arizona)","United States of America (USA)",92.34,103.4,407,5.7
117,"RWTH Aachen University (RWTH Aachen)",Germany,93.58,101.46,456,2.3
118,"Xi'an Jiaotong University (XJTU)",China,88.6,100.89,269,7.5
119,"University of Göttingen",Germany,105.17,100.82,359,-9.5
120,"Australian National University (ANU)",Australia,85.16,100.66,340,11.6
121,"Arizona State University (ASU)","United States of America (USA)",102.77,100.61,337,-7.6
122,"East China Normal University (ECNU)",China,86.29,100.19,227,9.6
123,"University of Alberta (U of A)",Canada,101.41,99.69,359,-7.2
124,"University of Southampton (Soton)","United Kingdom (UK)",78.9,98.98,401,18.4
125,"Rice University","United States of America (USA)",116.06,97.51,413,-20.7
126,"Delft University of Technology (TU Delft)",Netherlands,74.18,96.83,259,23.2
127,"University of Erlangen-Nuremberg (FAU)",Germany,88.2,96.18,262,2.9
128,"University of Basel (UB)",Switzerland,108.56,96,327,-16.5
129,"University of Würzburg (JMU)",Germany,118.88,94.56,311,-24.9
130,"Johannes Gutenberg University Mainz (JGU)",Germany,93.56,93.74,387,-5.4
131,"The University of Texas MD Anderson Cancer Center","United States of America (USA)",78.19,93.51,322,12.9
132,"Aarhus University (AU)",Denmark,80.98,93.38,292,8.8
133,"Southern University of Science and Technology (SUSTech)",China,68.07,92.35,279,28.1
134,"Baylor College of Medicine (BCM)","United States of America (USA)",90.67,92.08,322,-4.1
135,"Boston University (BU)","United States of America (USA)",95.73,91.94,547,-9.3
136,"The Chinese University of Hong Kong (CUHK)",China,69.12,91.32,325,24.7
137,"University of Tübingen (Uni Tübingen)",Germany,75.92,90.88,329,13.0
138,"Free University of Berlin (FU Berlin)",Germany,93.85,90.82,525,-8.7
139,"Michigan State University (MSU)","United States of America (USA)",81.92,89.75,384,3.4
140,"University of Amsterdam (UvA)",Netherlands,78.24,89.73,545,8.2
141,"Goethe University Frankfurt (GU)",Germany,67.98,89.21,282,23.9
142,"University of Groningen (RUG)",Netherlands,112.12,89.09,321,-25.0
143,"Yonsei University","South Korea",74.24,87.93,230,11.8
144,"King's College London (KCL)","United Kingdom (UK)",80.21,87.86,418,3.4
145,"Kyushu University",Japan,97.34,87.7,313,-15.0
146,"Pohang University of Science and Technology (POSTECH)","South Korea",87.04,87.55,225,-5.1
147,"Tel Aviv University (TAU)",Israel,90.77,87.28,299,-9.3
148,"Dalian University of Technology (DUT)",China,65.58,86.7,162,24.8
149,"Stockholm University",Sweden,82.16,86.67,460,-0.4
150,"The Rockefeller University","United States of America (USA)",100.66,85.54,314,-19.8
151,"University of Freiburg (Uni Freiburg)",Germany,95.47,85.39,304,-15.6
152,"Durham University","United Kingdom (UK)",81.78,85.21,242,-1.7
153,"University of Rochester (UR)","United States of America (USA)",68.65,85.13,315,17.0
154,"University of Hamburg (UHH)",Germany,81.75,84.82,418,-2.1
155,"Ghent University (UGent)",Belgium,64.51,84.39,360,23.5
156,"Dresden University of Technology (TU Dresden)",Germany,90.97,84.08,395,-12.8
157,"State University of New York at Stony Brook (SUNY Stony Brook)","United States of America (USA)",82.19,83.59,333,-4.0
158,"North Carolina State University (NCSU)","United States of America (USA)",88.04,82.96,269,-11.1
159,"Lund University (LU)",Sweden,83.96,81.14,348,-8.8
160,"Sungkyunkwan University (SKKU)","South Korea",76.42,81.14,324,0.2
161,"University of Massachusetts Amherst (UMass Amherst)","United States of America (USA)",86.52,81.11,288,-11.5
162,"Indian Institute of Science (IISc)",India,84.53,80.58,241,-10.0
163,"Carnegie Mellon University (CMU)","United States of America (USA)",73.01,80.2,305,3.7
164,"University of Virginia (UVA)","United States of America (USA)",78.71,79.78,374,-4.3
165,"Nanjing Tech University (NanjingTech)",China,50.75,79.15,180,47.2
166,"The University of Georgia (UGA)","United States of America (USA)",67.78,79.06,199,10.1
167,"University of Glasgow","United Kingdom (UK)",77.05,78.56,414,-3.8
168,"Karolinska Institute (KI)",Sweden,76.44,77.87,377,-3.8
169,"Beihang University (BUAA)",China,53.84,77.82,328,36.4
170,"Icahn School of Medicine at Mount Sinai (ISMMS), MSHS","United States of America (USA)",64.1,77.63,276,14.3
171,"The University of Iowa (UI)","United States of America (USA)",71.68,77.24,409,1.7
172,"Colorado State University","United States of America (USA)",76.22,77.02,235,-4.6
173,"Technical University of Denmark (DTU)",Denmark,74.7,76.88,267,-2.9
174,"Leiden University",Netherlands,85.96,76.65,327,-15.8
175,"The University of Sydney (USYD)",Australia,68.63,75.99,364,4.5
176,"Southeast University (SEU)",China,75.87,75.96,161,-5.5
177,"Iowa State University","United States of America (USA)",67.4,75.74,254,6.1
178,"The University of Hong Kong (HKU)",China,93.55,75.69,318,-23.6
179,"University of Massachusetts Medical School (UMass Medical School)","United States of America (USA)",59.47,75.32,283,19.5
180,"National Taiwan University (NTU)",Taiwan,82.55,75.12,349,-14.1
181,"University of Bonn (Uni Bonn)",Germany,80.46,75.1,331,-11.9
182,"Case Western Reserve University (CWRU)","United States of America (USA)",68.42,74.96,223,3.4
183,"Brown University","United States of America (USA)",84.43,74.39,305,-16.8
184,"University of Bern (UniBE)",Switzerland,64.11,74.08,324,9.1
185,"University of Leeds","United Kingdom (UK)",68.04,73.48,268,1.9
186,"Beijing University of Chemical Technology (BUCT)",China,53.13,73.38,163,30.3
187,"University of Paris",France,73.49,72.49,761,-6.9
188,"Beijing Institute of Technology (BIT)",China,52.15,71.87,170,30.1
189,"University of Paris-Sud (UPSud)",France,71.69,71.41,713,-6.0
190,"University of Oslo (UiO)",Norway,67.96,70.7,348,-1.8
191,"University of Cincinnati (UC)","United States of America (USA)",62.11,70.58,270,7.3
192,"University of Vienna",Austria,67.04,70.01,258,-1.4
193,"University of Notre Dame (ND)","United States of America (USA)",66.3,69.58,281,-1.0
194,"Ulsan National Institute of Science and Technology (UNIST)","South Korea",77.62,69.31,165,-15.7
195,"Radboud University Nijmegen (RU)",Netherlands,77.5,68.4,465,-16.7
196,"The University of Warwick (Warwick)","United Kingdom (UK)",76.64,68.23,297,-16.0
197,"University of California, Santa Cruz (UCSC)","United States of America (USA)",70.28,67.9,337,-8.8
198,"Shandong Normal University (SDNU)",China,52.39,67.43,109,21.5
199,"Humboldt University of Berlin (HU Berlin)",Germany,69.5,67.18,530,-8.8
200,"University of Regensburg (UR)",Germany,62.91,66.74,165,0.1
201,"University of Waterloo",Canada,68.53,66.36,153,-8.6
202,"University of Colorado Anschutz Medical Campus (CU Anschutz)","United States of America (USA)",56.39,66.06,196,10.6
203,"Virginia Polytechnic Institute and State University (Virginia Tech)","United States of America (USA)",72.51,66.05,197,-14.0
204,"Fuzhou University (FZU)",China,42.97,64.07,106,40.7
205,"Technische Universität Berlin (TU Berlin)",Germany,67.17,63.68,167,-10.5
206,"Eindhoven University of Technology (TU/e)",Netherlands,66.96,63.37,154,-10.7
207,"The University of Sheffield","United Kingdom (UK)",66.08,63.35,268,-9.5
208,"University of Houston (UH)","United States of America (USA)",53.05,62.95,194,12.0
209,"University of Barcelona (UB)",Spain,71.19,62.31,354,-17.4
210,"University of Nebraska-Lincoln (UNL)","United States of America (USA)",61.73,61.86,260,-5.4
211,"University of Montreal (UdeM)",Canada,62.36,61.79,329,-6.5
212,"University of Helsinki",Finland,60.82,61.54,387,-4.5
213,"University of Ottawa (uOttawa)",Canada,63.75,61.48,151,-9.0
214,"University of Illinois at Chicago (UIC)","United States of America (USA)",58.04,61.24,271,-0.4
215,"University of Cologne (UoC)",Germany,54.57,60.8,227,5.1
216,"University of Exeter","United Kingdom (UK)",52.94,59.8,216,6.6
217,"Central South University (CSU)",China,45.86,59.34,180,22.1
218,"Autonomous University of Madrid (UAM)",Spain,56.14,58.53,397,-1.6
219,"University of St Andrews","United Kingdom (UK)",58.15,58.49,203,-5.1
220,"Dartmouth College","United States of America (USA)",57.83,57.92,168,-5.5
221,"University of Lausanne (UNIL)",Switzerland,55.34,57.72,222,-1.6
222,"University of Oregon (UO)","United States of America (USA)",53.54,57.61,192,1.6
223,"Western University (UWO)",Canada,47.27,57.5,126,14.8
224,"KTH Royal Institute of Technology",Sweden,54.97,57.38,431,-1.5
225,"The University of Nottingham (UoN)","United Kingdom (UK)",60.74,57.25,179,-11.0
226,"City University of Hong Kong (CityU)",China,43.85,57.04,202,22.8
227,"University of Delaware (UD)","United States of America (USA)",49.99,56.87,173,7.4
228,"Ruhr University Bochum (RUB)",Germany,56.11,56.75,176,-4.5
229,"University of Liverpool","United Kingdom (UK)",53.66,56.55,350,-0.5
230,"Southwest University (SWU)",China,62.75,56.5,90,-15.0
231,"University of Birmingham (UB)","United Kingdom (UK)",53.88,56.41,349,-1.2
232,"Keio University",Japan,62.11,55.97,128,-15.0
233,"Chalmers University of Technology (Chalmers)",Sweden,38.33,55.91,150,37.7
234,"Chongqing University (CQU)",China,38.38,55.82,126,37.3
235,"Oregon Health and Science University (OHSU)","United States of America (USA)",47.83,55.61,156,9.7
236,"National Autonomous University of Mexico (UNAM)",Mexico,34.57,55.19,187,50.7
237,"University of Calgary (U of C)",Canada,53.39,55.13,241,-2.5
238,"China University of Geosciences (CUG)",China,38.92,54.93,145,33.2
239,"Queen Mary University of London (QMUL)","United Kingdom (UK)",44.42,54.31,297,15.4
240,"The City University of New York (CUNY)","United States of America (USA)",48.81,53.96,196,4.3
241,"University of Connecticut (UConn)","United States of America (USA)",71.88,53.74,181,-29.4
242,"The University of New Mexico (UNM)","United States of America (USA)",47.21,53.69,221,7.3
243,"Shenzhen University (SZU)",China,33.5,53.38,183,50.4
244,"University of the Basque Country (UPV/EHU)",Spain,54.73,53.25,230,-8.2
245,"University of Miami (UM)","United States of America (USA)",47.45,53.18,159,5.8
246,"University at Buffalo, The State University of New York (SUNY UB)","United States of America (USA)",45.93,53.13,184,9.2
247,"Florida State University (FSU)","United States of America (USA)",60.22,53.02,350,-16.9
248,"Korea University","South Korea",56.42,52.82,271,-11.6
249,"University of Strasbourg",France,57.49,52.76,419,-13.4
250,"The University of Kansas (KU)","United States of America (USA)",51.92,52.68,265,-4.2
251,"Northwest University (NWU)",China,34.63,52.42,115,42.9
252,"VU Amsterdam",Netherlands,41.57,52.25,384,18.6
253,"University of Valencia (UV)",Spain,44.92,51.76,288,8.8
254,"National Tsing Hua University (NTHU)",Taiwan,61.45,51.09,205,-21.5
255,"University of São Paulo (USP)",Brazil,56.92,51.02,271,-15.4
256,"Newcastle University","United Kingdom (UK)",39.34,50.96,199,22.3
257,"University of Hawai'i at Manoa (UH Mānoa)","United States of America (USA)",45.81,50.94,277,5.0
258,"Tufts University","United States of America (USA)",47.75,50.08,266,-1.0
259,"The University of Tennessee at Knoxville (UTK)","United States of America (USA)",41.7,49.89,308,12.9
260,"University of Toulouse",France,50.42,49.62,405,-7.1
261,"University of York","United Kingdom (UK)",42.7,49.59,168,9.6
262,"University of Warsaw (UW)",Poland,34.58,49.3,228,34.6
263,"Vienna University of Technology (TU Wien)",Austria,54.04,49.11,215,-14.2
264,"Lomonosov Moscow State University (MSU)",Russia,48.19,49.04,400,-4.0
265,"Ben-Gurion University of the Negev (BGU)",Israel,47.15,48.7,126,-2.5
266,"University of South Florida (USF)","United States of America (USA)",36.39,48.47,152,25.7
267,"Zhengzhou University (ZZU)",China,25.79,48.21,143,76.4
268,"Jinan University (JNU)",China,30.81,48.15,141,47.5
269,"Albert Einstein College of Medicine (Einstein)","United States of America (USA)",53.49,47.92,161,-15.5
270,"Shaanxi Normal University (SNNU)",China,31.25,47.78,102,44.3
271,"Oregon State University","United States of America (USA)",57.1,47.55,162,-21.4
272,"China Agricultural University (CAU)",China,31.35,47.1,108,41.8
273,"Louisiana State University (LSU)","United States of America (USA)",43.22,46.81,165,2.2
274,"Wageningen University & Research (WUR)",Netherlands,51.88,46.6,163,-15.2
275,"University of Science and Technology Beijing (USTB)",China,41.38,46.57,108,6.2
276,"Washington State University (WSU)","United States of America (USA)",40.05,46.49,138,9.6
277,"Aix-Marseille University (AMU)",France,47.66,46.39,464,-8.1
278,"Homi Bhabha National Institute (HBNI)",India,64.82,46.21,216,-32.7
279,"University of Lisbon (ULISBOA)",Portugal,34.35,46.06,255,26.6
280,"Philipps University of Marburg (Uni Marburg)",Germany,46.06,45.68,133,-6.4
281,"Indian Institute of Technology Bombay (IIT Bombay)",India,47.24,44.82,99,-10.4
282,"Northeastern University (NEU)","United States of America (USA)",37.78,44.73,215,11.8
283,"University of South Carolina - Columbia (SC)","United States of America (USA)",41.19,44.12,112,1.1
284,"Complutense University of Madrid (UCM)",Spain,38.63,44.09,191,7.7
285,"University of Lyon",France,45.77,44.04,450,-9.2
286,"University of Missouri (Mizzou)","United States of America (USA)",34.3,43.94,134,20.9
287,"Grenoble Alpes University (UGA)",France,58.71,43.84,521,-29.5
288,"University of Montpellier",France,42.54,43.78,375,-2.9
289,"Aalto University",Finland,41.05,43.69,254,0.5
290,"The University of Western Australia (UWA)",Australia,42.65,43.67,232,-3.4
291,"University of Kiel (CAU)",Germany,30.7,43.66,173,34.2
292,"University of Bordeaux",France,38.11,43.15,265,6.9
293,"Brandeis University","United States of America (USA)",43.84,42.78,135,-7.9
294,"University of Padova (UNIPD)",Italy,40.87,42.64,337,-1.5
295,"University of Stuttgart",Germany,40.76,42.6,141,-1.4
296,"The University of Texas at Dallas (UT Dallas)","United States of America (USA)",39.75,42.31,167,0.5
297,"McMaster University",Canada,47.24,41.48,109,-17.1
298,"Wuhan University of Technology (WUT)",China,31.99,41.34,92,21.9
299,"Shanghai University (SHU)",China,41.5,41.08,124,-6.6
300,"University of Gothenburg (GU)",Sweden,31.81,40.9,145,21.3
301,"Indian Institute of Technology Madras (IIT Madras)",India,36.29,40.87,168,6.3
302,"The University of Oklahoma (OU)","United States of America (USA)",37.98,40.8,219,1.4
303,"Nanjing Normal University (NNU)",China,27.11,40.42,108,40.7
304,"Cardiff University","United Kingdom (UK)",41.27,40.36,191,-7.7
305,"Leipzig University",Germany,49.93,39.74,163,-24.9
306,"University of Electronic Science and Technology of China (UESTC)",China,25.44,39.72,150,47.4
307,"University of Bremen (Uni Bremen)",Germany,32.9,39.62,130,13.7
308,"Norwegian University of Science and Technology (NTNU)",Norway,24.51,39.56,125,52.4
309,"University of Tsukuba",Japan,40.09,39.56,215,-6.9
310,"Sapienza University of Rome",Italy,40.21,39.17,401,-8.1
311,"Heinrich Heine University Düsseldorf (HHU)",Germany,24.49,38.88,140,49.8
312,"Ulm University",Germany,33.59,38.87,160,9.2
313,"Université Libre de Bruxelles (ULB)",Belgium,41.7,38.34,232,-13.2
314,"Rensselaer Polytechnic Institute (RPI)","United States of America (USA)",37.48,38.23,84,-3.7
315,"Northeast Normal University (NENU)",China,40.12,38.22,72,-10.1
316,"China Pharmaceutical University (CPU)",China,34.38,38.22,64,4.9
317,"Curtin University",Australia,30.17,38,147,18.9
318,"University of Santiago de Compostela (USC)",Spain,32.19,37.57,157,10.1
319,"Queen's University",Canada,25.13,37.4,183,40.5
320,"Friedrich Schiller University Jena (FSU)",Germany,38.47,37.33,177,-8.4
321,"University of Duisburg-Essen (UDE)",Germany,43.02,37.26,137,-18.3
322,"Nanjing University of Science and Technology (NUST)",China,34.05,37.14,82,3.0
323,"University of Innsbruck (LFU)",Austria,33.29,37.06,173,5.1
324,"University of Bayreuth (UBT)",Germany,43.81,37.03,96,-20.2
325,"Indian Institute of Science Education and Research Pune (IISER Pune)",India,34.85,36.92,155,0.0
326,"ShanghaiTech University",China,23.4,36.63,169,47.8
327,"University of Twente (UTwente)",Netherlands,24.91,36.44,85,38.1
328,"Hanyang University (HYU)","South Korea",45.65,36.4,208,-24.7
329,"Chinese Academy of Medical Sciences & Peking Union Medical College (CAMS & PUMC)",China,32.72,36.13,141,4.2
330,"The University of Adelaide (Adelaide Uni)",Australia,38.09,35.81,223,-11.3
331,"Bar-Ilan University (BIU)",Israel,29.43,35.8,83,14.8
332,"Temple University","United States of America (USA)",44.79,35.46,120,-25.3
333,"The University of Alabama at Birmingham (UAB)","United States of America (USA)",30.3,35.29,151,9.9
334,"The Hong Kong Polytechnic University (PolyU)",China,37.36,34.94,119,-11.7
335,"University of Bath","United Kingdom (UK)",32.82,34.32,103,-1.3
336,"University of Florence (UNIFI)",Italy,33.25,34.25,233,-2.8
337,"Central China Normal University (CCNU)",China,45.58,33.9,136,-29.8
338,"University of Victoria (UVic)",Canada,33.08,33.71,189,-3.8
339,"Huazhong Agricultural University (HZAU)",China,22.79,33.68,74,39.5
340,"Kanazawa University (KU)",Japan,27.42,33.55,97,15.5
341,"University of Bologna (UNIBO)",Italy,28.31,33.51,353,11.7
342,"Simon Fraser University (SFU)",Canada,33.64,33.51,186,-6.0
343,"University of Turin (UNITO)",Italy,25.31,33.48,277,24.9
344,"Indian Institute of Technology Kanpur (IIT Kanpur)",India,33.07,33.26,64,-5.1
345,"University of Konstanz",Germany,41.2,33.24,87,-23.9
346,"Hefei University of Technology (HFUT)",China,15.53,33.01,65,100.6
347,"University of Maryland, Baltimore (UMB)","United States of America (USA)",35.35,32.95,126,-12.0
348,"Jagiellonian University (UJ)",Poland,31.44,32.93,160,-1.1
349,"Indian Institute of Science Education and Research Bhopal (IISER Bhopal)",India,20.4,32.71,46,51.3
350,"The University of Dublin",Ireland,47.78,32.51,131,-35.8
351,"Giessen University (JLU)",Germany,23.72,32.19,181,28.1
352,"Drexel University","United States of America (USA)",26.67,31.94,110,13.0
353,"Gwangju Institute of Science and Technology (GIST)","South Korea",18.43,31.87,70,63.2
354,"TU Dortmund University",Germany,41.96,31.72,186,-28.6
355,"Linköping University (LiU)",Sweden,37.72,31.67,114,-20.7
356,"Laval University (UL)",Canada,26.97,31.4,113,9.9
357,"Boston College (BC)","United States of America (USA)",29.5,31.35,65,0.3
358,"Charles University (CU)","Czech Republic",30.19,31.19,336,-2.5
359,"Okinawa Institute of Science and Technology Graduate University (OIST)",Japan,21.17,31.09,67,38.6
360,"Leibniz University Hannover (LUH)",Germany,30.54,31.05,110,-4.0
361,"Wayne State University","United States of America (USA)",35.96,31.02,225,-18.6
362,"University of Sussex","United Kingdom (UK)",36.17,30.89,156,-19.4
363,"Okayama University",Japan,28.97,30.71,140,0.0
364,"The University of Akron (UAkron)","United States of America (USA)",36.73,30.43,48,-21.8
365,"University of Dundee","United Kingdom (UK)",26.24,30.24,94,8.8
366,"Autonomous University of Barcelona (UAB)",Spain,34.78,30,246,-18.6
367,"University of Central Florida (UCF)","United States of America (USA)",26.27,29.86,71,7.3
368,"Virginia Commonwealth University (VCU)","United States of America (USA)",26.69,29.83,81,5.5
369,"Catholic University of Louvain (UCLouvain)",Belgium,25.97,29.8,199,8.3
370,"Hiroshima University (HU)",Japan,28.91,29.73,119,-3.0
371,"South China Normal University (SCNU)",China,23.59,29.4,75,17.6
372,"University of Antwerp (UA)",Belgium,26.22,29.29,230,5.4
373,"University of Strathclyde","United Kingdom (UK)",35.5,29.25,100,-22.3
374,"University of Kentucky (UK)","United States of America (USA)",42.9,29.23,122,-35.7
375,"Army Medical University",China,16.93,29.17,113,62.6
