2018,Institution,Country,"Share 2017","Share 2018","Count 2018","Change Adjusted in Share 2017-2018"
1,"Harvard University","United States of America (USA)",907.53,879.74,2459,-8.5
2,"Stanford University","United States of America (USA)",615.68,628.15,1579,-3.7
3,"Massachusetts Institute of Technology (MIT)","United States of America (USA)",538.25,572.1,1832,0.3
4,"The University of Tokyo (UTokyo)",Japan,472.05,448.83,1191,-10.3
5,"University of Cambridge","United Kingdom (UK)",420.8,448.39,1378,0.6
6,"Swiss Federal Institute of Technology Zurich (ETH Zurich)",Switzerland,385.07,418.68,1086,2.6
7,"Peking University (PKU)",China,394.87,413.55,1506,-1.2
8,"University of Oxford","United Kingdom (UK)",408.03,412.45,1293,-4.6
9,"Tsinghua University",China,354.88,398.99,1396,6.1
10,"University of California, Berkeley (UC Berkeley)","United States of America (USA)",409.64,396.08,1264,-8.7
11,"Nanjing University (NJU)",China,328.84,393,975,12.8
12,"University of Science and Technology of China (USTC)",China,308.65,351.04,1038,7.3
13,"Yale University","United States of America (USA)",302.83,348.27,925,8.5
14,"University of Michigan (U-M)","United States of America (USA)",336.06,344.48,916,-3.3
15,"University of California, Los Angeles (UCLA)","United States of America (USA)",324.04,339.13,1064,-1.2
16,"University of California, San Diego (UC San Diego)","United States of America (USA)",330.96,334.48,1012,-4.6
17,"Northwestern University (NU)","United States of America (USA)",296.63,331.93,790,5.6
18,"University of Toronto (U of T)",Canada,285.29,327.92,865,8.5
19,"University of Chinese Academy of Sciences (UCAS)",China,261.1,326.94,1906,18.2
20,"Columbia University in the City of New York (CU)","United States of America (USA)",311.83,318.49,987,-3.6
21,"University of Pennsylvania (Penn)","United States of America (USA)",279.61,307.78,793,3.9
22,"California Institute of Technology (Caltech)","United States of America (USA)",310.22,293.93,919,-10.6
23,"University of Washington (UW)","United States of America (USA)",271.8,293.43,937,1.9
24,"Zhejiang University (ZJU)",China,243.65,289.83,712,12.3
25,"Kyoto University",Japan,307.24,289.61,761,-11.0
26,"Princeton University","United States of America (USA)",250.98,288.02,780,8.3
27,"Cornell University","United States of America (USA)",260.96,286.31,935,3.6
28,"The University of Texas at Austin (UT Austin)","United States of America (USA)",268.6,277.09,680,-2.6
29,"Fudan University",China,206.21,260.1,686,19.0
30,"National University of Singapore (NUS)",Singapore,230.46,254.12,691,4.1
31,"University of Illinois at Urbana-Champaign (UIUC)","United States of America (USA)",224.88,246.11,641,3.3
32,"University of Minnesota (UMN)","United States of America (USA)",203.01,239.77,694,11.5
33,"Nanyang Technological University (NTU)",Singapore,242.08,238.07,585,-7.2
34,"Johns Hopkins University (JHU)","United States of America (USA)",243.7,236.58,853,-8.4
35,"Imperial College London (ICL)","United Kingdom (UK)",209.48,233.27,920,5.1
36,"Shanghai Jiao Tong University (SJTU)",China,170.93,231.55,741,27.9
37,"Swiss Federal Institute of Technology Lausanne (EPFL)",Switzerland,208.06,223.85,588,1.5
38,"University of California, San Francisco (UCSF)","United States of America (USA)",185.64,215.4,596,9.5
39,"The Pennsylvania State University (Penn State)","United States of America (USA)",200.17,214.6,594,1.2
40,"Washington University in St. Louis (WUSTL)","United States of America (USA)",209.17,211.61,507,-4.5
41,"The University of Chicago (UChicago)","United States of America (USA)",224.81,208.35,684,-12.5
42,"Duke University","United States of America (USA)",182.07,207.79,670,7.7
43,"University of Wisconsin-Madison (UW-Madison)","United States of America (USA)",257.24,202.89,690,-25.6
44,UCL,"United Kingdom (UK)",190.16,202.6,818,0.6
45,"Ludwig Maximilians University of Munich (LMU)",Germany,181.21,201.51,664,5.0
46,"Nankai University (NKU)",China,156.53,198.71,556,19.8
47,"Sun Yat-sen University (SYSU)",China,152.26,196.35,496,21.7
48,"Wuhan University (WHU)",China,161.32,195.71,413,14.5
49,"University of Colorado Boulder (CU-Boulder)","United States of America (USA)",177.86,193.75,730,2.8
50,"Soochow University",China,161.36,193.5,366,13.2
51,"University of California, Santa Barbara (UCSB)","United States of America (USA)",200.74,184.45,596,-13.3
52,"Sichuan University (SCU)",China,126.91,181.77,330,35.2
53,"The University of North Carolina at Chapel Hill (UNC)","United States of America (USA)",197.8,181.2,486,-13.5
54,"Weizmann Institute of Science (WIS)",Israel,175.48,180.07,421,-3.2
55,"University of California, Davis (UC Davis)","United States of America (USA)",151.15,178.97,598,11.8
56,"New York University (NYU)","United States of America (USA)",170.97,175.91,544,-2.9
57,"University of Maryland, College Park (UMCP)","United States of America (USA)",187.1,175.06,736,-11.7
58,"Osaka University",Japan,188.74,171.56,497,-14.2
59,"Tohoku University",Japan,142.81,166.72,445,10.2
60,"Seoul National University (SNU)","South Korea",164.43,166.13,495,-4.6
61,"Korea Advanced Institute of Science and Technology (KAIST)","South Korea",152.95,162.36,334,0.2
62,"University of California, Irvine (UCI)","United States of America (USA)",166.14,159.52,454,-9.4
63,"University of Copenhagen (UCPH)",Denmark,140.82,158.66,616,6.3
64,"Purdue University","United States of America (USA)",148.92,153.03,499,-3.0
65,"The Ohio State University (OSU)","United States of America (USA)",135.6,152.12,594,5.9
66,"Texas A&M University (TAMU)","United States of America (USA)",171.62,151.18,498,-16.9
67,"Huazhong University of Science and Technology (HUST)",China,115.78,150.91,395,23.0
68,"Xiamen University (XMU)",China,146.2,150.49,284,-2.8
69,"The University of Queensland (UQ)",Australia,119.11,150.25,450,19.1
70,"Georgia Institute of Technology (Georgia Tech)","United States of America (USA)",148.58,148.33,463,-5.8
71,"The University of Manchester (UoM)","United Kingdom (UK)",164.94,146.95,576,-15.9
72,"McGill University",Canada,148.03,146.46,511,-6.6
73,"Technical University of Munich (TUM)",Germany,132.36,145.73,540,3.9
74,"University of Bristol (UoB)","United Kingdom (UK)",154.01,143.17,507,-12.3
75,"The University of Edinburgh","United Kingdom (UK)",156.18,141.88,616,-14.3
76,"University of Southern California (USC)","United States of America (USA)",121.6,141.12,344,9.5
77,"University of Pittsburgh (Pitt)","United States of America (USA)",149.82,136.35,461,-14.1
78,"Utrecht University (UU)",Netherlands,131.25,136.24,611,-2.0
79,"The University of British Columbia (UBC)",Canada,122.83,132.64,472,1.9
80,"University of Zurich (UZH)",Switzerland,129.89,132.16,649,-4.0
81,"University of Münster (WWU)",Germany,112.55,131.89,327,10.6
82,"Nagoya University",Japan,121.18,131.65,432,2.5
83,"Heidelberg University (Uni Heidelberg)",Germany,127.6,128.46,579,-5.0
84,"Rutgers, The State University of New Jersey (RU)","United States of America (USA)",129.84,127.95,498,-7.0
85,"Tokyo Institute of Technology (Tokyo Tech)",Japan,130.47,126.8,368,-8.3
86,"The University of Utah (Utah)","United States of America (USA)",137.06,126.02,333,-13.2
87,"Monash University",Australia,112.11,125.62,480,5.8
88,"University of New South Wales (UNSW Sydney)",Australia,102.76,122.1,421,12.1
89,"The University of Texas Southwestern Medical Center (UT Southwestern Medical Center)","United States of America (USA)",153.65,121.57,266,-25.3
90,"Hunan University (HNU)",China,89.2,119.08,241,26.0
91,"Lanzhou University (LZU)",China,108.77,117.08,237,1.6
92,"Indiana University (IU)","United States of America (USA)",102.05,115.54,395,6.9
93,"Tianjin University (TJU)",China,79.07,114.58,535,36.8
94,"Jilin University (JLU)",China,101.49,114.56,268,6.5
95,"Hokkaido University",Japan,116.17,114.17,286,-7.2
96,"Shandong University (SDU)",China,90.07,113.59,434,19.0
97,"Karlsruhe Institute of Technology (KIT)",Germany,120.3,113.33,413,-11.1
98,"University of Florida (UF)","United States of America (USA)",119.48,112.92,536,-10.8
99,"Hebrew University of Jerusalem (HUJI)",Israel,116.94,111.97,260,-9.6
100,"Technion-Israel Institute of Technology (IIT)",Israel,85.33,111.7,281,23.6
101,"University of Geneva (UNIGE)",Switzerland,111.41,111.19,386,-5.8
102,"South China University of Technology (SCUT)",China,97.39,110.53,225,7.1
103,"Vanderbilt University (VU)","United States of America (USA)",121.74,110.44,429,-14.4
104,"The Hong Kong University of Science and Technology (HKUST)",China,110.48,108.75,329,-7.1
105,"Beijing Normal University (BNU)",China,87.66,107.29,331,15.5
106,"Emory University","United States of America (USA)",100.37,107,312,0.6
