#,Institution,"Share 2020","Share 2021","Count 2021","Change in Adjusted Share 2020-2021"
337,"University of Bordeaux, France",36.38,37.37,279,-1.0
338,"Nanjing University of Information Science and Technology (NUIST), China",26.73,37.32,165,34.6
339,"Jawaharlal Nehru Centre for Advanced Scientific Research (JNCASR), India",21.14,37.28,59,70.0
340,"Linköping University (LiU), Sweden",39.69,36.78,113,-10.6
341,"The University of New Mexico (UNM), United States of America (USA)",31.39,36.75,187,12.9
342,"University of York, United Kingdom (UK)",40.86,36.61,176,-13.6
343,"University of Santiago de Compostela (USC), Spain",36.52,36.61,180,-3.3
344,"Qingdao University of Science and Technology (QUST), China",42.74,36.56,79,-17.5
345,"Louisiana State University (LSU), United States of America (USA)",45.74,36.50,158,-23.1
346,"University of Bath, United Kingdom (UK)",31.13,36.28,125,12.4
347,"University of Wollongong (UOW), Australia",42.14,36.14,144,-17.3
348,"Université Libre de Bruxelles (ULB), Belgium",32.39,35.98,213,7.1
349,"Northeastern University (NEU), China",25.67,35.80,70,34.5
350,"Kanazawa University (KU), Japan",32.75,35.63,101,4.9
351,"Ocean University of China (OUC), China",28.90,35.57,203,18.7
352,"University of Kentucky (UK), United States of America (USA)",43.65,35.50,134,-21.6
353,"Curtin University, Australia",35.93,35.27,159,-5.4
354,"Sapienza University of Rome, Italy",50.31,35.19,331,-32.6
355,"Okayama University, Japan",41.25,35.01,120,-18.2
356,"Institute of Science and Technology Austria (IST Austria), Austria",22.70,34.76,82,47.7
357,"Northwest A&F University (NWAFU), China",24.40,34.73,70,37.2
358,"University of Bremen (Uni Bremen), Germany",27.59,34.36,129,20.1
359,"Leipzig University, Germany",33.07,34.17,183,-0.4
360,"Ulm University, Germany",37.67,34.17,152,-12.5
361,"Anhui Normal University (AHNU), China",17.54,33.56,60,84.5
362,"Indian Institute of Technology Kanpur (IIT Kanpur), India",30.44,33.36,68,5.7
363,"Henan Normal University, China",48.80,33.30,91,-34.2
364,"University of Maryland, Baltimore (UMB), United States of America (USA)",28.86,33.15,115,10.8
365,"Clemson University, United States of America (USA)",23.24,33.01,78,37.0
366,"The University of Texas Health Science Center at Houston (UTHealth), United States of America (USA)",29.22,32.80,175,8.3
367,"Hiroshima University (HU), Japan",34.52,32.61,120,-8.9
368,"Ningbo University (NBU), China",17.06,32.49,82,83.6
369,"University of Milan (UNIMI), Italy",22.02,32.45,264,42.1
370,"University of Innsbruck (LFU), Austria",37.23,32.41,147,-16.0
371,"Kobe University, Japan",21.32,32.28,145,46.0
372,"University of Technology Sydney (UTS), Australia",21.31,32.15,105,45.5
373,"University of Bologna (UNIBO), Italy",32.67,32.00,305,-5.6
374,"Hunan Normal University (HUNNU), China",25.40,31.87,87,21.0
375,"The University of Auckland, New Zealand",29.12,31.76,189,5.2
376,"University of Twente (UTwente), Netherlands",27.78,31.53,92,9.4
377,"Gwangju Institute of Science and Technology (GIST), South Korea",27.81,31.41,72,8.9
378,"Yunnan University (YNU), China",24.19,31.20,78,24.4
379,"University of Antwerp (UA), Belgium",31.88,31.08,182,-6.0
380,"Waseda University, Japan",25.63,31.07,104,16.9
381,"Bar-Ilan University (BIU), Israel",38.66,30.78,94,-23.2
382,"University of Victoria (UVic), Canada",25.35,30.72,160,16.8
383,"Technical University of Darmstadt (TU Darmstadt), Germany",30.30,30.64,131,-2.5
384,"Tianjin University of Technology (TJUT), China",20.87,30.57,62,41.2
