University,Country,Total Score,Setting & Infrastructure,Energy & Climate Change,Waste,Water,Transportation,Education & Research,Rank,Year
University of California Davis,USA,8398,1257,1340,1800,932,1687,1382,1,2016
University of Nottingham,UK,8079,1200,1448,1800,992,1190,1449,2,2016
Wageningen University & Research,Netherland,7658,1118,1221,1800,742,1068,1709,3,2016
University of Connecticut,USA,7602,966,1187,1650,1000,1307,1492,4,2016
University of Oxford,UK,7591,898,1259,1701,948,1450,1335,5,2016
Universitat fur Bodenkultur Wien,Austria,7386,1083,1033,1800,726,1103,1641,6,2016
Keele University,UK,7254,1368,1342,1575,650,966,1353,7,2016
University of California Berkeley,USA,7156,815,1159,1650,1000,1318,1214,8,2016
Nottingham Trent University,UK,7126,1080,1304,1800,625,1013,1304,9,2016
Newcastle University,UK,7081,783,1204,1650,725,1356,1363,10,2016
University of North Carolina Chapel Hill,USA,7051,994,1046,1725,825,1357,1104,11,2016
University College Cork,Ireland,7036,980,1243,1701,780,1138,1194,12,2016
Georgia Institute of Technology,USA,7026,670,1207,1800,740,1322,1287,13,2016
Universitat Autonoma de Barcelona,Spain,6986,900,1251,1551,921,1141,1222,14,2016
University of Groningen,Netherland,6950,755,1243,1500,775,1310,1367,15,2016
Bangor University,UK,6925,1174,1461,1701,600,675,1314,16,2016
University of Bradford,UK,6906,993,1340,1800,875,1129,769,17,2016
Universite de Sherbrooke,Canada,6906,1090,1224,1800,525,1162,1105,18,2016
Delft University of Technology TU Delft,Netherland,6892,766,862,1575,650,1254,1785,19,2016
Freie Universitaet Berlin,Germany,6886,799,1335,1800,775,970,1207,20,2016
Hochschule Trier – Umwelt-Campus Birkenfeld,Germany,6861,766,1790,1701,761,1064,779,21,2016
University of Limerick,Ireland,6835,967,1322,1701,925,1084,836,22,2016
Hokkaido University,Japan,6777,1066,1006,1500,900,1301,1004,23,2016
University of New South Wales,Australia,6742,792,1050,1551,800,1011,1538,24,2016
University of Texas Austin,USA,6708,841,1048,1575,875,1412,957,25,2016
