Rank,University,Country,Article,Citation,Total Document,AIT,CIT,Collaboration,Total
491,Martin Luther University Halle Wittenberg,GERMANY (FED REP GER),60.57,76.63,32.92,65.68,57.62,50.66,344.07
492,Medical University of Graz,AUSTRIA,53.6,77.22,32.16,66.44,60.74,53.85,344.01
493,University of Reading,ENGLAND,62.21,76.74,33.0,64.31,54.89,52.86,344.01
494,West Virginia University,USA,62.93,76.57,34.76,66.46,56.44,46.82,343.97
495,National University of Defense Technology - China,CHINA MAINLAND,71.81,73.47,38.58,65.6,50.6,43.64,343.7
496,Shandong University of Science & Technology,CHINA MAINLAND,75.46,77.98,32.82,62.06,54.22,41.14,343.68
497,Indiana University-Purdue University Indianapolis,USA,61.76,76.03,35.29,66.52,56.17,47.42,343.2
498,Tarbiat Modares University,IRAN,69.87,75.15,34.24,65.26,52.96,45.68,343.16
499,University of Trento,ITALY,59.82,74.92,33.77,64.79,55.92,53.4,342.61
500,University of Santiago De Compostela,SPAIN,64.67,74.44,33.57,63.76,53.0,52.82,342.26
501,Medical University of Innsbruck,AUSTRIA,53.57,76.78,31.52,66.51,60.61,53.05,342.04
502,National Tsing Hua University,TAIWAN,63.4,75.01,34.22,65.25,54.75,48.77,341.4
503,University of Parma,ITALY,62.21,75.78,33.95,63.93,54.53,50.86,341.25
504,South China Agricultural University,CHINA MAINLAND,72.27,74.75,32.67,64.34,53.49,43.7,341.22
505,Universiti Kebangsaan Malaysia,MALAYSIA,63.01,74.59,34.76,63.83,53.95,51.04,341.2
506,Philipps University Marburg,GERMANY (FED REP GER),59.45,76.28,32.82,65.16,56.07,51.25,341.04
507,University of Mississippi,USA,60.19,76.46,34.46,66.12,57.57,46.22,341.03
508,Rush University,USA,58.1,77.29,34.34,67.75,59.12,44.38,340.98
509,Universidade Nova de Lisboa,PORTUGAL,62.51,74.04,34.83,63.47,52.13,53.99,340.96
510,Technical University of Darmstadt,GERMANY (FED REP GER),63.35,74.02,34.67,62.94,52.31,53.52,340.81
511,Amirkabir University of Technology,IRAN,66.41,74.17,34.18,65.93,53.5,45.99,340.19
512,Harbin Engineering University,CHINA MAINLAND,70.83,72.55,34.66,65.58,53.09,43.44,340.15
513,Indian Institute of Technology (IIT) - Kharagpur,INDIA,68.34,74.19,35.33,65.06,52.51,44.66,340.08
514,Universidade do Minho,PORTUGAL,62.57,73.18,34.94,62.83,51.8,53.92,339.25
515,Saint Petersburg State University,RUSSIA,66.36,72.46,37.78,60.57,46.78,55.0,338.94
516,Chulalongkorn University,THAILAND,67.49,71.27,35.21,61.99,49.8,52.95,338.71
517,Universita della Campania Vanvitelli,ITALY,61.5,75.65,34.76,63.67,54.2,48.58,338.35
518,University of Oklahoma - Norman,USA,62.32,74.85,34.36,64.32,53.91,48.49,338.25
519,Nanjing Normal University,CHINA MAINLAND,68.92,74.36,32.37,64.34,53.75,44.11,337.85
520,University of Siena,ITALY,58.19,74.74,33.17,64.89,57.5,49.27,337.76
521,Auburn University,USA,66.36,73.39,34.99,62.96,51.56,48.42,337.68
522,Florida International University,USA,62.72,74.68,34.9,63.42,52.86,49.0,337.58
523,Masaryk University Brno,CZECH REPUBLIC,63.14,73.0,34.86,62.1,51.09,53.29,337.48
524,Hacettepe University,TURKEY,62.08,73.41,35.75,64.95,54.2,47.0,337.38
525,Taipei Medical University,TAIWAN,64.43,73.78,33.24,65.79,55.14,44.98,337.36
526,Kobe University,JAPAN,66.81,73.21,35.54,63.66,51.65,46.13,336.99
527,University of Texas Dallas,USA,57.39,74.95,34.01,65.19,55.57,49.68,336.8
528,King Fahd University of Petroleum & Minerals,SAUDI ARABIA,63.84,73.95,30.87,63.02,54.19,50.63,336.5
529,University of Texas Health San Antonio,USA,54.58,76.27,33.31,66.25,58.86,46.46,335.73
530,University of Potsdam,GERMANY (FED REP GER),62.93,73.49,32.3,61.99,52.14,52.56,335.41
531,Shahid Beheshti University Medical Sciences,IRAN,60.93,75.89,33.92,65.18,54.43,44.79,335.14
532,Ain Shams University,EGYPT,62.99,71.89,33.11,62.92,53.45,50.28,334.65
533,York University - Canada,CANADA,63.12,71.38,34.37,62.84,51.32,51.01,334.04
534,University of Dundee,SCOTLAND,50.79,76.9,32.13,65.11,58.44,50.66,334.04
535,George Mason University,USA,58.08,74.15,33.5,65.18,56.99,46.07,333.95
536,Universidad de la Laguna,SPAIN,56.67,74.27,30.64,64.22,57.93,50.16,333.9
