Rank,Country,University,P,P(top 50%),PP(top 50%)
39,China,Wuhan Univ,12135,6523,53.8
40,United States,Univ California - San Diego,12135,7621,62.8
41,United Kingdom,Imperial Coll London,11891,7624,64.1
42,United States,Univ Pittsburgh,11879,6984,58.8
43,China,Tianjin Univ,11790,6275,53.2
44,China,Nanjing Univ,11748,6466,55.0
45,United States,Univ Florida,11623,6043,52.0
46,United States,Duke Univ,11507,7002,60.8
47,United States,Yale Univ,11476,7357,64.1
48,United States,Penn State Univ,11363,6396,56.3
49,Japan,Kyoto Univ,11258,5159,45.8
50,Canada,McGill Univ,11208,6329,56.5
51,South Korea,Yonsei Univ,11056,5005,45.3
52,Australia,Monash Univ,10995,6261,56.9
53,Australia,Univ New S Wales,10902,6265,57.5
54,Belgium,Katholieke Univ Leuven,10860,6371,58.7
55,Canada,Univ Alberta,10789,5656,52.4
56,United States,Northwestern Univ,10763,6787,63.1
57,United States,Univ California - Berkeley,10671,7148,67.0
58,China,Tongji Univ,10640,5516,51.8
59,China,Univ Sci & Technol China,10593,5917,55.9
60,United States,MIT,10563,7326,69.4
61,United States,Univ N Carolina - Chapel Hill,10510,6392,60.8
62,United States,Case West Reserve Univ,10378,5754,55.4
63,United States,Univ California - Davis,10378,5939,57.2
64,China,Univ Chinese Acad Sci,10162,5575,54.9
65,Belgium,Ghent Univ,10128,5613,55.4
66,China,Southeast Univ,10122,5075,50.1
67,United States,Texas A&M Univ - College Stn,10043,5314,52.9
68,Singapore,Nanyang Technol Univ,10001,6122,61.2
69,United States,Univ California - San Francisco,9994,6384,63.9
70,United States,Univ Illinois - Urbana-Champaign,9964,5698,57.2
71,United Kingdom,Univ Manchester,9942,6009,60.4
72,China,S China Univ Technol,9797,5621,57.4
73,United States,Univ Texas - Austin,9597,5785,60.3
74,United States,NYU,9463,5663,59.8
75,China,Beihang Univ,9458,4999,52.9
76,China,Dalian Univ Technol,9415,4921,52.3
77,Netherlands,Utrecht Univ,9391,5825,62.0
78,Switzerland,ETH Zurich,9342,6033,64.6
79,United States,Univ Texas - Hlth Sci Ctr - Houston,9275,5622,60.6
80,Israel,Tel Aviv Univ,9220,4385,47.6
81,Italy,Sapienza Univ Rome,9100,4638,51.0
82,Netherlands,Univ Amsterdam,9081,5565,61.3
83,China,Soochow Univ,9047,4737,52.4
84,Taiwan,Natl Taiwan Univ,8943,4240,47.4
85,United States,Purdue Univ - W Lafayette,8876,4841,54.5
86,South Korea,Sungkyunkwan Univ,8874,4127,46.5
87,United States,Washington Univ St Louis,8870,5616,63.3
88,Japan,Tohoku Univ,8771,3817,43.5
89,France,Sorbonne Univ,8767,5029,57.4
90,Japan,Osaka Univ,8547,3753,43.9
91,United States,Univ South California,8452,4926,58.3
92,Sweden,Karolinska Inst,8324,4819,57.9
93,United States,Rutgers - State Univ New Jersey,8291,4441,53.6
94,France,Univ Paris-Saclay,8235,4661,56.6
95,United States,Vanderbilt Univ,8234,4952,60.1
96,Switzerland,Univ Zurich,8186,4872,59.5
97,Sweden,Lund Univ,8181,4490,54.9
98,Germany,Tech Univ Munich,8142,4681,57.5
99,United Kingdom,King's Coll London,8061,5054,62.7
100,France,Univ Paris,8048,4659,57.9
101,South Korea,Korea Univ,8032,3642,45.3
102,Netherlands,Univ Groningen,8023,4729,58.9
103,United States,Emory Univ,7849,4634,59.0
104,Mexico,Natl Auto Univ Mexico,7747,2908,37.5
105,Germany,Heidelberg Univ,7744,4374,56.5
106,China,Northwestern Polytech Univ,7682,4035,52.5
107,Italy,Univ Padova,7678,4092,53.3
108,United States,Univ Chicago,7671,4856,63.3
109,United Kingdom,Univ Edinburgh,7666,4602,60.0
110,United States,Michigan State Univ,7617,4128,54.2
111,China,Chongqing Univ,7516,3908,52.0
112,China,Xiamen Univ,7460,3937,52.8
113,Finland,Univ Helsinki,7411,3959,53.4
114,Norway,Univ Oslo,7410,4070,54.9
115,Germany,Ludwig-Maximilians Univ München,7409,4206,56.8
116,China,Univ Hong Kong,7388,4189,56.7
117,Canada,Univ Montréal,7298,3742,51.3
118,United States,Univ Utah,7283,4036,55.4
119,Italy,Univ Bologna,7271,3796,52.2
120,Denmark,Aarhus Univ,7242,4044,55.8
121,Portugal,Universidade Lisboa,7200,3600,50.0
122,China,Capital Med Univ,7134,3072,43.1
123,Sweden,Uppsala Univ,7109,3882,54.6
124,Italy,Univ Milan,7105,3640,51.2
125,China,Beijing Inst Technol,7103,3667,51.6
126,United States,Univ Maryland - College Park,7102,4135,58.2
127,Canada,Univ Calgary,7034,3855,54.8
128,Netherlands,Vrije Univ Amsterdam,7019,4222,60.2
129,China,Univ Electron Sci & Technol China,6992,3478,49.7
130,Netherlands,Radboud Univ,6959,4162,59.8
131,Netherlands,Erasmus Univ Rotterdam,6892,4231,61.4
132,United States,Univ Arizona,6844,3783,55.3
133,Japan,Kyushu Univ,6844,2887,42.2
134,South Korea,Korea Adv Inst Sci & Technol,6835,3645,53.3
135,United States,Univ Tennessee - Knoxville,6814,3619,53.1
136,China,Jiangsu Univ,6756,3275,48.5
137,Brazil,Univ Estadual Paulista,6754,2736,40.5
138,China,Peking Union Med Coll,6705,3160,47.1
139,Malaysia,Univ Malaya,6687,3118,46.6
140,Iran,Univ Tehran,6666,3138,47.1
141,Netherlands,Leiden Univ,6649,3984,59.9
142,United Kingdom,Univ Nottingham,6647,3825,57.5
143,United States,Georgia Inst Technol,6644,3957,59.6
144,Canada,Univ Ottawa,6636,3541,53.4
145,China,Zhengzhou Univ,6632,3076,46.4
146,Saudi Arabia,King Saud Univ,6602,2679,40.6
147,Canada,West Univ,6585,3398,51.6
148,Japan,Hokkaido Univ,6542,2678,40.9
149,China,Nanjing Med Univ,6541,3290,50.3
150,China,Univ Sci & Technol Beijing,6522,3372,51.7
151,United States,Univ Cincinnati,6500,3589,55.2
152,United States,Arizona State Univ,6485,3605,55.6
153,Portugal,Univ Porto,6469,3340,51.6
154,Japan,Nagoya Univ,6445,2864,44.4
155,United States,N Carolina State Univ,6444,3324,51.6
156,United Kingdom,Univ Bristol,6411,3906,60.9
157,United Kingdom,Univ Southampton,6352,3705,58.3
158,United States,Univ California - Irvine,6346,3732,58.8
159,Canada,McMaster Univ,6345,3467,54.6
160,United States,Boston Univ,6297,3757,59.7
161,United States,Univ Colorado - Denver,6294,3530,56.1
162,South Korea,Hanyang Univ,6251,2664,42.6
163,France,Aix-Marseille Univ,6154,3178,51.6
164,Germany,RWTH Aachen Univ,6146,3280,53.4
165,China,Hunan Univ,6122,3687,60.2
166,China,E China Univ Sci & Technol,6116,3077,50.3
167,China,Northeastern Univ,6105,2983,48.9
168,Italy,Univ Naples Federico II,6037,3256,53.9
169,United Kingdom,Univ Sheffield,6028,3520,58.4
170,Spain,Univ Barcelona,6015,3214,53.4
171,United States,Univ Iowa,6013,3246,54.0
172,Serbia,Univ Belgrade,6008,2234,37.2
173,United States,Virginia Tech,5987,3065,51.2
174,Canada,Univ Waterloo,5968,3182,53.3
175,China,Lanzhou Univ,5956,3205,53.8
176,Australia,Univ West Australia,5949,3266,54.9
177,Germany,Friedrich-Alexander-Univ Erlangen-Nürnberg,5939,3198,53.8
178,Brazil,Univ Campinas,5931,2700,45.5
179,China,Nankai Univ,5927,3339,56.3
180,China,Chinese Univ Hong Kong,5922,3469,58.6
181,United States,Univ Virginia,5905,3431,58.1
182,United States,Univ Colorado - Boulder,5871,3589,61.1
183,United Kingdom,Univ Birmingham,5865,3399,58.0
184,Denmark,Tech Univ Denmark,5860,3432,58.6
185,Australia,Univ Adelaide,5860,3299,56.3
186,Germany,Univ Hamburg,5830,3172,54.4
187,Czech Republic,Charles Univ,5824,2428,41.7
188,China,China Agr Univ,5779,3172,54.9
189,United States,Univ Illinois - Chicago,5765,3091,53.6
190,United Kingdom,Univ Leeds,5763,3469,60.2
191,United States,Univ Georgia - Athens,5752,3015,52.4
192,China,China Univ Min & Technol,5744,2677,46.6
193,China,Beijing Normal Univ,5709,2944,51.6
194,Netherlands,Delft Univ Technol,5708,3415,59.8
195,Brazil,Fed Univ Rio Grande do Sul,5699,2480,43.5
196,Switzerland,Univ Bern,5691,3192,56.1
197,China,China Univ Geosci,5656,3018,53.4
198,New Zealand,Univ Auckland,5599,2986,53.3
199,Germany,Karlsruhe Inst Technol,5527,3021,54.7
200,France,Univ Grenoble Alpes,5522,3022,54.7
201,Israel,Hebrew Univ Jerusalem,5507,2806,51.0
202,Switzerland,Ecole Polytech Féd Lausanne,5506,3563,64.7
203,South Korea,Kyung Hee Univ,5491,2382,43.4
204,China,Hong Kong Polytech Univ,5453,3213,58.9
205,United States,Icahn Sch Med - Mt Sinai,5448,3290,60.4
206,China,Xidian Univ,5440,2746,50.5
207,United States,Univ Connecticut,5398,2956,54.8
208,China,Nanjing Univ Aeronaut & Astronaut,5384,2585,48.0
209,Sweden,Univ Gothenburg,5384,2929,54.4
210,Australia,Australian Natl Univ,5361,3024,56.4
211,Norway,Norwegian Univ Sci & Technol,5337,2911,54.6
212,United States,Univ Miami,5331,2885,54.1
213,United States,Princeton Univ,5322,3676,69.1
214,United States,Iowa State Univ,5311,2794,52.6
215,Germany,Freie Univ Berlin,5284,2868,54.3
216,China,Jiangnan Univ,5236,2672,51.0
217,United States,Univ Alabama - Birmingham,5224,2892,55.4
218,China,Nanjing Agr Univ,5223,2769,53.0
219,Taiwan,Natl Cheng Kung Univ,5183,2270,43.8
220,China,Northwest Agr & Forestry Univ,5172,2726,52.7
221,Spain,Complutense Univ Madrid,5154,2439,47.3
222,United States,Caltech,5151,3500,68.0
223,Germany,Eberhard Karls Univ Tübingen,5148,2776,53.9
224,United States,Univ Kentucky,5147,2640,51.3
225,United States,Brown Univ,5142,3050,59.3
226,Spain,Univ Aut Barcelona,5102,2706,53.0
227,Italy,Univ Florence,5086,2633,51.8
228,China,Nanjing Univ Sci & Technol,5065,2644,52.2
229,Netherlands,Wageningen Univ & Res,5060,3130,61.9
230,China,Shanghai Univ,5056,2416,47.8
231,Israel,Technion - Israel Inst Technol,5040,2557,50.7
232,Brazil,Univ Fed Rio de Janeiro,5032,2149,42.7
233,Saudi Arabia,King Abdulaziz Univ,5031,2456,48.8
234,France,Claude Bernard Lyon 1 Univ,5029,2789,55.5
235,Taiwan,Chang Gung Univ,4988,2224,44.6
236,Italy,Univ Turin,4973,2587,52.0
237,Germany,Tech Univ Dresden,4933,2584,52.4
238,Germany,Univ Freiburg,4923,2809,57.0
239,China,Southwest Univ,4913,2408,49.0
240,Switzerland,Univ Geneva,4882,2838,58.1
241,South Korea,Pusan Natl Univ,4878,1967,40.3
242,Germany,Georg-August-Univ Göttingen,4872,2838,58.2
243,United States,Baylor Coll Med,4866,2824,58.0
244,United Kingdom,Univ Liverpool,4841,2823,58.3
245,Switzerland,Univ Basel,4839,2896,59.8
246,Germany,Univ Bonn,4819,2734,56.7
247,United Kingdom,Univ Glasgow,4802,2907,60.5
248,Poland,Jagiellonian Univ,4800,2012,41.9
249,South Korea,Univ Ulsan,4793,2297,47.9
250,Netherlands,Maastricht Univ,4781,2744,57.4
251,Russia,Lomonosov Moscow State Univ,4771,1656,34.7
252,Germany,Humboldt Univ Berlin,4763,2610,54.8
253,United States,Indiana Univ - Purdue Univ Indianapolis,4754,2467,51.9
254,China,Natl Univ Defense Technol,4729,2167,45.8
255,Germany,Univ Münster,4707,2579,54.8
256,India,Indian Inst Sci,4689,2130,45.4
257,China,Beijing Univ Chem Technol,4679,2629,56.2
258,Spain,Univ Valencia,4668,2352,50.4
259,Japan,Tokyo Inst Technol,4662,1988,42.6
260,United States,Univ Buffalo - SUNY,4612,2417,52.4
261,Canada,Univ Laval,4611,2376,51.5
262,United States,Univ Missouri - Columbia,4596,2373,51.6
263,United States,Univ Kansas,4576,2355,51.5
264,China,China Med Univ,4568,2115,46.3
265,United Kingdom,Cardiff Univ,4566,2585,56.6
266,Greece,Natl & Kapodistrian Univ Athens,4561,2130,46.7
267,United Kingdom,Newcastle Univ,4559,2725,59.8
268,United States,Univ Texas - Southwestern Med Ctr - Dallas,4524,2789,61.7
269,Iran,Amirkabir Univ Technol,4509,2040,45.2
270,China,Wuhan Univ Technol,4498,2323,51.6
271,India,Indian Inst Technol Kharagpur,4493,2161,48.1
272,Australia,Curtin Univ,4492,2492,55.5
273,Italy,Univ Pisa,4470,2352,52.6
274,Germany,Goethe Univ Frankfurt,4462,2443,54.8
275,Brazil,Univ Fed Minas Gerais,4460,1915,42.9
276,Sweden,KTH Royal Inst Technol,4457,2393,53.7
277,China,Nanchang Univ,4443,2105,47.4
278,China,City Univ Hong Kong,4392,2632,59.9
279,Spain,Univ Granada,4380,2123,48.5
280,France,Univ Toulouse III - Paul Sabatier,4379,2453,56.0
281,Iran,Tehran Univ Med Sci,4375,1763,40.3
282,United States,Univ Rochester,4374,2558,58.5
283,United Kingdom,Univ Warwick,4365,2590,59.3
284,South Korea,Kyungpook Natl Univ,4331,1757,40.6
285,United States,Univ S Florida - Tampa,4328,2198,50.8
286,China,E China Normal Univ,4282,2236,52.2
287,United States,Colorado State Univ,4253,2319,54.5
288,France,Univ Montpellier,4249,2394,56.3
289,France,Univ Strasbourg,4217,2267,53.8
290,United States,Univ California - Santa Barbara,4208,2693,64.0
291,Canada,Univ Manitoba,4202,2071,49.3
292,Australia,Griffith Univ,4200,2274,54.1
293,Israel,Ben-Gurion Univ Negev,4185,1888,45.1
294,Switzerland,Univ Lausanne,4168,2429,58.3
295,France,Univ Paris Sci Lettres,4156,2423,58.3
296,China,Huazhong Agr Univ,4154,2260,54.4
297,Greece,Aristotle Univ Thessaloniki,4128,1968,47.7
298,Spain,Univ Seville,4124,2090,50.7
299,Italy,Politec Milano,4121,2195,53.3
300,United States,Washington State Univ,4118,2181,53.0
301,China,South Med Univ,4090,2065,50.5
302,New Zealand,Univ Otago,4070,2113,51.9
303,United States,Univ Maryland - Baltimore,4063,2238,55.1
304,Austria,Univ Vienna,4033,2238,55.5
305,United States,Oregon State Univ,4032,2198,54.5
306,Germany,Univ Cologne,4029,2177,54.0
307,China,Wenzhou Med Univ,4025,1896,47.1
308,United States,Wayne State Univ,3997,2022,50.6
309,Egypt,Cairo Univ,3997,1651,41.3
310,China,Nanjing Tech Univ,3988,2040,51.1
311,Malaysia,Univ Putra Malaysia,3986,1739,43.6
312,China,Jinan Univ,3977,1971,49.6
313,China,Ocean Univ China,3976,1766,44.4
314,United States,Univ Oklahoma,3965,2037,51.4
315,Denmark,Univ South Denmark,3962,2131,53.8
316,Spain,Univ Basque Country,3945,2057,52.2
317,Australia,Deakin Univ,3927,2190,55.8
318,United States,Indiana Univ - Bloomington,3912,2181,55.7
319,Austria,Med Univ Vienna,3912,2103,53.8
320,United States,Virginia Commonwealth Univ,3911,2066,52.8
321,China,Beijing Jiaotong Univ,3895,1899,48.8
322,Norway,Univ Bergen,3886,2140,55.1
323,Spain,Univ Aut Madrid,3885,2073,53.4
324,Germany,Ruhr-Univ Bochum,3884,2058,53.0
325,United States,Stony Brook Univ - SUNY,3867,2177,56.3
326,South Korea,Cath Univ Korea,3864,1611,41.7
327,Australia,Queensland Univ Technol,3847,2122,55.2
328,Sweden,Stockholm Univ,3835,2143,55.9
329,India,Indian Inst Technol Madras,3830,1718,44.9
330,Germany,Johannes Gutenberg Univ Mainz,3817,2098,55.0
331,United States,Univ Nebraska - Lincoln,3800,1960,51.6
332,China,Harbin Med Univ,3791,1780,47.0
333,United States,Florida State Univ,3785,2094,55.3
334,Spain,Univ Politècnica València,3776,1898,50.3
335,France,Univ Lorraine,3769,1892,50.2
336,Canada,Univ Saskatchewan,3767,1717,45.6
337,China,Shenzhen Univ,3745,2038,54.4
338,China,Chongqing Med Univ,3732,1845,49.4
339,India,Indian Inst Technol Bombay,3731,1677,45.0
340,South Korea,Chung-Ang Univ,3708,1469,39.6
341,France,Univ Bordeaux,3702,2066,55.8
342,Canada,Queen's Univ,3689,1875,50.8
343,Australia,Univ Newcastle,3688,1932,52.4
344,Japan,Keio Univ,3687,1625,44.1
345,United States,Univ S Carolina - Columbia,3674,1969,53.6
346,Iran,Tarbiat Modares Univ,3660,1702,46.5
347,Ireland,Univ Coll Dublin,3648,1965,53.9
348,China,Beijing Univ Posts & Telecom,3648,1692,46.4
349,China,Qingdao Univ,3648,1671,45.8
350,United States,Univ Massachusetts Amherst,3637,2107,57.9
351,United Kingdom,Queen Mary Univ London,3632,2233,61.5
352,China,Beijing Univ Technol,3632,1703,46.9
353,Germany,Julius Maximilian Univ Würzburg,3622,2020,55.8
354,China,Hong Kong Univ Sci & Technol,3621,2238,61.8
355,Finland,Aalto Univ,3620,1962,54.2
356,Turkey,İstanbul Univ,3618,1299,35.9
357,France,Univ Lille,3614,1828,50.6
358,Sweden,Linköping Univ,3609,1900,52.6
359,China,Hohai Univ,3606,1622,45.0
360,Australia,Univ Wollongong,3598,2014,56.0
361,Slovenia,Univ Ljubljana,3587,1556,43.4
362,India,Indian Inst Technol Delhi,3585,1694,47.2
363,South Korea,Chonnam Natl Univ,3584,1537,42.9
364,Japan,Hiroshima Univ,3584,1372,38.3
365,China,Southwest Jiaotong Univ,3576,1851,51.8
366,United States,Tufts Univ,3575,2075,58.0
367,Canada,Dalhousie Univ,3567,1791,50.2
368,United States,Oregon Hlth & Sci Univ,3567,2089,58.6
369,Canada,Univ Guelph,3543,1724,48.7
370,Iran,Sharif Univ Technol,3531,1623,46.0
371,Belgium,Univ Antwerp,3527,1964,55.7
372,China,N China Elect Power Univ,3519,1705,48.5
373,Denmark,Aalborg Univ,3489,1838,52.7
374,United States,Louisiana State Univ,3485,1698,48.7
375,Germany,Friedrich Schiller Univ Jena,3476,1772,51.0
376,Japan,Univ Tsukuba,3474,1404,40.4
377,United Kingdom,Univ Exeter,3472,2195,63.2
378,Argentina,Univ Buenos Aires,3463,1453,42.0
379,Australia,Macquarie Univ,3451,1857,53.8
380,Germany,Univ Duisburg-Essen,3424,1835,53.6
381,South Korea,Konkuk Univ,3421,1313,38.4
382,Germany,Leipzig Univ,3419,1688,49.4
383,United States,Univ Houston - Houston,3410,1820,53.4
384,United States,Carnegie Mellon Univ,3406,2028,59.5
385,Spain,Univ Politècnica Catalunya - BarcelonaTech,3401,1690,49.7
386,China,Hefei Univ Technol,3395,1708,50.3
387,Iran,Iran Univ Sci & Technol,3394,1655,48.8
388,Iran,Isfahan Univ Technol,3389,1651,48.7
389,United States,Univ California - Riverside,3355,1991,59.3
390,South Africa,Univ KwaZulu-Natal,3351,1342,40.0
391,Ireland,Trinity Coll Dublin,3333,1886,56.6
392,United States,George Washington Univ,3329,1817,54.6
393,China,Harbin Engn Univ,3326,1611,48.4
394,United States,Univ Hawaii - Manoa,3320,1717,51.7
395,Mexico,Natl Polytech Inst - Mexico,3313,1194,36.0
396,Portugal,Univ Coimbra,3307,1657,50.1
397,Netherlands,Eindhoven Univ Technol,3304,1960,59.3
398,South Korea,Pohang Univ Sci & Technol,3299,1795,54.4
399,United States,Temple Univ,3296,1848,56.1
400,South Africa,Univ Cape Town,3286,1693,51.5
401,Taiwan,Natl Chiao Tung Univ,3279,1475,45.0
402,Malaysia,Univ Tek Malaysia,3278,1658,50.6
403,Belgium,Univ Catholique Louvain,3277,1781,54.3
404,South Korea,Jeonbuk Natl Univ,3262,1365,41.9
405,India,Banaras Hindu Univ,3232,1400,43.3
406,China,China Univ Petrol E China,3228,1660,51.4
407,United States,Univ Delaware,3223,1790,55.5
408,Sweden,Chalmers Univ Technol,3204,1802,56.2
409,China,Second Mil Med Univ,3195,1671,52.3
410,Croatia,Univ Zagreb,3194,1275,39.9
411,Sweden,Umeå Univ,3193,1687,52.8
412,United States,Yeshiva Univ,3188,1827,57.3
413,Thailand,Mahidol Univ,3187,1283,40.3
414,Spain,Univ Zaragoza,3186,1567,49.2
415,Italy,Univ Genoa,3185,1589,49.9
416,United Kingdom,Durham Univ,3182,1870,58.8
417,United States,Univ New Mexico,3179,1629,51.2
418,Japan,Kobe Univ,3178,1252,39.4
419,Australia,RMIT Univ,3169,1717,54.2
420,China,Yangzhou Univ,3165,1442,45.5
421,United States,Texas Tech Univ,3151,1519,48.2
422,United Kingdom,Queen's Univ Belfast,3147,1774,56.4
423,Australia,Univ Technol - Sydney,3141,1821,58.0
424,China,Zhejiang Univ Technol,3133,1533,48.9
425,China,Army Med Univ,3125,1619,51.8
426,Spain,Tech Univ Madrid,3123,1509,48.3
427,Belgium,Univ Liège,3115,1651,53.0
428,Saudi Arabia,King Abdullah Univ Sci & Technol,3109,2018,64.9
429,Malaysia,Univ Sains Malaysia,3108,1268,40.8
430,China,China Univ Petrol Beijing,3104,1617,52.1
431,United Kingdom,Univ York,3093,1821,58.9
432,India,Indian Inst Technol Roorkee,3087,1504,48.7
433,Germany,Kiel Univ,3087,1639,53.1
434,Chile,Univ Chile,3086,1449,47.0
435,Italy,Univ Palermo,3081,1578,51.2
436,Portugal,Univ Aveiro,3069,1619,52.8
437,South Africa,Univ Pretoria,3060,1375,44.9
438,Taiwan,Natl Tsing Hua Univ,3057,1479,48.4
439,China,Fourth Mil Med Univ,3038,1645,54.2
440,Belgium,Univ Libre Bruxelles,3026,1641,54.2
441,Finland,Univ Turku,3019,1559,51.6
442,Netherlands,Univ Twente,3019,1697,56.2
443,Germany,Heinrich Heine Univ Düsseldorf,3013,1597,53.0
444,Italy,Univ Rome Tor Vergata,3010,1483,49.3
445,Brazil,Univ Fed São Paulo,3009,1198,39.8
446,China,Taiyuan Univ Technol,3000,1383,46.1
447,United States,Univ Notre Dame,2987,1718,57.5
448,India,Indian Inst Technol Kanpur,2982,1400,47.0
449,South Africa,Univ Witwatersrand,2971,1291,43.5
450,China,China Pharmaceut Univ,2969,1634,55.0
451,United States,Univ Cent Florida,2965,1558,52.5
452,Australia,Univ Tasmania,2963,1580,53.3
453,Poland,Univ Warsaw,2956,1219,41.2
454,Italy,Univ Cattolica Sacro Cuore,2954,1534,51.9
455,China,Donghua Univ,2945,1527,51.8
456,Turkey,Hacettepe Univ,2943,1184,40.2
457,Germany,Tech Univ Berlin,2941,1608,54.7
458,Thailand,Chulalongkorn Univ,2934,1215,41.4
459,Iran,Ferdowsi Univ Mashhad,2928,1269,43.3
460,Brazil,Univ Fed Santa Catarina,2927,1313,44.8
461,China,Tianjin Med Univ,2909,1415,48.6
462,China,Shaanxi Normal Univ,2909,1403,48.2
463,Germany,Ulm Univ,2893,1523,52.7
464,Italy,Politec Torino,2892,1495,51.7
465,China,Northwest Univ,2886,1398,48.4
466,China,Fuzhou Univ,2883,1622,56.3
467,Germany,Univ Regensburg,2856,1576,55.2
468,Taiwan,Natl Yang-Ming Univ,2835,1327,46.8
469,United States,Med Univ S Carolina,2835,1553,54.8
470,Spain,Univ Santiago Compostela,2826,1393,49.3
471,United States,Dartmouth Coll,2811,1676,59.6
472,United States,Univ Louisville,2806,1347,48.0
473,South Africa,Stellenbosch Univ,2794,1285,46.0
474,United States,W Virginia Univ,2791,1294,46.4
475,South Korea,Inha Univ,2781,1115,40.1
476,United States,Auburn Univ,2767,1301,47.0
477,Belgium,Vrije Univ Brussel,2763,1463,52.9
478,United States,Wake Forest Univ,2763,1455,52.7
479,Austria,Vienna Univ Technol,2752,1471,53.5
480,Canada,Simon Fraser Univ,2751,1426,51.9
481,Iran,Shiraz Univ,2743,1196,43.6
482,United States,Kansas State Univ,2732,1320,48.3
483,South Korea,Yeungnam Univ,2731,1204,44.1
484,China,Kunming Univ Sci & Technol,2726,1190,43.6
485,India,Univ Delhi,2701,1170,43.3
486,Germany,Univ Stuttgart,2697,1499,55.6
487,Japan,Okayama Univ,2695,981,36.4
488,Tunisia,Univ Sfax,2684,1176,43.8
489,Malaysia,Univ Kebangsaan Malaysia,2680,1136,42.4
490,Italy,Univ Catania,2670,1420,53.2
491,China,Ningbo Univ,2670,1277,47.8
492,China,S China Normal Univ,2666,1271,47.7
493,China,Beijing Forestry Univ,2659,1212,45.6
494,United States,Drexel Univ,2642,1377,52.1
495,India,Indian Inst Technol Guwahati,2639,1252,47.5
496,Russia,St Petersburg State Univ,2629,914,34.8
497,South Korea,Chungnam Natl Univ,2618,1012,38.7
498,Japan,Chiba Univ,2615,1071,40.9
499,United States,Rice Univ,2615,1611,61.6
500,Italy,Univ Perugia,2613,1378,52.7
501,United Kingdom,Univ Bath,2595,1471,56.7
502,Ireland,Univ Coll Cork,2595,1496,57.7
503,United States,Clemson Univ,2594,1230,47.4
504,Australia,Univ S Australia,2586,1407,54.4
505,China,Yanshan Univ,2571,1182,46.0
506,Sweden,Swed Univ Agr Sci,2565,1461,57.0
507,United States,Northeastern Univ - USA,2562,1426,55.7
508,Israel,Weizmann Inst Sci,2558,1683,65.8
509,Italy,Univ Pavia,2547,1321,51.9
510,Germany,Hannover Med Sch,2541,1333,52.4
511,Germany,Justus Liebig Univ Giessen,2529,1274,50.4
512,Australia,Flinders Univ,2526,1300,51.5
513,Finland,Univ Oulu,2518,1228,48.8
514,Germany,Tech Univ Darmstadt,2517,1349,53.6
515,Germany,Saarland Univ,2509,1267,50.5
516,Italy,Univ Milano-Bicocca,2496,1305,52.3
517,China,S China Agr Univ,2492,1199,48.1
518,Spain,Univ Oviedo,2491,1208,48.5
519,Iran,Univ Tabriz,2485,1162,46.8
520,China,Anhui Med Univ,2482,1177,47.4
521,Israel,Bar-Ilan Univ,2478,1096,44.2
522,Saudi Arabia,King Fahd Univ Petrol & Minerals,2473,1186,48.0
523,Poland,AGH Univ Sci & Technol,2468,938,38.0
524,Italy,Univ Bari Aldo Moro,2462,1284,52.2
525,Brazil,Univ Fed Paraná,2458,1034,42.1
526,United Kingdom,Univ Aberdeen,2439,1410,57.8
527,Iran,Shahid Beheshti Univ Med Sci,2432,969,39.9
528,Australia,La Trobe Univ,2422,1260,52.0
