Rank,Country,University,P,P(top 50%),PP(top 50%)
1,United States,Harvard Univ,33722,22423,66.5
2,China,Shanghai Jiao Tong Univ,24180,12565,52.0
3,China,Zhejiang Univ,23510,12444,52.9
4,Canada,Univ Toronto,22995,13347,58.0
5,China,Tsinghua Univ,19902,11396,57.3
6,United States,Univ Michigan,18598,11248,60.5
7,Brazil,Univ São Paulo,17855,7835,43.9
8,China,Peking Univ,17285,9265,53.6
9,United States,Johns Hopkins Univ,17215,10556,61.3
10,South Korea,Seoul Natl Univ,16581,7824,47.2
11,China,Huazhong Univ Sci & Technol,16580,9133,55.1
12,China,Sichuan Univ,16547,8065,48.7
13,United States,Stanford Univ,16161,10893,67.4
14,China,Jilin Univ,15781,7100,45.0
15,China,Fudan Univ,15442,8075,52.3
16,United Kingdom,Univ Oxford,15353,9923,64.6
17,China,Xi'an Jiaotong Univ,15343,7919,51.6
18,China,Sun Yat-sen Univ,14976,8042,53.7
19,United Kingdom,Univ Coll London,14742,9330,63.3
20,United States,Univ Washington - Seattle,14730,9049,61.4
21,China,Shandong Univ,14676,7267,49.5
22,Japan,Univ Tokyo,14563,7040,48.3
23,China,Harbin Inst Technol,14417,7639,53.0
24,China,Cent S Univ,13995,7353,52.5
25,United States,Univ California - Los Angeles,13645,8443,61.9
26,United Kingdom,Univ Cambridge,13485,8582,63.6
27,United States,Univ Penn,13414,8352,62.3
28,Australia,Univ Melbourne,13003,7408,57.0
29,Canada,Univ British Columbia,12988,7495,57.7
30,United States,Univ Minnesota - Twin Cities,12757,7287,57.1
31,Denmark,Univ Copenhagen,12651,7097,56.1
32,Australia,Univ Sydney,12604,7074,56.1
33,United States,Cornell Univ,12523,7731,61.7
34,United States,Univ Wisconsin - Madison,12462,7266,58.3
35,United States,Ohio State Univ,12353,6899,55.9
36,United States,Columbia Univ,12342,7738,62.7
37,Australia,Univ Queensland,12316,7146,58.0
38,Singapore,Natl Univ Singapore,12308,7355,59.8
