Rank,Country,University,P,P(top 50%),PP(top 50%)
117,Canada,Univ Montréal,7367,3789,51.4
118,Italy,Univ Bologna,7364,3820,51.9
119,United States,Univ Utah,7304,4070,55.7
120,Denmark,Aarhus Univ,7298,4083,55.9
121,Portugal,Universidade Lisboa,7254,3635,50.1
122,Sweden,Uppsala Univ,7172,3934,54.9
123,China,Capital Med Univ,7164,3101,43.3
124,Italy,Univ Milan,7163,3667,51.2
125,China,Beijing Inst Technol,7148,3677,51.4
126,United States,Univ Maryland - College Park,7123,4165,58.5
127,United Kingdom,Univ Nottingham,7094,4037,56.9
128,Canada,Univ Calgary,7076,3855,54.5
129,Netherlands,Vrije Univ Amsterdam,7068,4269,60.4
130,China,Univ Electron Sci & Technol China,7040,3489,49.6
131,Netherlands,Radboud Univ,7035,4202,59.7
132,Japan,Kyushu Univ,6992,2949,42.2
133,Netherlands,Erasmus Univ Rotterdam,6922,4249,61.4
134,United States,Univ Arizona,6877,3802,55.3
135,South Korea,Korea Adv Inst Sci & Technol,6846,3655,53.4
136,United States,Univ Tennessee - Knoxville,6835,3660,53.6
137,China,Peking Union Med Coll,6835,3223,47.2
138,China,Jiangsu Univ,6818,3291,48.3
139,Brazil,Univ Estadual Paulista,6786,2761,40.7
140,Iran,Univ Tehran,6771,3143,46.4
141,Malaysia,Univ Malaya,6750,3156,46.8
142,Netherlands,Leiden Univ,6685,4002,59.9
143,China,Zhengzhou Univ,6679,3086,46.2
144,United States,Georgia Inst Technol,6674,3969,59.5
145,Canada,Univ Ottawa,6670,3550,53.2
146,Japan,Hokkaido Univ,6661,2708,40.6
147,Canada,West Univ,6616,3426,51.8
148,China,Nanjing Med Univ,6593,3318,50.3
149,China,Univ Sci & Technol Beijing,6565,3408,51.9
150,United Kingdom,Univ Bristol,6534,3997,61.2
151,United States,Univ Cincinnati,6513,3600,55.3
152,United States,Arizona State Univ,6509,3640,55.9
153,Portugal,Univ Porto,6497,3357,51.7
154,Japan,Nagoya Univ,6466,2853,44.1
155,United States,N Carolina State Univ,6465,3351,51.8
156,Saudi Arabia,King Saud Univ,6437,2598,40.4
157,United Kingdom,Univ Southampton,6420,3761,58.6
158,Canada,McMaster Univ,6370,3475,54.6
159,United States,Univ California - Irvine,6367,3741,58.8
160,United States,Boston Univ,6319,3779,59.8
161,United States,Univ Colorado - Denver,6316,3568,56.5
162,South Korea,Hanyang Univ,6304,2690,42.7
163,Germany,RWTH Aachen Univ,6257,3355,53.6
164,France,Aix-Marseille Univ,6219,3217,51.7
165,China,E China Univ Sci & Technol,6158,3102,50.4
166,China,Hunan Univ,6153,3696,60.1
167,China,Northeastern Univ,6114,3007,49.2
168,Spain,Univ Barcelona,6097,3260,53.5
169,United Kingdom,Univ Sheffield,6096,3581,58.7
170,Serbia,Univ Belgrade,6094,2246,36.9
171,United Kingdom,Univ Birmingham,6068,3509,57.8
172,Italy,Univ Naples Federico II,6059,3285,54.2
173,Canada,Univ Waterloo,6025,3218,53.4
174,United States,Univ Iowa,6024,3249,53.9
175,United States,Virginia Tech,6003,3080,51.3
176,China,Lanzhou Univ,5972,3251,54.4
177,Australia,Univ West Australia,5971,3276,54.9
178,Germany,Univ Hamburg,5970,3247,54.4
179,China,Chinese Univ Hong Kong,5961,3500,58.7
180,Germany,Friedrich-Alexander-Univ Erlangen-Nürnberg,5955,3226,54.2
181,Brazil,Univ Campinas,5950,2707,45.5
182,China,Nankai Univ,5949,3369,56.6
183,United States,Univ Virginia,5919,3447,58.2
184,Denmark,Tech Univ Denmark,5912,3480,58.9
185,United Kingdom,Univ Leeds,5899,3576,60.6
186,Australia,Univ Adelaide,5887,3321,56.4
187,United States,Univ Colorado - Boulder,5879,3608,61.4
188,Czech Republic,Charles Univ,5853,2469,42.2
189,United States,Univ Illinois - Chicago,5794,3116,53.8
190,Brazil,Fed Univ Rio Grande do Sul,5790,2528,43.7
191,China,China Agr Univ,5784,3215,55.6
192,United States,Univ Georgia - Athens,5770,3012,52.2
193,China,China Univ Min & Technol,5769,2691,46.6
194,China,Beijing Normal Univ,5750,2964,51.5
195,Netherlands,Delft Univ Technol,5747,3457,60.1
196,Switzerland,Univ Bern,5740,3231,56.3
197,China,China Univ Geosci,5694,3046,53.5
198,Switzerland,Ecole Polytech Féd Lausanne,5692,3694,64.9
199,New Zealand,Univ Auckland,5630,3002,53.3
200,France,Univ Grenoble Alpes,5613,3116,55.5
201,Germany,Karlsruhe Inst Technol,5578,3056,54.8
202,Israel,Hebrew Univ Jerusalem,5553,2832,51.0
203,South Korea,Kyung Hee Univ,5535,2406,43.5
204,China,Hong Kong Polytech Univ,5497,3236,58.9
205,United States,Icahn Sch Med - Mt Sinai,5467,3316,60.7
206,Norway,Norwegian Univ Sci & Technol,5455,2967,54.4
207,China,Xidian Univ,5445,2777,51.0
208,Australia,Australian Natl Univ,5438,3060,56.3
209,Sweden,Univ Gothenburg,5427,2942,54.2
210,United States,Univ Connecticut,5425,2959,54.6
211,China,Nanjing Univ Aeronaut & Astronaut,5409,2597,48.0
212,United States,Univ Miami,5358,2907,54.3
213,Germany,Freie Univ Berlin,5357,2929,54.7
214,United States,Princeton Univ,5334,3704,69.5
215,United States,Iowa State Univ,5322,2822,53.0
216,United Kingdom,Univ Glasgow,5292,3220,60.9
217,China,Jiangnan Univ,5258,2684,51.0
218,China,Nanjing Agr Univ,5254,2804,53.4
219,United States,Univ Alabama - Birmingham,5240,2901,55.4
220,China,Northwest Agr & Forestry Univ,5212,2754,52.8
221,Taiwan,Natl Cheng Kung Univ,5206,2269,43.6
222,Spain,Complutense Univ Madrid,5203,2469,47.5
223,Germany,Eberhard Karls Univ Tübingen,5192,2821,54.3
224,Spain,Univ Aut Barcelona,5181,2757,53.2
225,United States,Univ Kentucky,5162,2659,51.5
226,United States,Caltech,5159,3528,68.4
227,United States,Brown Univ,5156,3062,59.4
228,Italy,Univ Florence,5131,2641,51.5
229,China,Nanjing Univ Sci & Technol,5110,2659,52.0
230,Israel,Technion - Israel Inst Technol,5078,2552,50.3
231,Brazil,Univ Fed Rio de Janeiro,5077,2180,42.9
232,China,Shanghai Univ,5077,2427,47.8
233,Netherlands,Wageningen Univ & Res,5066,3124,61.7
234,Italy,Univ Turin,5032,2625,52.2
235,Taiwan,Chang Gung Univ,5005,2239,44.7
236,Saudi Arabia,King Abdulaziz Univ,4986,2433,48.8
237,France,Claude Bernard Lyon 1 Univ,4979,2738,55.0
238,Germany,Univ Freiburg,4964,2840,57.2
239,Germany,Tech Univ Dresden,4962,2626,52.9
240,Switzerland,Univ Geneva,4938,2863,58.0
241,Germany,Univ Bonn,4936,2793,56.6
242,China,Southwest Univ,4931,2421,49.1
243,United Kingdom,Univ Liverpool,4926,2877,58.4
244,Russia,Lomonosov Moscow State Univ,4925,1678,34.1
245,South Korea,Pusan Natl Univ,4925,2000,40.6
246,Germany,Georg-August-Univ Göttingen,4900,2851,58.2
247,United States,Baylor Coll Med,4875,2841,58.3
248,China,Natl Univ Defense Technol,4870,2221,45.6
249,Poland,Jagiellonian Univ,4866,2024,41.6
250,Switzerland,Univ Basel,4848,2908,60.0
251,Germany,Univ Münster,4844,2655,54.8
252,Germany,Humboldt Univ Berlin,4806,2666,55.5
253,South Korea,Univ Ulsan,4797,2313,48.2
254,Netherlands,Maastricht Univ,4794,2765,57.7
255,United States,Indiana Univ - Purdue Univ Indianapolis,4769,2486,52.1
256,Spain,Univ Valencia,4708,2364,50.2
257,India,Indian Inst Sci,4708,2174,46.2
258,Japan,Tokyo Inst Technol,4707,2015,42.8
259,China,Beijing Univ Chem Technol,4701,2637,56.1
260,United Kingdom,Newcastle Univ,4696,2819,60.0
261,Canada,Univ Laval,4649,2403,51.7
262,United Kingdom,Cardiff Univ,4628,2613,56.5
263,United States,Univ Buffalo - SUNY,4625,2412,52.2
264,United States,Univ Missouri - Columbia,4607,2400,52.1
265,China,China Med Univ,4598,2124,46.2
266,Iran,Amirkabir Univ Technol,4592,2082,45.3
267,United States,Univ Kansas,4588,2386,52.0
268,Greece,Natl & Kapodistrian Univ Athens,4586,2176,47.4
269,India,Indian Inst Technol Kharagpur,4543,2188,48.2
270,United States,Univ Texas - Southwestern Med Ctr - Dallas,4534,2788,61.5
271,China,Wuhan Univ Technol,4523,2337,51.7
272,Australia,Curtin Univ,4520,2502,55.3
273,France,Univ Toulouse III - Paul Sabatier,4516,2514,55.7
274,Italy,Univ Pisa,4505,2373,52.7
275,Germany,Goethe Univ Frankfurt,4504,2476,55.0
276,Iran,Tehran Univ Med Sci,4499,1787,39.7
277,Sweden,KTH Royal Inst Technol,4496,2427,54.0
278,Brazil,Univ Fed Minas Gerais,4493,1941,43.2
279,China,Nanchang Univ,4469,2120,47.4
280,South Korea,Kyungpook Natl Univ,4434,1794,40.5
281,China,City Univ Hong Kong,4416,2646,59.9
282,United Kingdom,Univ Warwick,4414,2608,59.1
283,Spain,Univ Granada,4397,2149,48.9
284,United States,Univ Rochester,4381,2552,58.3
285,United States,Univ S Florida - Tampa,4337,2211,51.0
286,China,E China Normal Univ,4305,2278,52.9
287,United States,Colorado State Univ,4259,2338,54.9
288,Canada,Univ Manitoba,4235,2078,49.1
289,Switzerland,Univ Lausanne,4232,2476,58.5
290,Australia,Griffith Univ,4230,2289,54.1
291,France,Univ Strasbourg,4230,2285,54.0
292,China,Wenzhou Med Univ,4220,1989,47.1
293,Israel,Ben-Gurion Univ Negev,4218,1892,44.9
294,United States,Univ California - Santa Barbara,4216,2697,64.0
295,France,Univ Paris Sci Lettres,4201,2442,58.1
296,China,South Med Univ,4192,2111,50.3
297,China,Huazhong Agr Univ,4168,2270,54.5
298,Greece,Aristotle Univ Thessaloniki,4167,2004,48.1
299,Malaysia,Univ Putra Malaysia,4164,1766,42.4
300,Italy,Politec Milano,4160,2216,53.3
301,Spain,Univ Seville,4140,2093,50.5
302,United States,Washington State Univ,4130,2204,53.4
303,Denmark,Univ South Denmark,4091,2219,54.2
304,New Zealand,Univ Otago,4090,2127,52.0
305,Austria,Univ Vienna,4079,2271,55.7
306,United States,Univ Maryland - Baltimore,4072,2259,55.5
307,Germany,Univ Cologne,4064,2198,54.1
308,Egypt,Cairo Univ,4054,1674,41.3
309,United States,Oregon State Univ,4041,2217,54.9
310,China,Ocean Univ China,4028,1777,44.1
311,China,Jinan Univ,4015,1982,49.4
312,China,Nanjing Tech Univ,4013,2052,51.1
313,United States,Wayne State Univ,4003,2037,50.9
314,United States,Univ Oklahoma,3975,2053,51.7
315,Spain,Univ Basque Country,3961,2056,51.9
316,Australia,Deakin Univ,3951,2211,56.0
317,France,Univ Montpellier,3935,2251,57.2
318,Austria,Med Univ Vienna,3928,2123,54.1
319,United States,Indiana Univ - Bloomington,3925,2204,56.2
320,United States,Virginia Commonwealth Univ,3925,2072,52.8
321,China,Beijing Jiaotong Univ,3920,1902,48.5
322,Germany,Ruhr-Univ Bochum,3917,2089,53.3
323,Norway,Univ Bergen,3916,2163,55.2
324,South Korea,Cath Univ Korea,3913,1648,42.1
325,Spain,Univ Aut Madrid,3887,2072,53.3
326,Japan,Keio Univ,3876,1715,44.2
327,United States,Stony Brook Univ - SUNY,3875,2182,56.3
328,Australia,Queensland Univ Technol,3873,2127,54.9
329,Sweden,Stockholm Univ,3860,2174,56.3
330,Germany,Johannes Gutenberg Univ Mainz,3859,2135,55.3
331,India,Indian Inst Technol Madras,3859,1707,44.2
332,France,Univ Bordeaux,3836,2154,56.1
333,Spain,Univ Politècnica València,3811,1921,50.4
334,United States,Florida State Univ,3811,2117,55.5
335,China,Harbin Med Univ,3811,1811,47.5
336,United States,Univ Nebraska - Lincoln,3810,1978,51.9
337,Canada,Univ Saskatchewan,3802,1726,45.4
338,India,Indian Inst Technol Bombay,3770,1689,44.8
339,China,Shenzhen Univ,3757,2052,54.6
340,China,Chongqing Med Univ,3754,1863,49.6
341,South Korea,Chung-Ang Univ,3743,1502,40.1
342,France,Univ Lorraine,3738,1860,49.8
343,Iran,Tarbiat Modares Univ,3721,1715,46.1
344,China,Qingdao Univ,3714,1708,46.0
345,United Kingdom,Queen Mary Univ London,3707,2293,61.9
346,Canada,Queen's Univ,3706,1900,51.3
347,Australia,Univ Newcastle,3705,1950,52.6
348,Slovenia,Univ Ljubljana,3704,1588,42.9
349,United States,Univ S Carolina - Columbia,3680,1965,53.4
350,Ireland,Univ Coll Dublin,3675,1973,53.7
351,China,Beijing Univ Posts & Telecom,3670,1695,46.2
352,Turkey,İstanbul Univ,3665,1291,35.2
353,China,Hong Kong Univ Sci & Technol,3661,2249,61.4
354,Germany,Julius Maximilian Univ Würzburg,3654,2041,55.9
355,China,Beijing Univ Technol,3650,1740,47.7
356,United States,Univ Massachusetts Amherst,3648,2104,57.7
357,South Korea,Chonnam Natl Univ,3642,1561,42.9
358,Finland,Aalto Univ,3640,1972,54.2
359,Sweden,Linköping Univ,3632,1915,52.7
360,China,Hohai Univ,3629,1637,45.1
361,Australia,Univ Wollongong,3614,2020,55.9
362,India,Indian Inst Technol Delhi,3612,1718,47.6
363,Belgium,Univ Antwerp,3600,2003,55.6
364,China,Southwest Jiaotong Univ,3596,1859,51.7
365,Japan,Hiroshima Univ,3593,1377,38.3
366,China,N China Elect Power Univ,3591,1746,48.6
367,Canada,Dalhousie Univ,3587,1823,50.8
368,United States,Tufts Univ,3586,2095,58.4
369,United States,Oregon Hlth & Sci Univ,3582,2115,59.0
370,France,Univ Lille,3576,1833,51.3
371,Canada,Univ Guelph,3574,1755,49.1
372,Iran,Sharif Univ Technol,3552,1652,46.5
373,Germany,Friedrich Schiller Univ Jena,3530,1806,51.2
374,Argentina,Univ Buenos Aires,3528,1472,41.7
375,Denmark,Aalborg Univ,3514,1863,53.0
376,United States,Louisiana State Univ,3487,1714,49.2
377,Japan,Univ Tsukuba,3483,1400,40.2
378,United Kingdom,Univ Exeter,3477,2193,63.1
379,Australia,Macquarie Univ,3472,1884,54.3
380,South Korea,Konkuk Univ,3457,1322,38.3
381,Germany,Univ Duisburg-Essen,3456,1869,54.1
382,South Africa,Univ KwaZulu-Natal,3441,1350,39.2
383,Germany,Leipzig Univ,3438,1688,49.1
384,Iran,Iran Univ Sci & Technol,3433,1663,48.4
385,China,Hefei Univ Technol,3425,1730,50.5
386,United States,Carnegie Mellon Univ,3421,2028,59.3
387,United States,Univ Houston - Houston,3419,1831,53.6
388,Spain,Univ Politècnica Catalunya - BarcelonaTech,3411,1695,49.7
389,Iran,Isfahan Univ Technol,3405,1657,48.7
390,Mexico,Natl Polytech Inst - Mexico,3400,1218,35.8
391,United States,Univ California - Riverside,3370,1998,59.3
392,Portugal,Univ Coimbra,3348,1689,50.4
393,Ireland,Trinity Coll Dublin,3347,1906,56.9
394,United States,George Washington Univ,3341,1830,54.8
395,China,Harbin Engn Univ,3339,1622,48.6
396,South Africa,Univ Cape Town,3336,1714,51.4
397,United States,Univ Hawaii - Manoa,3335,1737,52.1
398,Croatia,Univ Zagreb,3320,1297,39.1
399,Netherlands,Eindhoven Univ Technol,3320,1971,59.4
400,South Korea,Jeonbuk Natl Univ,3319,1396,42.1
401,Malaysia,Univ Tek Malaysia,3314,1687,50.9
402,United States,Temple Univ,3308,1862,56.3
403,Belgium,Univ Catholique Louvain,3304,1809,54.8
404,South Korea,Pohang Univ Sci & Technol,3302,1807,54.7
405,Taiwan,Natl Chiao Tung Univ,3298,1470,44.6
406,China,Army Med Univ,3288,1715,52.2
407,India,Banaras Hindu Univ,3283,1418,43.2
408,Spain,Univ Zaragoza,3274,1627,49.7
409,United Kingdom,Queen's Univ Belfast,3256,1849,56.8
410,China,China Univ Petrol E China,3251,1665,51.2
411,Japan,Kobe Univ,3235,1302,40.2
412,Sweden,Chalmers Univ Technol,3230,1824,56.5
413,United States,Univ Delaware,3229,1801,55.8
414,Spain,Tech Univ Madrid,3213,1527,47.5
415,Sweden,Umeå Univ,3211,1718,53.5
416,Thailand,Mahidol Univ,3209,1296,40.4
417,United Kingdom,Durham Univ,3208,1894,59.0
418,Italy,Univ Genoa,3206,1607,50.1
419,China,Second Mil Med Univ,3204,1686,52.6
420,Malaysia,Univ Sains Malaysia,3200,1310,40.9
421,United States,Yeshiva Univ,3196,1825,57.1
422,China,Yangzhou Univ,3196,1453,45.5
423,United States,Univ New Mexico,3190,1641,51.5
424,Australia,RMIT Univ,3184,1719,54.0
425,Italy,Univ Palermo,3183,1644,51.7
426,India,Indian Inst Technol Roorkee,3170,1543,48.7
427,Belgium,Univ Liège,3167,1690,53.4
428,China,Zhejiang Univ Technol,3160,1557,49.3
429,United States,Texas Tech Univ,3158,1531,48.5
430,Australia,Univ Technol - Sydney,3156,1839,58.3
431,United Kingdom,Univ York,3148,1844,58.6
432,Saudi Arabia,King Abdullah Univ Sci & Technol,3134,2029,64.7
433,China,China Univ Petrol Beijing,3134,1634,52.2
434,Germany,Kiel Univ,3129,1674,53.5
435,Chile,Univ Chile,3120,1458,46.7
436,Portugal,Univ Aveiro,3103,1640,52.8
437,South Africa,Univ Pretoria,3092,1416,45.8
438,China,Air Force Med Univ,3081,1668,54.1
439,Taiwan,Natl Tsing Hua Univ,3078,1481,48.1
440,Belgium,Univ Libre Bruxelles,3059,1659,54.2
441,Brazil,Univ Fed São Paulo,3058,1221,39.9
442,Finland,Univ Turku,3035,1591,52.4
443,Netherlands,Univ Twente,3030,1711,56.5
444,South Africa,Univ Witwatersrand,3018,1300,43.1
445,Italy,Univ Rome Tor Vergata,3017,1485,49.2
446,Germany,Heinrich Heine Univ Düsseldorf,3014,1603,53.2
447,China,Taiyuan Univ Technol,3006,1384,46.0
448,United States,Univ Notre Dame,3005,1712,57.0
449,India,Indian Inst Technol Kanpur,2998,1391,46.4
450,Poland,Univ Warsaw,2993,1247,41.7
451,United States,Univ Cent Florida,2986,1561,52.3
452,Australia,Univ Tasmania,2979,1592,53.5
453,China,China Pharmaceut Univ,2978,1631,54.8
454,Iran,Ferdowsi Univ Mashhad,2978,1282,43.0
455,Brazil,Univ Fed Santa Catarina,2976,1357,45.6
456,Turkey,Hacettepe Univ,2964,1188,40.1
457,Germany,Tech Univ Berlin,2958,1628,55.0
458,Thailand,Chulalongkorn Univ,2958,1215,41.1
459,China,Donghua Univ,2954,1540,52.1
460,Finland,Univ Tampere,2951,1446,49.0
461,Italy,Politec Torino,2934,1509,51.4
462,China,Tianjin Med Univ,2929,1428,48.8
463,China,Shaanxi Normal Univ,2923,1409,48.2
464,Italy,Univ Cattolica Sacro Cuore,2906,1533,52.7
465,Germany,Ulm Univ,2900,1530,52.8
466,China,Fuzhou Univ,2897,1611,55.6
467,China,Northwest Univ,2895,1392,48.1
468,Taiwan,Natl Yang-Ming Univ,2873,1355,47.2
469,Germany,Univ Regensburg,2861,1577,55.1
470,United States,Med Univ S Carolina,2839,1554,54.7
471,South Africa,Stellenbosch Univ,2829,1319,46.6
472,United States,Univ Louisville,2827,1353,47.9
473,Spain,Univ Santiago Compostela,2825,1392,49.3
474,United States,Dartmouth Coll,2819,1692,60.0
475,Belgium,Vrije Univ Brussel,2813,1476,52.5
476,India,Univ Delhi,2812,1224,43.5
477,Iran,Shiraz Univ,2805,1223,43.6
478,United States,W Virginia Univ,2800,1303,46.5
479,South Korea,Inha Univ,2799,1137,40.6
480,United States,Auburn Univ,2783,1309,47.0
481,Austria,Vienna Univ Technol,2782,1483,53.3
482,Canada,Simon Fraser Univ,2775,1442,52.0
483,Japan,Chiba Univ,2775,1132,40.8
484,South Korea,Yeungnam Univ,2770,1218,44.0
485,United States,Wake Forest Univ,2769,1457,52.6
486,Japan,Okayama Univ,2769,1036,37.4
487,China,Kunming Univ Sci & Technol,2746,1201,43.7
488,India,Indian Inst Technol Guwahati,2746,1294,47.1
489,United States,Kansas State Univ,2740,1341,49.0
490,Italy,Univ Catania,2738,1442,52.7
491,Russia,St Petersburg State Univ,2726,938,34.4
492,Malaysia,Univ Kebangsaan Malaysia,2726,1158,42.5
493,Tunisia,Univ Sfax,2724,1192,43.8
494,Germany,Univ Stuttgart,2718,1522,56.0
495,China,Ningbo Univ,2696,1281,47.5
496,China,S China Normal Univ,2683,1258,46.9
497,South Korea,Chungnam Natl Univ,2677,1032,38.5
498,China,Beijing Forestry Univ,2671,1238,46.3
499,United States,Drexel Univ,2649,1390,52.5
500,Italy,Univ Perugia,2644,1403,53.1
501,United States,Rice Univ,2621,1626,62.0
502,Ireland,Univ Coll Cork,2617,1514,57.9
503,United Kingdom,Univ Bath,2611,1480,56.7
504,Australia,Univ S Australia,2601,1406,54.1
505,United States,Clemson Univ,2597,1226,47.2
506,China,Yanshan Univ,2575,1175,45.6
507,Sweden,Swed Univ Agr Sci,2570,1458,56.7
508,United States,Northeastern Univ - USA,2565,1424,55.5
509,Israel,Weizmann Inst Sci,2565,1687,65.8
510,China,Anhui Med Univ,2557,1205,47.1
511,Germany,Hannover Med Sch,2555,1330,52.1
512,Italy,Univ Pavia,2554,1342,52.5
513,Spain,Univ Oviedo,2552,1224,48.0
514,Iran,Shahid Beheshti Univ Med Sci,2550,990,38.8
515,Germany,Tech Univ Darmstadt,2540,1363,53.6
516,Germany,Justus Liebig Univ Giessen,2538,1280,50.4
517,Finland,Univ Oulu,2538,1245,49.1
518,Australia,Flinders Univ,2535,1302,51.3
519,Israel,Bar-Ilan Univ,2531,1127,44.5
520,Germany,Saarland Univ,2530,1280,50.6
521,Iran,Univ Tabriz,2522,1182,46.8
522,Italy,Univ Milano-Bicocca,2516,1316,52.3
523,Brazil,Univ Fed Paraná,2509,1060,42.2
524,Poland,AGH Univ Sci & Technol,2504,950,38.0
525,Saudi Arabia,King Fahd Univ Petrol & Minerals,2498,1206,48.3
526,China,S China Agr Univ,2497,1201,48.1
527,India,Vellore Inst Technol,2476,1220,49.3
528,Italy,Univ Bari Aldo Moro,2470,1278,51.7
529,India,Anna Univ,2469,1065,43.1
