Rank,Country,University,P,P(top 50%),PP(top 50%)
1,United States,Harvard Univ,33816,22467,66.4
2,China,Shanghai Jiao Tong Univ,24302,12653,52.1
3,China,Zhejiang Univ,23805,12573,52.8
4,Canada,Univ Toronto,23094,13416,58.1
5,China,Tsinghua Univ,20003,11483,57.4
6,United States,Univ Michigan,18643,11280,60.5
7,Brazil,Univ São Paulo,18021,7902,43.8
8,China,Peking Univ,17320,9311,53.8
9,United States,Johns Hopkins Univ,17261,10590,61.4
10,South Korea,Seoul Natl Univ,16815,7971,47.4
11,China,Huazhong Univ Sci & Technol,16696,9187,55.0
12,China,Sichuan Univ,16620,8051,48.4
13,United States,Stanford Univ,16196,10900,67.3
14,China,Jilin Univ,15867,7110,44.8
15,United Kingdom,Univ Oxford,15829,10263,64.8
16,China,Fudan Univ,15499,8111,52.3
17,China,Xi'an Jiaotong Univ,15355,7937,51.7
18,China,Sun Yat-sen Univ,15151,8102,53.5
19,Japan,Univ Tokyo,14990,7227,48.2
20,China,Shandong Univ,14902,7332,49.2
21,United Kingdom,Univ Coll London,14832,9418,63.5
22,United States,Univ Washington - Seattle,14775,9099,61.6
23,China,Harbin Inst Technol,14474,7703,53.2
24,China,Cent S Univ,14238,7457,52.4
25,United Kingdom,Univ Cambridge,13977,8962,64.1
26,Denmark,Univ Copenhagen,13721,7719,56.3
27,United States,Univ California - Los Angeles,13686,8446,61.7
28,United States,Univ Penn,13453,8414,62.5
29,Canada,Univ British Columbia,13078,7533,57.6
30,Australia,Univ Melbourne,13075,7417,56.7
31,United States,Univ Minnesota - Twin Cities,12796,7265,56.8
32,Singapore,Natl Univ Singapore,12750,7570,59.4
33,Australia,Univ Sydney,12672,7157,56.5
34,United States,Cornell Univ,12550,7762,61.8
35,United States,Univ Wisconsin - Madison,12498,7294,58.4
36,United States,Ohio State Univ,12400,6939,56.0
37,United States,Columbia Univ,12382,7768,62.7
38,Australia,Univ Queensland,12370,7124,57.6
39,China,Wuhan Univ,12231,6577,53.8
40,United States,Univ California - San Diego,12175,7653,62.9
41,United States,Univ Pittsburgh,11907,7006,58.8
42,China,Nanjing Univ,11829,6504,55.0
43,China,Tianjin Univ,11820,6263,53.0
44,United States,Univ Florida,11769,6092,51.8
45,United Kingdom,Imperial Coll London,11682,7499,64.2
46,United States,Duke Univ,11643,7071,60.7
47,Japan,Kyoto Univ,11528,5279,45.8
48,United States,Yale Univ,11515,7400,64.3
49,United States,Penn State Univ,11408,6435,56.4
50,Canada,McGill Univ,11283,6387,56.6
51,South Korea,Yonsei Univ,11166,5078,45.5
52,Australia,Monash Univ,11108,6336,57.0
53,Belgium,Katholieke Univ Leuven,11014,6435,58.4
54,Australia,Univ New S Wales,10940,6353,58.1
55,Canada,Univ Alberta,10828,5678,52.4
56,United States,Northwestern Univ,10790,6811,63.1
57,United States,Univ California - Berkeley,10705,7179,67.1
58,China,Tongji Univ,10687,5578,52.2
59,China,Univ Sci & Technol China,10638,5962,56.0
60,United States,MIT,10577,7326,69.3
61,United States,Univ N Carolina - Chapel Hill,10537,6407,60.8
62,China,Univ Chinese Acad Sci,10416,5709,54.8
63,United States,Univ California - Davis,10408,5962,57.3
64,United States,Case West Reserve Univ,10396,5764,55.5
65,United Kingdom,Univ Manchester,10265,6233,60.7
66,China,Southeast Univ,10225,5132,50.2
67,Belgium,Ghent Univ,10192,5654,55.5
68,United States,Texas A&M Univ - College Stn,10074,5352,53.1
69,Singapore,Nanyang Technol Univ,10038,6173,61.5
70,United States,Univ California - San Francisco,10020,6404,63.9
71,United States,Univ Illinois - Urbana-Champaign,10013,5785,57.8
72,China,S China Univ Technol,9828,5617,57.1
73,United States,Univ Texas - Austin,9618,5807,60.4
74,United States,NYU,9487,5689,60.0
75,China,Beihang Univ,9480,4988,52.6
76,Netherlands,Utrecht Univ,9441,5877,62.2
77,China,Dalian Univ Technol,9435,4894,51.9
78,Switzerland,ETH Zurich,9395,6093,64.9
79,Israel,Tel Aviv Univ,9323,4439,47.6
80,United States,Univ Texas - Hlth Sci Ctr - Houston,9309,5641,60.6
81,Netherlands,Univ Amsterdam,9154,5630,61.5
82,Italy,Sapienza Univ Rome,9141,4681,51.2
83,China,Soochow Univ,9114,4763,52.3
84,Taiwan,Natl Taiwan Univ,8980,4250,47.3
85,United States,Purdue Univ - W Lafayette,8898,4857,54.6
86,South Korea,Sungkyunkwan Univ,8893,4146,46.6
87,United States,Washington Univ St Louis,8891,5607,63.1
88,France,Univ Paris-Saclay,8830,5014,56.8
89,Japan,Tohoku Univ,8786,3847,43.8
90,France,Sorbonne Univ,8768,5045,57.5
91,Japan,Osaka Univ,8668,3783,43.6
92,United States,Univ South California,8469,4962,58.6
93,Sweden,Karolinska Inst,8372,4862,58.1
94,United States,Rutgers - State Univ New Jersey,8313,4466,53.7
95,Switzerland,Univ Zurich,8258,4930,59.7
96,United States,Vanderbilt Univ,8252,4973,60.3
97,Sweden,Lund Univ,8228,4540,55.2
98,United Kingdom,King's Coll London,8223,5157,62.7
99,Germany,Tech Univ Munich,8206,4708,57.4
100,South Korea,Korea Univ,8083,3675,45.5
101,United Kingdom,Univ Edinburgh,8058,4834,60.0
102,Netherlands,Univ Groningen,8042,4755,59.1
103,France,Univ Paris,8029,4640,57.8
104,Mexico,Natl Auto Univ Mexico,7910,2967,37.5
105,United States,Emory Univ,7889,4659,59.1
106,Italy,Univ Padova,7769,4163,53.6
107,Germany,Heidelberg Univ,7767,4413,56.8
108,China,Northwestern Polytech Univ,7741,4072,52.6
109,United States,Univ Chicago,7724,4887,63.3
110,Germany,Ludwig-Maximilians Univ München,7668,4351,56.7
111,United States,Michigan State Univ,7629,4151,54.4
112,China,Univ Hong Kong,7597,4318,56.8
113,China,Chongqing Univ,7563,3918,51.8
114,China,Xiamen Univ,7490,3948,52.7
115,Norway,Univ Oslo,7466,4093,54.8
116,Finland,Univ Helsinki,7464,3981,53.3
