Rank,Country,University,P,P(top 50%),PP(top 50%)
677,South Korea,Inje Univ,1599,550,34.4
678,Austria,Med Univ Graz,1591,845,53.1
679,China,Guangxi Med Univ,1590,718,45.2
680,South Korea,Dankook Univ,1587,594,37.4
681,Poland,Med Univ Warsaw,1582,526,33.3
682,Spain,Univ Salamanca,1581,742,46.9
683,Japan,Niigata Univ,1578,606,38.4
684,Japan,Tokyo Univ Agr & Technol,1570,539,34.3
685,Egypt,Mansoura Univ,1567,702,44.8
686,Canada,Univ Quebec Montreal,1566,807,51.5
687,Poland,Nicholas Copernicus Univ Toruń,1558,593,38.0
688,Spain,Univ Alicante,1558,763,49.0
689,Brazil,Univ Fed Viçosa,1554,585,37.7
690,Brazil,Univ Fed Ceará,1548,691,44.6
691,China,Cent China Normal Univ,1544,796,51.5
692,Poland,Univ Wroclaw,1537,638,41.5
693,South Korea,Chungbuk Natl Univ,1535,602,39.2
694,Austria,Med Univ Innsbruck,1534,819,53.4
695,Thailand,Chiang Mai Univ,1530,538,35.2
696,United States,Univ Akron,1529,810,52.9
697,Serbia,Univ Novi Sad,1527,584,38.3
698,Spain,Carlos III Univ Madrid,1526,763,50.0
699,France,École Polytech,1525,862,56.5
700,Turkey,Erciyes Univ,1521,618,40.6
701,Italy,Brescia Univ,1519,790,52.0
702,United States,Univ Wyoming,1514,758,50.1
703,China,Henan Normal Univ,1512,623,41.2
704,China,Hebei Med Univ,1508,603,40.0
705,China,Guangzhou Med Univ,1507,658,43.6
706,Germany,Tech Univ Braunschweig,1506,755,50.1
707,Brazil,Fed Univ Santa Maria,1502,610,40.6
708,United States,Syracuse Univ,1501,817,54.5
709,United States,Univ Texas - Arlington,1499,714,47.6
710,Germany,TU Dortmund Univ,1498,759,50.7
711,Finland,Univ Tampere,1496,733,49.0
712,United States,Univ Toledo,1494,750,50.2
713,Iran,KN Toosi Univ Technol,1489,669,44.9
714,Poland,Med Univ Lodz,1484,517,34.9
715,Canada,Polytech Montréal,1482,730,49.3
716,United States,N Dakota State Univ,1476,649,44.0
717,Spain,Univ Valladolid,1472,703,47.7
718,China,Univ Macau,1469,794,54.1
719,Germany,Univ Konstanz,1469,852,58.0
720,Germany,Univ Greifswald,1469,747,50.9
721,United States,Univ Albany - SUNY,1469,763,51.9
722,South Korea,Hallym Univ,1464,546,37.3
723,Germany,Univ Potsdam,1464,808,55.2
724,Taiwan,Natl Taipei Univ Technol,1456,609,41.8
725,Poland,Poznan Univ Med Sci,1454,506,34.8
726,Japan,Shinsu Univ,1449,519,35.8
727,China,Univ Shanghai Sci & Technol,1444,594,41.1
728,Turkey,Dokuz Eylül Univ,1442,552,38.3
729,Hungary,Univ Debrecen,1442,566,39.2
730,Austria,Univ Nat Resources & Life Sci - BOKU,1442,833,57.8
731,Brazil,Univ Fed Fluminense,1441,579,40.2
732,China,Nanjing Univ Info Sci & Technol,1435,680,47.4
733,South Korea,Ulsan Natl Inst Sci & Technol,1431,838,58.5
734,South Korea,Pukyong Natl Univ,1427,535,37.5
735,China,Fujian Med Univ,1427,574,40.2
736,New Zealand,Univ Canterbury,1425,648,45.5
737,New Zealand,Victoria Univ Wellington,1423,714,50.2
738,China,Nanjing Univ Posts & Telecom,1415,650,45.9
739,Argentina,Natl Univ Cordoba,1412,550,38.9
740,Australia,Swinburne Univ Technol,1412,760,53.8
741,United States,Univ Nevada - Reno,1412,731,51.8
742,Turkey,Atatürk Univ,1409,559,39.7
743,United States,South Illinois Univ - Carbondale,1406,624,44.4
744,China,Shandong Agr Univ,1400,662,47.3
745,China,Dalian Med Univ,1397,644,46.1
746,France,Univ Poitiers,1396,689,49.4
747,United States,Univ Texas - San Antonio,1387,700,50.4
748,India,Panjab Univ,1386,670,48.4
749,Japan,Tokushima Univ,1385,508,36.7
750,Austria,Graz Univ Technol,1384,731,52.8
751,United States,Loyola Univ Chicago,1379,646,46.8
752,United Kingdom,Univ Kent,1371,727,53.0
753,China,Zhejiang Normal Univ,1370,731,53.3
754,India,Aligarh Muslim Univ,1370,625,45.6
755,Pakistan,COMSATS Inst Info Technol,1369,590,43.1
756,Thailand,Khon Kaen Univ,1369,537,39.3
757,China,Guangdong Univ Technol,1368,684,50.0
758,Austria,Univ Graz,1360,752,55.3
759,Japan,Osaka City Univ,1359,538,39.6
760,Egypt,Alexandria Univ,1358,564,41.5
761,United Kingdom,Heriot-Watt Univ,1352,720,53.3
762,Poland,Univ Silesia,1345,494,36.7
763,India,Univ Hyderabad,1344,597,44.4
764,United States,Kent State Univ,1343,699,52.1
765,United States,San Diego State Univ,1341,711,53.0
766,United Kingdom,Univ Plymouth,1341,732,54.6
767,United States,Augusta Univ,1339,736,55.0
768,Lithuania,Vilnius Univ,1336,515,38.5
769,Hungary,Budapest Univ Technol & Econ,1333,590,44.3
770,China,Shenyang Pharmaceut Univ,1333,653,49.0
771,China,Hong Kong Baptist Univ,1329,765,57.5
772,Japan,Gunma Univ,1328,458,34.5
773,Colombia,Univ Natl Colombia,1327,474,35.8
774,Spain,Univ Extremadura,1323,589,44.6
775,South Korea,Gachon Univ,1313,522,39.8
776,Iran,Univ Isfahan,1310,528,40.3
777,Hungary,Semmelweis Univ,1310,543,41.5
778,Turkey,Yildiz Tech Univ,1307,477,36.5
779,Poland,Lodz Univ Technol,1306,501,38.4
780,China,Northwest Normal Univ,1303,571,43.8
781,Japan,Gifu Univ,1299,438,33.8
782,China,Northeast Forestry Univ,1298,558,43.0
783,United States,Boston Coll,1298,761,58.6
784,United Kingdom,Brunel Univ London,1295,677,52.3
785,Lebanon,American Univ Beirut,1295,590,45.6
786,Italy,Univ Trieste,1295,637,49.2
787,Spain,Univ Navarra,1294,709,54.8
788,Greece,Univ Ioannina,1290,639,49.6
789,Germany,Univ Hohenheim,1289,643,49.8
790,South Korea,Gwangju Inst Sci & Technol,1287,597,46.4
791,South Korea,Sogang Univ,1286,486,37.8
792,China,Hebei Univ,1284,495,38.6
793,Taiwan,Natl Taiwan Normal Univ,1275,517,40.6
794,China,Yunnan Univ,1274,561,44.1
795,France,Univ Versailles Saint-Quentin-en-Yvelines,1271,680,53.6
796,Spain,Pompeu Fabra Univ,1270,741,58.4
797,Japan,Osaka Prefect Univ,1267,447,35.3
798,United States,E Carolina Univ,1266,552,43.6
799,Czech Republic,Czech Tech Univ - Prague,1264,477,37.7
800,Iran,Univ Guilan,1256,539,43.0
801,United States,Univ Idaho,1252,618,49.3
802,China,Tianjin Polytech Univ,1248,499,40.0
803,Poland,Med Univ Silesia,1248,371,29.8
804,Brazil,Fed Univ Rio Grande do Norte,1247,501,40.2
805,France,Univ Tours,1247,661,53.0
806,Ireland,Univ Limerick,1246,652,52.3
807,China,Renmin Univ China,1244,600,48.3
808,Turkey,Karadeniz Tech Univ,1242,509,41.0
809,Italy,Gabriele D'Annunzio Univ,1234,599,48.5
810,United States,Univ Missouri - Kansas City,1230,597,48.6
811,Tunisia,Univ Tunis El Manar,1226,422,34.4
812,South Korea,Sejong Univ,1224,502,41.0
813,Poland,Silesian Univ Technol,1222,464,38.0
814,China,Guangxi Univ,1221,514,42.1
815,China,Zhejiang Sci-Tech Univ,1217,573,47.1
816,China,Changzhou Univ,1216,529,43.5
817,Germany,Carl von Ossietzky Univ Oldenburg,1215,613,50.5
818,United States,Baylor Univ,1213,584,48.2
819,United Kingdom,Cranfield Univ,1212,609,50.2
820,United States,Missouri Univ Sci & Technol,1211,652,53.8
821,Brazil,State Univ Maringá,1211,465,38.4
822,Japan,Kagoshima Univ,1211,436,36.0
823,Greece,Univ Crete,1210,643,53.2
824,Hungary,Eötvös Loránd Univ,1209,534,44.2
825,United States,Colorado Sch Mines,1208,708,58.6
826,Chile,Univ Concepción,1204,488,40.5
827,Spain,Univ La Laguna,1203,575,47.8
828,China,Qingdao Univ Sci & Technol,1199,568,47.3
829,South Korea,Chosun Univ,1197,411,34.4
830,Netherlands,Tilburg Univ,1195,668,55.9
831,Japan,Yamaguchi Univ,1193,437,36.6
832,Japan,Kindai Univ,1193,427,35.8
833,United States,Univ Nevada - Las Vegas,1190,552,46.4
834,Poland,Gdańsk Univ Technol,1187,502,42.3
835,United States,Lehigh Univ,1186,596,50.3
836,Italy,Univ l'Aquila,1183,617,52.1
837,Poland,Univ Lodz,1181,448,37.9
838,United States,Univ New Hampshire,1181,663,56.2
839,China,Southwest Petrol Univ,1180,496,42.1
840,Turkey,Selçuk Univ,1177,475,40.4
841,Italy,Univ Udine,1175,597,50.8
842,Germany,Tech Univ Kaiserslautern,1175,636,54.1
843,United States,Montana State Univ,1172,619,52.8
844,Japan,Univ Toyama,1171,442,37.7
845,Spain,Univ Alcalá,1170,584,49.9
846,Japan,Kitasato Univ,1170,427,36.5
847,Spain,Univ Cantabria,1169,603,51.6
848,United States,Univ N Carolina - Charlotte,1168,559,47.8
849,China,Capital Normal Univ,1167,537,46.0
850,Brazil,Rio de Janeiro State Univ,1167,426,36.5
851,Poland,Univ Gdańsk,1166,409,35.1
852,Japan,Yokohama City Univ,1163,510,43.9
853,Finland,Tampere Univ Technol,1161,563,48.5
854,China,Northeast Agr Univ,1160,467,40.3
855,South Africa,North-West Univ,1160,456,39.3
856,Thailand,Prince Songkla Univ,1158,456,39.4
857,United Kingdom,City Univ London,1155,624,54.0
858,Turkey,Marmara Univ,1152,444,38.6
859,Japan,Juntendo Univ,1143,476,41.7
860,India,Indian Inst Technol (Indian Sch Mines),1140,570,50.0
861,Poland,Wroclaw Med Univ,1138,395,34.7
862,Iran,Univ Kashan,1138,594,52.2
863,Iran,Isfahan Univ Med Sci,1137,375,33.0
864,Italy,Roma Tre Univ,1136,583,51.3
865,Poland,Univ Warmia & Mazury Olsztyn,1135,339,29.9
866,India,Annamalai Univ,1132,543,48.0
867,Romania,Babeș-Bolyai Univ,1131,488,43.1
868,Austria,Johannes Kepler Univ Linz,1130,591,52.3
869,China,Hunan Normal Univ,1129,514,45.5
870,Iran,Shiraz Univ Med Sci,1127,367,32.5
871,India,Postgrad Inst Med Educ & Res,1126,405,36.0
872,Iceland,Univ Iceland,1122,568,50.6
873,United States,Michigan Technol Univ,1121,556,49.6
874,United States,Ohio Univ,1120,561,50.1
875,Czech Republic,Inst Chem & Technol - Prague,1115,437,39.2
876,Australia,Murdoch Univ,1114,567,50.9
877,Greece,Univ Thessaly,1112,507,45.6
878,Canada,Univ Windsor,1111,530,47.8
879,Spain,Univ Girona,1109,618,55.8
880,Spain,Univ Jaume I,1105,577,52.3
881,Spain,Univ Balearic Islands,1104,595,53.9
882,South Africa,Univ Johannesburg,1103,468,42.4
883,Spain,Univ A Coruña,1101,508,46.1
884,Taiwan,National Chung Cheng Univ,1099,462,42.0
885,Egypt,Zagazig Univ,1099,488,44.4
886,France,Univ Rouen,1098,553,50.3
887,United States,Old Dominion Univ,1098,526,48.0
888,India,Natl Inst Technol Rourkela,1097,602,54.9
889,Poland,Maria Curie-Sklodowska Univ,1096,400,36.5
890,Mexico,Univ Aut Met,1089,406,37.3
891,Taiwan,Feng Chia Univ,1087,434,39.9
892,Japan,Yamagata Univ,1086,374,34.4
893,Turkey,Bilkent Univ,1085,552,50.9
894,United States,Uniformed Services Univ Hlth Sci,1082,548,50.6
895,Uruguay,Univ Republic,1072,449,41.8
896,Japan,Ehime Univ,1070,356,33.3
897,Iran,Tabriz Univ Med Sci,1069,460,43.0
898,China,Shanghai Univ Tradit Chinese Med,1068,519,48.6
899,Norway,Norwegian Univ Life Sci,1068,547,51.3
900,Turkey,Akdeniz Univ,1067,381,35.7
901,United States,Univ Rhode Island,1067,572,53.6
902,Italy,Univ Salento,1067,509,47.7
903,Italy,Univ Sassari,1067,490,45.9
904,Germany,Univ Lübeck,1066,531,49.8
905,Taiwan,Natl Taiwan Ocean Univ,1064,371,34.8
906,Brazil,Univ Fed Bahia,1062,444,41.8
907,United Kingdom,Univ Hull,1062,566,53.4
908,Sweden,Luleå Univ Technol,1059,510,48.1
909,China,Hangzhou Normal Univ,1059,528,49.9
910,China,Shanghai Normal Univ,1057,502,47.5
911,Poland,Med Univ Gdańsk,1056,379,35.9
912,China,Xi'An Univ Technol,1056,452,42.8
913,China,Henan Univ Sci & Technol,1055,354,33.5
914,France,École Normale Sup - Paris,1054,653,62.0
915,India,Inst Chem Technol,1050,544,51.8
916,Turkey,Samsun Ondokuz Mayis Univ,1050,339,32.3
917,United States,Binghamton Univ - SUNY,1050,514,48.9
918,China,Jiangxi Normal Univ,1047,456,43.5
919,India,Thapar Univ,1046,439,42.0
920,United States,Univ Alaska - Fairbanks,1042,543,52.1
921,France,Univ Franche-Comté,1038,502,48.4
922,Canada,Univ New Brunswick,1037,470,45.3
923,Brazil,Univ Fed Goiás,1037,461,44.5
924,Turkey,Süleyman Demirel Univ,1034,379,36.7
925,Iran,Mashhad Univ Med Sci,1033,427,41.3
926,Turkey,Sakarya Univ,1031,355,34.4
927,Japan,Mie Univ,1028,373,36.3
928,United Kingdom,Univ Ulster,1027,527,51.3
929,Japan,Tottori Univ,1022,324,31.7
930,Iran,Bu-Ali Sina Univ,1020,484,47.4
931,United Kingdom,Open Univ,1012,521,51.4
932,United States,City Coll New York,1011,526,52.0
933,United Kingdom,Bangor Univ,1008,586,58.2
934,Poland,Med Univ Lublin,1007,345,34.3
935,China,Shantou Univ,1005,485,48.3
936,Australia,Univ New England,1003,471,47.0
937,United States,Rockefeller Univ,1002,746,74.4
938,Iran,Shahid Bahonar Univ Kerman,1001,396,39.6
