Rank,Country,University,P,P(top 50%),PP(top 50%)
338,Sweden,Linköping Univ,3495,1883,53.9
339,South Korea,Chonnam Natl Univ,3487,1442,41.3
340,France,Paris Descartes Univ,3467,1976,57.0
341,Japan,Keio Univ,3458,1513,43.8
342,Argentina,Univ Buenos Aires,3445,1446,42.0
343,China,Hong Kong Univ Sci & Technol,3437,2086,60.7
344,Belgium,Univ Catholique Louvain,3431,1918,55.9
345,United Kingdom,Queen Mary Univ London,3422,2118,61.9
346,United States,Univ Hawaii - Manoa,3417,1783,52.2
347,Canada,Univ Guelph,3408,1673,49.1
348,United States,Louisiana State Univ,3406,1628,47.8
349,Japan,Hiroshima Univ,3403,1378,40.5
350,Germany,Leipzig Univ,3385,1722,50.9
351,Australia,Queensland Univ Technol,3369,1763,52.3
352,Japan,Univ Tsukuba,3367,1369,40.7
353,Malaysia,Univ Tek Malaysia,3365,1641,48.8
354,China,China Univ Min & Technol,3364,1457,43.3
355,South Korea,Pohang Univ Sci & Technol,3344,1825,54.6
356,United States,Carnegie Mellon Univ,3340,2007,60.1
357,Netherlands,Eindhoven Univ Technol,3336,1942,58.2
358,United States,Yeshiva Univ,3332,1936,58.1
359,China,Ocean Univ China,3330,1471,44.2
360,Australia,Deakin Univ,3323,1820,54.8
361,Portugal,Univ Coimbra,3305,1622,49.1
362,Spain,Univ Zaragoza,3302,1677,50.8
363,Australia,Univ Newcastle,3302,1722,52.2
364,Belgium,Univ Antwerp,3282,1851,56.4
365,South Korea,Konkuk Univ,3268,1258,38.5
366,Ireland,Trinity Coll Dublin,3245,1814,55.9
367,China,Huazhong Agr Univ,3234,1676,51.8
368,Germany,Univ Duisburg-Essen,3229,1728,53.5
369,China,Second Mil Med Univ,3224,1657,51.4
370,China,Harbin Med Univ,3207,1520,47.4
371,Australia,Univ Wollongong,3204,1793,56.0
372,Iran,Sharif Univ Technol,3194,1498,46.9
373,Egypt,Cairo Univ,3192,1347,42.2
374,China,Fourth Mil Med Univ,3187,1710,53.7
375,United States,Univ New Mexico,3177,1686,53.1
376,United States,Univ Delaware,3156,1833,58.1
377,Portugal,Univ Aveiro,3137,1631,52.0
378,South Korea,Chung-Ang Univ,3133,1265,40.4
379,China,Army Med Univ,3130,1518,48.5
380,United States,Univ California - Riverside,3124,1851,59.3
381,China,South Med Univ,3107,1514,48.7
382,Italy,Univ Genoa,3106,1569,50.5
383,Belgium,Univ Liège,3105,1640,52.8
384,China,E China Normal Univ,3101,1605,51.7
385,Germany,Kiel Univ,3093,1683,54.4
386,United Kingdom,Durham Univ,3092,1835,59.3
387,Sweden,Umeå Univ,3087,1657,53.7
388,South Korea,Chonbuk Natl Univ,3084,1273,41.3
389,United States,Temple Univ,3080,1688,54.8
390,United Kingdom,Queen's Univ Belfast,3072,1716,55.9
391,Japan,Kobe Univ,3071,1242,40.4
392,Sweden,Chalmers Univ Technol,3068,1736,56.6
393,Netherlands,Univ Twente,3059,1726,56.4
394,Brazil,Univ Fed São Paulo,3047,1152,37.8
395,South Africa,Univ Cape Town,3035,1578,52.0
396,United States,Univ Notre Dame,3035,1752,57.7
397,Belgium,Univ Libre Bruxelles,3032,1672,55.1
398,Spain,Tech Univ Madrid,3022,1440,47.6
399,United Kingdom,Univ Exeter,3014,1904,63.2
400,India,Banaras Hindu Univ,3012,1290,42.8
401,China,Beijing Jiaotong Univ,3012,1309,43.5
402,India,Indian Inst Technol Madras,3012,1306,43.4
403,India,Indian Inst Technol Delhi,3001,1464,48.8
404,United States,Univ Houston - Houston,2996,1588,53.0
405,Taiwan,Natl Yang-Ming Univ,2993,1366,45.6
406,Iran,Tarbiat Modares Univ,2990,1360,45.5
407,Germany,Heinrich Heine Univ Düsseldorf,2979,1646,55.2
408,Italy,Univ Palermo,2978,1511,50.7
409,United States,George Washington Univ,2976,1574,52.9
410,India,Indian Inst Technol Bombay,2976,1406,47.2
411,Iran,Isfahan Univ Technol,2971,1423,47.9
412,China,Nanchang Univ,2963,1383,46.7
413,Mexico,Natl Polytech Inst,2962,1055,35.6
414,Italy,Univ Cattolica Sacro Cuore,2951,1526,51.7
415,United States,Wake Forest Univ,2946,1585,53.8
416,Norway,Univ Bergen,2934,1541,52.5
417,Croatia,Univ Zagreb,2914,1107,38.0
418,South Africa,Univ KwaZulu-Natal,2904,1215,41.8
419,China,Chongqing Med Univ,2887,1358,47.1
420,United States,Texas Tech Univ,2878,1340,46.6
421,Australia,Macquarie Univ,2875,1568,54.5
422,China,Beijing Univ Posts & Telecom,2872,1296,45.1
423,Iran,Iran Univ Sci & Technol,2868,1335,46.5
424,Italy,Univ Rome Tor Vergata,2867,1382,48.2
425,China,Nanjing Tech Univ,2844,1387,48.8
426,Germany,Univ Regensburg,2839,1556,54.8
427,United Kingdom,Univ York,2833,1604,56.6
428,Finland,Univ Turku,2815,1443,51.3
429,Spain,Univ Santiago de Compostela,2798,1390,49.7
430,Denmark,Aalborg Univ,2794,1464,52.4
431,Germany,Tech Univ Berlin,2792,1546,55.4
432,Chile,Univ Chile,2789,1276,45.7
433,Malaysia,Univ Kebangsaan Malaysia,2774,1104,39.8
434,United States,Med Univ S Carolina,2763,1540,55.7
435,South Korea,Inha Univ,2760,1070,38.8
436,China,Jinan Univ,2759,1269,46.0
437,France,Univ Rennes 1,2756,1426,51.8
438,Germany,Ulm Univ,2753,1479,53.7
439,China,Beijing Univ Technol,2741,1190,43.4
440,China,Wuhan Univ Technol,2740,1321,48.2
441,Belgium,Vrije Univ Brussel,2703,1435,53.1
442,Canada,Simon Fraser Univ,2686,1433,53.3
443,Poland,Univ Warsaw,2678,1127,42.1
444,United States,Dartmouth Coll,2668,1646,61.7
445,Italy,Politec Torino,2662,1366,51.3
446,United States,Univ Louisville,2658,1292,48.6
447,Turkey,Hacettepe Univ,2640,1049,39.7
448,Japan,Okayama Univ,2613,992,38.0
449,United States,Univ Cent Florida,2607,1340,51.4
450,India,Univ Delhi,2605,1169,44.9
451,Germany,Hannover Med Sch,2604,1385,53.2
452,Austria,Vienna Univ Technol,2600,1424,54.8
453,United States,Drexel Univ,2593,1400,54.0
454,China,Wenzhou Med Univ,2585,1135,43.9
455,Sweden,Swed Univ Agr Sci,2584,1409,54.5
456,Thailand,Mahidol Univ,2582,1061,41.1
457,United States,Rice Univ,2582,1652,64.0
458,Japan,Chiba Univ,2572,1068,41.5
459,Italy,Univ Catania,2570,1306,50.8
460,United States,Auburn Univ,2566,1203,46.9
461,Thailand,Chulalongkorn Univ,2565,1061,41.4
462,Saudi Arabia,King Abdullah Univ Sci & Technol,2549,1591,62.4
463,United Kingdom,Univ Aberdeen,2533,1466,57.9
464,Israel,Weizmann Inst Sci,2526,1702,67.4
465,South Africa,Univ Witwatersrand,2526,1072,42.4
466,China,Hohai Univ,2521,1020,40.5
467,Ireland,Univ Coll Cork,2520,1394,55.3
468,South Africa,Univ Pretoria,2520,1124,44.6
469,Germany,Saarland Univ,2502,1251,50.0
470,United States,Kansas State Univ,2498,1250,50.0
471,Italy,Univ Bari Aldo Moro,2489,1277,51.3
472,United States,W Virginia Univ,2483,1177,47.4
473,Australia,Univ S Australia,2483,1354,54.5
474,Germany,Univ Stuttgart,2471,1386,56.1
475,Australia,Univ Tasmania,2462,1326,53.9
476,South Africa,Stellenbosch Univ,2450,1187,48.4
477,India,Indian Inst Technol Roorkee,2442,1203,49.3
478,Australia,Univ Technol - Sydney,2441,1353,55.4
479,Spain,Univ Oviedo,2438,1156,47.4
480,Iran,Ferdowsi Univ Mashhad,2432,1014,41.7
481,Italy,Univ Perugia,2431,1264,52.0
482,Australia,RMIT Univ,2427,1274,52.5
483,Israel,Bar-Ilan Univ,2421,1068,44.1
484,South Korea,Yeungnam Univ,2420,1000,41.3
485,United Kingdom,Univ Leicester,2418,1345,55.6
486,Brazil,Univ Fed Santa Catarina,2416,1093,45.2
487,United States,Clemson Univ,2410,1135,47.1
488,China,Southwest Jiaotong Univ,2405,1206,50.1
489,Germany,Philipps-Univ Marburg,2403,1268,52.8
490,China,Zhejiang Univ Technol,2381,1065,44.7
491,China,China Pharmaceut Univ,2379,1238,52.0
492,China,Tianjin Med Univ,2372,1146,48.3
493,Finland,Univ Oulu,2371,1163,49.0
494,South Korea,Chungnam Natl Univ,2356,926,39.3
495,Germany,Justus Liebig Univ Giessen,2354,1243,52.8
496,Germany,Tech Univ Darmstadt,2354,1254,53.3
497,China,Donghua Univ,2353,1174,49.9
498,France,Univ Nantes,2348,1217,51.8
499,United Kingdom,Univ Bath,2346,1308,55.8
500,United States,Thomas Jefferson Univ,2342,1353,57.8
501,China,Harbin Engn Univ,2327,1116,47.9
502,United Kingdom,Univ Strathclyde,2324,1252,53.9
503,China,Fuzhou Univ,2321,1273,54.8
504,Taiwan,Natl Taiwan Univ Sci & Technol,2319,1011,43.6
505,Taiwan,Natl Cent Univ,2318,950,41.0
506,United States,Northeastern Univ - USA,2308,1312,56.8
507,Iran,Shiraz Univ,2304,938,40.7
508,China,N China Elect Power Univ,2303,1038,45.1
509,Portugal,Univ Minho,2290,1148,50.2
510,Italy,Univ Milano-Bicocca,2277,1192,52.3
511,Italy,Univ Parma,2272,1155,50.9
512,Canada,York Univ,2261,1122,49.7
513,United States,Med Coll Wisconsin,2260,1190,52.7
514,Italy,Univ Pavia,2255,1131,50.1
515,United Kingdom,Loughborough Univ,2253,1202,53.4
516,Taiwan,Natl Chung Hsing Univ,2245,964,42.9
517,South Korea,Ewha Womans Univ,2236,1013,45.3
518,Australia,Flinders Univ,2233,1149,51.4
519,Portugal,Univ Nova Lisboa,2230,1077,48.3
520,Finland,Univ East Finland,2227,1141,51.2
521,Taiwan,China Med Univ - Taiwan,2220,1025,46.2
522,Canada,Univ Victoria,2208,1221,55.3
523,Germany,Univ Rostock,2207,1154,52.3
524,India,Indian Inst Technol Kanpur,2201,1035,47.0
525,China,Qingdao Univ,2196,975,44.4
526,Turkey,Ege Univ,2180,769,35.3
527,Greece,Natl Tech Univ Athens,2174,1056,48.6
528,China,Hefei Univ Technol,2169,1083,49.9
529,China,Northwest Univ,2168,1006,46.4
530,United States,Georgetown Univ,2166,1185,54.7
531,China,Yangzhou Univ,2166,991,45.7
532,United States,Tulane Univ,2163,1153,53.3
533,Poland,AGH Univ Sci & Technol,2156,853,39.5
534,United States,Oklahoma State Univ - Stillwater,2149,1003,46.7
535,Tunisia,Univ Sfax,2144,938,43.8
536,United Kingdom,Univ St Andrews,2144,1239,57.8
537,China,China Univ Petrol Beijing,2143,988,46.1
538,Italy,Univ Messina,2140,1004,46.9
539,France,Univ Paris-Est Créteil,2135,1197,56.1
540,United Kingdom,Lancaster Univ,2131,1208,56.7
541,India,Jadavpur Univ,2127,966,45.4
542,Spain,Univ Murcia,2127,1043,49.0
543,China,Taiyuan Univ Technol,2122,929,43.8
544,United States,Brigham Young Univ,2121,1015,47.9
545,India,All India Inst Med Sci,2107,747,35.4
546,China,Shaanxi Normal Univ,2107,980,46.5
547,Canada,Concordia Univ,2101,1017,48.4
548,India,Anna Univ,2099,895,42.7
549,Poland,Adam Mickiewicz Univ Poznan,2099,835,39.8
550,Czech Republic,Masaryk Univ,2097,929,44.3
551,Australia,James Cook Univ,2090,1152,55.1
552,United States,Univ Massachusetts Med Sch,2085,1346,64.5
553,United States,Florida Intl Univ,2084,1034,49.6
554,Japan,Waseda Univ,2078,764,36.8
555,United Kingdom,Univ Reading,2076,1188,57.2
556,China,S China Normal Univ,2071,945,45.6
557,South Korea,Ajou Univ,2067,902,43.6
558,China,Northeast Normal Univ,2057,1055,51.3
559,Russia,St Petersburg State Univ,2054,755,36.8
560,Brazil,Univ Fed Paraná,2051,835,40.7
561,United States,Univ Mississippi,2042,1016,49.8
562,Turkey,Gazi Univ,2042,772,37.8
563,Chile,Pontificia Univ Católica Chile,2040,971,47.6
564,China,China Univ Petrol E China,2040,979,48.0
565,Turkey,Middle E Tech Univ,2038,841,41.2
566,Japan,Kanazawa Univ,2038,869,42.6
567,China,Anhui Med Univ,2031,968,47.7
568,China,Beijing Forestry Univ,2028,888,43.8
569,United Kingdom,London Sch Hyg & Trop Med,2022,1314,65.0
570,United Kingdom,Univ Sussex,2020,1143,56.6
571,United States,Univ Texas - Dallas,2020,1161,57.5
572,Turkey,Istanbul Tech Univ,2017,857,42.5
573,United States,Georgia State Univ,2016,1055,52.3
574,Saudi Arabia,King Fahd Univ Petrol & Minerals,2005,891,44.4
575,Iran,Univ Tabriz,2001,899,44.9
576,United States,Univ Vermont,1993,1102,55.3
