University,Country,Total Score,Setting & Infrastructure,Energy & Climate Change,Waste,Water,Transportation,Education & Research,Rank
University of California Davis,United States,8398,1257,1340,1800,932,1687,1382,1
University of Nottingham,United Kingdom,8079,1200,1448,1800,992,1190,1449,2
Wageningen University & Research,Netherland,7658,1118,1221,1800,742,1068,1709,3
University of Connecticut,United States,7602,966,1187,1650,1000,1307,1492,4
University of Oxford,United Kingdom,7591,898,1259,1701,948,1450,1335,5
Universitat fur Bodenkultur Wien,Austria,7386,1083,1033,1800,726,1103,1641,6
Keele University,United Kingdom,7254,1368,1342,1575,650,966,1353,7
University of California Berkeley,United States,7156,815,1159,1650,1000,1318,1214,8
Nottingham Trent University,United Kingdom,7126,1080,1304,1800,625,1013,1304,9
Newcastle University,United Kingdom,7081,783,1204,1650,725,1356,1363,10
University of North Carolina Chapel Hill,United States,7051,994,1046,1725,825,1357,1104,11
University College Cork,Ireland,7036,980,1243,1701,780,1138,1194,12
Georgia Institute of Technology,United States,7026,670,1207,1800,740,1322,1287,13
Universitat Autonoma de Barcelona,Spain,6986,900,1251,1551,921,1141,1222,14
University of Groningen,Netherland,6950,755,1243,1500,775,1310,1367,15
Bangor University,United Kingdom,6925,1174,1461,1701,600,675,1314,16
University of Bradford,United Kingdom,6906,993,1340,1800,875,1129,769,17
Universite de Sherbrooke,Canada,6906,1090,1224,1800,525,1162,1105,18
Delft University of Technology TU Delft,Netherland,6892,766,862,1575,650,1254,1785,19
Freie Universitaet Berlin,Germany,6886,799,1335,1800,775,970,1207,20
Hochschule Trier – Umwelt-Campus Birkenfeld,Germany,6861,766,1790,1701,761,1064,779,21
University of Limerick,Ireland,6835,967,1322,1701,925,1084,836,22
Hokkaido University,Japan,6777,1066,1006,1500,900,1301,1004,23
University of New South Wales,Australia,6742,792,1050,1551,800,1011,1538,24
University of Texas Austin,United States,6708,841,1048,1575,875,1412,957,25
Universidad de Alcala,Spain,6685,776,1343,1599,700,1119,1148,26
Dublin City University,Ireland,6668,835,986,1800,648,1145,1254,27
Universitat de Valencia,Spain,6594,751,1031,1476,775,965,1596,28
Washington University Saint Louis,United States,6579,814,1122,1476,925,1126,1116,29
University of Ottawa,Canada,6572,783,1059,1575,925,1121,1109,30
University of Indonesia,Indonesia,6571,1006,973,1452,725,1034,1381,31
Universitat Bremen,Germany,6563,712,986,1650,690,1251,1274,32
Kyoto University,Japan,6544,954,929,1650,650,1298,1063,33
Universiti Putra Malaysia,Malaysia,6543,1319,1090,1551,363,886,1334,34
University of Northern British Columbia,Canada,6542,1170,1044,1650,675,892,1111,35
North Carolina Agricultural & Technical State University,United States,6538,1303,835,1275,548,1031,1546,36
National Pingtung University of Science & Technology,Taiwan,6435,1146,720,825,775,1169,1800,37
Universidade Federal de Lavras UFLA,Brazil,6422,1098,1139,1125,745,1040,1275,38
University of Leicester,United Kingdom,6419,914,1238,1425,875,983,984,39
Western Michigan University,United States,6387,1163,1256,1326,775,1002,865,40
Universidad Nacional Autonoma de Mexico,Mexico,6387,1072,1194,1350,583,1064,1124,41
University of Tasmania,Australia,6379,926,1061,1224,797,969,1402,42
