University,Country,Total Score,Setting & Infrastructure,Energy & Climate Change,Waste,Water,Transportation,Education & Research,Rank
Wageningen University & Research,Netherland,7552,1128,1606,1800,976,1012,1030,1
University of Nottingham,United Kingdom,7464,1088,1469,1800,925,1162,1020,2
University of California Davis,United States,7365,1050,1502,1800,972,1362,679,3
University of Bradford,United Kingdom,7290,839,1511,1800,925,1262,953,4
Nottingham Trent University,United Kingdom,7210,997,1587,1800,850,962,1014,5
University of Oxford,United Kingdom,7199,1006,1273,1725,1000,1412,783,6
University of Connecticut,United States,7148,1084,1386,1701,895,1212,870,7
Bangor University,United Kingdom,6881,1044,1437,1800,650,1062,888,8
University College Cork,Ireland,6861,777,1410,1701,905,1112,956,9
Hochschule Trier - Umwelt-Campus Birkenfeld,Germany,6806,752,1733,1527,761,1012,1021,10
University of Groningen,Netherland,6773,774,1181,1725,925,1262,906,11
Universitat fur Bodenkultur Wien,Austria,6745,942,1186,1800,730,1062,1025,12
University of North Carolina Chapel Hill,United States,6723,1013,1161,1725,875,1162,787,13
North Carolina Agricultural & Technical State University,United States,6711,1089,1039,1500,848,1212,1023,14
Dublin City University,Ireland,6658,768,1280,1800,873,1012,925,15
Universidad de Alcala,Spain,6648,915,1579,1524,625,1112,893,16
Keele University,United Kingdom,6648,923,1521,1725,648,963,868,17
Georgia Institute of Technology,United States,6623,701,1198,1800,750,1262,912,18
Newcastle University Newcastle upon Tyne,United Kingdom,6621,719,1197,1725,700,1312,968,19
University of Sussex,United Kingdom,6593,939,1319,1626,873,1062,774,20
Shandong Normal University - Lishan College,China,6566,920,1737,1377,789,1012,731,21
Delft University of Technology TU Delft,Netherland,6540,752,1113,1725,760,1212,978,22
University of Indonesia,Indonesia,6519,957,1233,1602,725,1162,840,23
University of Limerick,Ireland,6475,874,1441,1602,700,962,896,24
University of Melbourne,Australia,6458,735,1030,1551,800,1312,1030,25
Freie Universitat Berlin,Germany,6440,800,1342,1800,775,913,810,26
Universiti Putra Malaysia,Malaysia,6420,1092,1157,1602,723,962,884,27
Universidade de Sao Paulo USP,Brazil,6418,1033,1280,1476,700,1112,817,28
Universita di Bologna,Italy,6411,791,1423,1650,550,1012,985,29
University of Northern British Columbia,Canada,6391,1066,1096,1626,675,963,965,30
Western Michigan University,United States,6386,1055,1437,1476,775,1013,630,31
Hokkaido University,Japan,6384,895,1137,1551,900,1113,788,32
Carleton University,Canada,6318,648,1113,1725,775,1212,845,33
University of Malaya,Malaysia,6280,936,1185,1428,945,1112,674,34
Universidade Federal de Lavras - UFLA,Brazil,6279,867,1134,1452,883,913,1030,35
University of Texas Austin,United States,6277,714,1081,1575,875,1312,720,36
Universiti Malaysia Sabah,Malaysia,6274,1087,1266,1251,750,1062,858,37
Aalto University,Finlandia,6263,807,1280,1650,675,1113,738,38
York University,Canada,6259,837,1163,1602,925,1212,520,39
King Abdulaziz University,Saudi Arabia,6251,898,997,1551,909,961,935,40
Washington University Saint Louis,United States,6245,658,1145,1626,925,1163,728,41
Universite de Sherbrooke,Canada,6230,971,1273,1800,500,1062,624,42
University of Leicester,United Kingdom,6209,830,1399,1500,875,962,643,43
RUDN University,Russia,6202,943,1137,1428,725,1113,856,44
University of Ottawa,Canada,6191,640,1025,1551,1000,1312,663,45
University of California Merced,United States,6172,951,1254,1650,675,1063,579,46
University of Zanjan,Iran,6171,1028,997,1551,755,963,877,47
Universidade do Minho,Portugal,6158,735,1383,1401,660,963,1016,48
Leiden University,Netherland,6121,487,1120,1725,775,1262,752,49
Universitat Autonoma de Barcelona,Spain,6109,767,1255,1428,721,1162,776,50
UNSW Sydney,Australia,6087,689,985,1626,950,1013,824,51
Bogor Agricultural University,Indonesia,6076,1008,1071,1452,522,1012,1011,52
Kyoto University,Japan,6075,848,972,1725,650,1113,767,53
Tampere University of Technology,Finlandia,6073,687,1111,1800,850,1063,562,54
Universita degli Studi di Torino,Italy,6064,687,1343,1476,550,1113,895,55
Universitat Bayreuth,Germany,6063,758,1034,1800,650,963,858,56
Institut Teknologi Sepuluh Nopember,Indonesia,6059,799,1326,999,925,1162,848,57
Czech University of Life Sciences Prague (University of Agriculture),Czech,6043,729,1166,1626,695,1162,665,58
Dublin Institute of Technology,Ireland,6030,410,1515,1575,575,1062,893,59
National Pingtung University of Science & Technology,Taiwan,6027,933,976,1101,825,1162,1030,60
McMaster University,Canada,6026,733,975,1725,850,1212,531,61
National Chi Nan University,Taiwan,6022,977,1049,1452,515,1063,966,62
University of Dundee,United Kingdom,6014,711,1213,1725,490,1112,763,63
Chaoyang University of Technology,Taiwan,6007,757,1349,1527,557,863,954,64
Da Yeh University,Taiwan,5975,763,969,1725,775,863,880,65
Universiti Teknologi Malaysia,Malaysia,5952,1120,1180,1428,625,813,786,66
Universidad Autonoma de Occidente,Colombia,5945,677,1191,1551,750,811,965,67
Modul University,Austria,5944,515,1404,1626,425,1113,861,68
Universidad Nacional de Colombia,Colombia,5935,998,1171,1452,592,1012,710,69
Stavropol State Agrarian University,Russia,5934,645,1117,1476,574,1262,860,70
Universitat Bremen,Germany,5931,674,981,1551,690,1163,872,71
Universidad del Rosario,Colombia,5928,612,1350,1326,834,1212,594,72
Trent University,Canada,5925,932,1001,1725,300,963,1004,73
