University,Country,Total Score,Setting & Infrastructure,Energy & Climate Change,Waste,Water,Transportation,Education & Research,Rank
University of Eastern Finland,Finlandia,5894,658,895,1800,700,963,878,74
Inseec Business School,France,5867,422,1373,1725,625,761,961,75
University at Albany,United States,5862,798,1184,1353,700,1012,815,76
Istanbul Technical University,Turkey,5860,832,1213,1350,582,1262,621,77
Università Ca' Foscari Venezia,Italy,5851,577,1180,1326,650,1312,806,78
Asia University Taiwan,Taiwan,5838,777,1236,1125,700,1063,937,79
University of Reading,United Kingdom,5831,726,1151,1626,600,863,865,80
Indiana University Bloomington,United States,5820,982,1032,1377,650,1062,717,81
Universidad Rey Juan Carlos,Spain,5792,759,951,1650,611,913,908,82
Universiti Utara Malaysia,Malaysia,5787,1013,1046,1353,785,1012,578,83
Universitas Negeri Semarang,Indonesia,5785,888,1223,1074,750,1062,788,84
Fundación Universidad del Norte Barranquilla,Colombia,5784,748,1150,1500,925,811,650,85
Mahidol University,Thailand,5782,829,1095,1302,560,1162,834,86
University of A Coruna,Spain,5782,732,1070,1551,600,913,916,87
University of Szeged,Hungary,5773,1076,1070,1575,775,963,314,88
Universidad Autonoma de Nuevo Leon,Mexico,5772,958,925,1626,615,1062,586,89
Chulalongkorn University,Thailand,5754,697,860,1452,620,1212,913,90
Universidad Autonoma de Madrid,Spain,5752,850,1212,1377,520,763,1030,91
Nanhua University Taiwan,Taiwan,5751,928,1116,1725,649,761,572,92
University of Massachusetts Amherst,United States,5749,893,818,1575,550,1162,751,93
De La Salle University - Dasmarinas,Philippines,5731,539,1288,1626,580,713,985,94
Universitas Sebelas Maret,Indonesia,5729,723,1328,1227,480,1062,909,95
Kasetsart University,Thailand,5706,758,835,1251,670,1162,1030,96
Anglia Ruskin University,United Kingdom,5696,690,1027,1626,725,1063,565,97
Webster University,United States,5689,953,978,1476,750,1063,469,98
National Taipei University of Technology,Taiwan,5689,1039,1085,1128,634,913,890,99
National Yunlin University of Science & Technology,Taiwan,5683,834,1019,1551,720,663,896,100
Universidad Nacional Autonoma de Mexico,Mexico,5677,915,1199,1401,583,1012,567,101
Glasgow Caledonian University,United Kingdom,5645,406,1118,1800,425,1163,733,102
Diponegoro University,Indonesia,5643,773,1132,1101,545,1062,1030,103
Universitat Politècnica de València (Polytechnic University of Valencia),Spain,5640,633,1175,1701,383,913,835,104
University of California Riverside,United States,5636,769,938,1701,725,1012,491,105
Universita degli Studi di Milano Bicocca,Italy,5632,568,754,1725,390,1262,933,106
Universiti Malaysia Pahang,Malaysia,5626,959,1345,849,430,1013,1030,107
Universitat de Girona,Spain,5619,387,1460,1452,425,1062,833,108
University Of Kashan,Iran,5619,905,1177,1203,575,1112,647,109
Universidad de Bogota Jorge Tadeo Lozano,Colombia,5609,529,1314,1401,500,963,902,110
Princess Nourah University,Saudi Arabia,5600,733,1036,1551,775,961,544,111
Universidad de Oviedo,Spain,5597,752,1051,1476,445,863,1010,112
Gordon College,United States,5596,901,1099,1476,656,813,651,113
Politecnico di Torino,Italy,5583,552,1136,1575,600,863,857,114
Yamaguchi University,Japan,5577,813,1093,1527,750,963,431,115
Universiti Tunku Abdul Rahman,Malaysia,5562,688,1135,1401,644,913,781,116
Kafrelsheikh University,Egypt,5556,651,1255,1275,750,1063,562,117
Universidade de Vigo,Spain,5546,737,1074,1302,565,1112,756,118
Osaka University,Japan,5525,780,795,1626,725,911,688,119
Metropolia University of Applied Sciences,Finlandia,5516,418,1133,1800,450,1013,702,120
Hochschule fur nachhaltige Entwicklung Eberswalde,Germany,5514,845,1215,1275,550,662,967,121
Rambhai Bhanni Rajabhat University,Thailand,5472,911,1165,1203,526,913,754,122
Edge Hill University,United Kingdom,5458,718,924,1275,600,963,978,123
Universidad Miguel Hernandez,Spain,5447,738,1224,1551,660,713,561,124
Liverpool John Moores University,United Kingdom,5438,645,964,1227,750,1112,740,125
Orel State University named after I.S.Turgenev,Russia,5437,679,1305,1176,570,963,744,126
Rochester Institute of Technology,United States,5432,899,1131,1227,548,963,664,127
MaynoothUniversity,Ireland,5407,799,932,1428,640,913,695,128
Universidad de Caldas,Colombia,5403,572,917,1701,510,1111,592,129
Universidad de Navarra,Spain,5397,775,901,1425,698,1013,585,130
Università degli Studi di Genova - Savona Campus,Italy,5396,584,1402,1275,560,663,912,131
"California State University, Sacramento",United States,5383,587,874,1350,775,1013,784,132
Universidad Autonoma de Puebla,Mexico,5380,501,940,1800,470,1212,457,133
Gorno Altaisk State University,Russia,5380,897,1034,1428,375,963,683,134
"ITESO, Universidad Jesuita de Guadalajara",Mexico,5380,558,1388,1452,416,863,703,135
National Cheng Kung University,Taiwan,5376,906,1109,1176,585,1013,587,136
Centro Universitario do Rio Grande do Norte UNI-RN,Brazil,5376,936,1180,1353,445,763,699,137
Stevens Institute of Technology,United States,5367,800,1108,1626,400,913,520,138
Aalborg University,Denmark,5358,668,967,1650,608,663,802,139
Southern Methodist University,United States,5334,1003,1119,975,510,811,916,140
Universitat Jaume I,Spain,5332,834,958,1203,650,1012,675,141
Slippery Rock University,United States,5314,717,869,1377,600,1062,689,142
Naresuan University,Thailand,5309,803,972,1251,651,861,771,143
I-Shou University,Taiwan,5298,513,1118,1449,726,861,631,144
Purchase College SUNY,United States,5295,964,1211,1227,400,813,680,145
University of Lincoln,United Kingdom,5291,491,1175,1551,650,812,612,146
University of Lucerne,Switzerland,5285,450,1086,1551,500,1113,585,147
Riga Technical University,Latvia,5281,757,1211,1278,420,913,702,148
Universidad de los Andes Colombia,Colombia,5278,740,1019,1203,459,1262,595,149
University of Louisiana at Lafayette,United States,5277,1001,1055,1227,520,963,511,150
Ben-Gurion University of the Negev,Israel,5261,885,791,1302,610,762,911,151
Goldsmiths University of London,United Kingdom,5258,456,1129,1701,650,762,560,152
Daffodil International University,Bangladesh,5247,649,987,1173,775,862,801,153
Universite Joseph Fourier Grenoble 1,France,5247,744,1034,1128,611,1012,718,154
University of Ontario Institute of Technology,Canada,5236,692,1134,1224,970,563,653,155
Mae Fah Luang University,Thailand,5230,899,1045,672,620,1012,982,156
Universidad de Valladolid,Spain,5208,500,1411,1377,460,962,498,157
Yuan Ze University,Taiwan,5199,539,995,1053,930,812,870,158
Teesside University,United Kingdom,5197,408,1067,1350,700,1113,559,159
Wentworth Institute of Technology,United States,5193,547,1126,1278,525,913,804,160
Brawijaya University,Indonesia,5191,766,1278,1026,435,762,924,161
Birkbeck University of London,United Kingdom,5190,487,863,1476,625,1163,576,162
University of San Francisco,United States,5186,453,679,1626,670,1063,695,163
Indian Institute of Information Technology and Management Gwalior,India,5183,774,1074,1200,290,1112,733,164
East Stroudsburg University,United States,5176,977,881,1626,595,763,334,165
Universidad de Santander,Colombia,5171,881,1107,1302,340,763,778,166
Universitas Islam Indonesia,Indonesia,5171,682,1408,1203,320,1012,546,167
Siam University,Thailand,5171,573,843,1224,700,1062,769,168
An-Najah National University,Palestine,5169,693,1182,951,655,1013,675,169
Universiti Teknikal Malaysia Melaka,Malaysia,5167,935,1216,1251,465,1012,288,170
Eindhoven University of Technology,Netherland,5163,609,1034,1275,390,912,943,171
University of York,United Kingdom,5163,706,906,1551,370,913,717,172
"Adam Mickiewicz University, Pozna?",Poland,5162,680,1137,1203,740,763,639,173
Technische Universitat Wien,Austria,5159,605,931,1275,650,1062,636,174
American University in Cairo,Egypt,5157,973,1048,1077,650,913,496,175
King Mongkuts University of Technology North Bangkok,Thailand,5153,433,1051,1350,617,1063,639,176
University of Ioannina,Greece,5132,1150,1065,1551,165,761,440,177
Universitat de Valencia,Spain,5129,640,895,1476,475,613,1030,178
University of Pecs,Hungary,5129,668,1173,1326,625,713,624,179
Universitat de Barcelona,Spain,5121,620,646,1650,530,963,712,180
University of Kent,United Kingdom,5120,719,1144,1326,440,963,528,181
Telkom University,Indonesia,5116,682,1181,1323,352,862,716,182
Maejo University,Thailand,5113,825,1192,1101,504,461,1030,183
Universitas Padjadjaran,Indonesia,5101,812,959,1299,875,761,395,184
Sumy State University,Ukraine,5095,907,1097,1251,550,613,677,185
Al-Farabi Kazakh National University,Kazakhstan,5089,855,1441,774,280,912,827,186
Universidade Federal de Vicosa - UFV,Brazil,5074,905,1054,1077,505,513,1020,187
Universitat Rovira i Virgili,Spain,5072,620,1093,1626,290,713,730,188
London School of Hygiene & Tropical Medicine,United Kingdom,5062,508,772,1575,320,1163,724,189
Bulent Ecevit University,Turkey,5061,813,874,1302,600,961,511,190
Loyola Marymount University,United States,5050,612,1011,1401,590,863,573,191
University of Central Florida,United States,5047,1018,588,1002,665,1112,662,192
Al-Balqa Applied University,Jordan,5037,889,1057,948,540,861,742,193
Ankara University,Turkey,5035,843,963,927,455,1112,735,194
Dhurakij Pundit University,Thailand,5032,629,939,1428,690,713,633,195
Lincoln University Canterbury,New Zealand,5020,838,717,1176,275,1013,1001,196
University Of Isfahan,Iran,5018,795,1232,1053,640,963,335,197
Universiy Of Kufa,Iraq,5014,483,1270,876,585,1163,637,198
University of Jordan,Jordan,5011,961,912,1101,269,1113,655,199
Tzu Chi University,Taiwan,5006,793,1142,1101,565,863,542,200
Tel Aviv University,Israel,5003,624,897,1176,525,1162,619,201
Universidad de la Punta,Argentina,5003,925,981,1725,220,812,340,202
Universita degli Studi di Brescia,Italy,5002,525,798,1374,345,1262,698,203
University of Texas Rio Grande Valley,United States,4990,655,561,1053,722,1112,887,204
Appalachian State University,United States,4989,787,669,1425,285,962,861,205
University of Tasmania,Australia,4985,832,1069,747,625,863,849,206
Universiti Kebangsaan Malaysia,Malaysia,4981,1053,688,1128,425,763,924,207
West Texas A&M University,United States,4974,490,842,1452,800,913,477,208
University of Hertfordshire,United Kingdom,4974,676,671,1500,775,913,439,209
Universidad de Ciencias Aplicadas y Ambientales UDCA,Colombia,4974,730,780,1500,620,511,833,210
Universidad Autónoma del Estado de Hidalgo,Mexico,4956,554,960,1200,453,962,827,211
Politecnico di Milano,Italy,4951,564,622,1626,380,762,997,212
Suranaree University of Technology,Thailand,4943,850,1247,597,470,763,1016,213
Pontificia Universidade Catolica do Rio de Janeiro PUC-RIO,Brazil,4943,790,509,1227,390,1162,865,214
University of Illinois Springfield,United States,4929,958,920,1278,370,962,441,215
Universidad Autonoma de Chiapas,Mexico,4923,628,789,1452,350,1112,592,216
Illinois State University,United States,4917,801,1221,1152,350,863,530,217
Russian State Pedagogical University AI Herzen (Gertsenovsky University),Russia,4915,741,1076,1125,370,1213,390,218
Perm National Research Polytechnic University,Russia,4893,850,1183,1053,340,863,604,219
Aix Marseille University,France,4891,794,922,1401,300,663,811,220
Manipal Academy of Higher,India,4885,682,750,1203,620,913,717,221
Universidad Icesi,Colombia,4883,758,868,1299,455,761,742,222
Pascual Bravo University,Colombia,4861,711,1184,1452,140,663,711,223
University of Maribor,Slovenia,4855,436,1027,1353,384,863,792,224
Yeditepe University,Turkey,4833,542,885,1575,430,961,440,225
Uman National University of Horticulture,Ukraine,4832,1063,1082,774,550,613,750,226
Thammasat University,Thailand,4827,798,714,1101,465,1013,736,227
Shiraz University,Iran,4827,852,849,876,580,1013,657,228
Silpakorn University,Thailand,4822,596,955,924,577,1063,707,229
Mahasarakham University,Thailand,4820,778,906,774,350,1013,999,230
Mangalore University,India,4815,844,1124,648,620,963,616,231
Minin University,Russia,4809,661,1229,999,145,1213,562,232
Ming Chi University of Technology,Taiwan,4798,1047,678,1251,375,811,636,233
Universitas Sumatera Utara,Indonesia,4796,858,1032,897,135,1062,812,234
University of Westminster,United Kingdom,4787,564,792,1401,621,913,496,235
Universitat de Vic - Universitat Central de Catalunya,Spain,4779,361,1528,1200,518,613,559,236
Universidad de Las Palmas de Gran Canaria,Spain,4774,732,937,1176,575,611,743,237
University of Maryland Eastern Shore,United States,4773,857,1185,1176,380,761,414,238
Holy Spirit University of Kaslik (USEK),Lebanon,4772,584,1105,1002,420,863,798,239
Universitas Multimedia Nusantara,Indonesia,4767,681,1023,1125,705,1013,220,240
Voronezh State University,Russia,4761,494,813,1452,250,1111,641,241
Universidad El Bosque,Colombia,4754,522,1141,975,591,913,612,242
Shanghai Jianqiao College,China,4752,831,1104,1200,530,913,174,243
Escuela Agricola Panamericana Zamorano,Honduras,4749,981,790,1227,363,763,625,244
Ton Duc Thang University,Vietnam,4747,583,1016,1176,500,813,659,245
University of North Carolina at Greensboro,United States,4746,819,895,1152,370,962,548,246
Tomsk Polytechnic University,Russia,4742,1014,853,672,300,913,990,247
Valahia University of Targoviste,Romania,4736,660,1195,1053,378,863,587,248
Far Eastern Federal University,Russia,4733,787,901,924,515,963,643,249
Oranim College of Education,Israel,4731,720,607,1575,400,761,668,250
University of North Carolina Wilmington,United States,4716,642,828,1053,750,1113,330,251
Universidad Nacional Abierta y a Distancia Colombia,Colombia,4712,348,1373,1152,550,463,826,252
University of Petra,Jordan,4699,632,1148,798,525,811,785,253
Fo Guang University,Taiwan,4686,850,1056,1176,496,811,297,254
Institucion Universitaria Politecnico Grancolombiano,Colombia,4685,696,900,1626,320,863,280,255
University of Babylon,Iraq,4682,820,1189,774,470,811,618,256
Dibrugarh University,India,4682,995,915,1149,310,763,550,257
University of Alabama Birmingham,United States,4681,663,641,1053,711,1013,600,258
University of Kelaniya,Sri Lanka,4680,439,1200,1128,605,711,597,259
Universiti Sains Malaysia,Malaysia,4676,910,709,801,650,761,845,260
Chang Jung Christian University,Taiwan,4674,801,688,1251,525,713,696,261
King Mongkuts University of Technology Thonburi,Thailand,4669,632,801,747,481,1063,945,262
Rajabhat Maha Sarakham University,Thailand,4667,603,881,924,455,1112,692,263
Universitas Riau,Indonesia,4666,944,1069,747,250,811,845,264
Tunghai University,Taiwan,4661,994,690,1101,250,763,863,265
Institute for Financial Management and Research Chennai,India,4655,939,1212,1224,636,362,282,266
Universidad de Jaén,Spain,4643,567,1060,675,520,1012,809,267
Northwest Missouri State University,United States,4630,836,644,1278,350,1013,509,268
Universita degli Studi di Bari Aldo Moro,Italy,4621,638,754,1377,500,813,539,269
King Mongkuts Institute of Technology Ladkrabang,Thailand,4615,633,940,999,370,1112,561,270
University of Agriculture Faisalabad,Pakistan,4613,821,829,672,400,861,1030,271
Universidad de Castilla la Mancha,Spain,4611,686,803,1050,455,663,954,272
Universita degli Studi di Ferrara,Italy,4611,493,1021,1302,390,813,592,273
University of North Texas,United States,4600,990,485,1227,275,863,760,274
Universita degli Studi Roma Tre,Italy,4585,408,1138,1125,410,762,742,275
Providence University,Taiwan,4579,750,805,1101,560,811,552,276
School of Oriental and African Studies University of London,United Kingdom,4578,359,731,1500,325,1163,500,277
Universidad Tecnologica de Pereira,Colombia,4575,727,1137,1053,600,511,547,278
National Chung Hsing University,Taiwan,4560,713,547,1551,455,563,731,279
Kalasalingam University,India,4559,960,1133,1275,425,513,253,280
Ferdowsi University of Mashhad,Iran,4559,907,1003,1101,210,1013,325,281
Al-Zaytoonah University of Jordan (zuj),Jordan,4548,694,1057,1050,396,963,388,282
Universidade de Santiago de Compostela,Spain,4537,624,856,1227,133,812,885,283
Sabanci University,Turkey,4536,908,1128,975,613,561,351,284
Pontificia Universidad Javeriana,Colombia,4536,430,1007,975,595,1212,317,285
"Islamic Azad University, Science and Research Branch (SRBIAU)",Iran,4532,932,997,1050,120,861,572,286
University of Lodz,Poland,4530,515,662,1098,330,1013,912,287
EAN university (Universidad EAN),Colombia,4529,350,1020,1302,447,812,598,288
Chiba University,Japan,4528,690,622,1353,588,563,712,289
Moscow State Institute of International Relations,Russia,4518,655,849,1101,350,1013,550,290
University of Cyprus,Cyprus,4517,933,865,1200,410,613,496,291
Universitas Mataram,Indonesia,4514,912,1084,1176,300,613,429,292
Universidad Santiago de Cali,Colombia,4513,590,1189,1101,555,813,265,293
Universita degli Studi di Salerno,Italy,4512,545,635,1401,340,913,678,294
Erciyes University,Turkey,4510,950,877,573,441,913,756,295
Technische Universitat Bergakademie Freiberg,Germany,4509,748,669,1425,445,513,709,296
Ozyegin University,Turkey,4505,604,956,699,710,1013,523,297
UNIVERSIDAD POPULAR DE LA CHONTALPA,Mexico,4497,596,1448,873,340,861,379,298
Universita della Calabria,Italy,4493,942,736,1323,0,963,529,299
Universidad San Francisco de Quito,Ecuador,4481,472,757,1251,320,1213,468,300
Institute of Technology Bandung,Indonesia,4479,582,1085,1176,320,813,503,301
Roskilde University / Roskilde Universitet,Denmark,4474,785,750,1125,440,913,461,302
National Institute of Technology Rourkela,India,4468,918,744,897,580,963,366,303
Ariel University,Israel,4467,700,659,1401,320,1013,374,304
Tra Vinh University,Vietnam,4465,596,1144,1176,621,563,365,305
Birzeit University,Palestine,4458,789,1014,849,625,613,568,306
University of Bahrain,Bahrain,4457,978,638,1023,340,813,665,307
Universidad Nacional de San Martin Argentina,Argentina,4451,516,892,951,350,813,929,308
Shepherd University,United States,4448,813,810,1251,280,813,481,309
Universidad de Zaragoza,Spain,4445,653,1044,1200,255,513,780,310
Amirkabir University of Technology,Iran,4442,357,753,1101,440,1213,578,311
Universidade do Vale do Itajai UNIVALI,Brazil,4437,556,546,1350,320,811,854,312
University of Phayao,Thailand,4427,911,921,747,285,561,1002,313
Universita degli Studi di Roma La Sapienza,Italy,4427,703,977,852,124,1162,609,314
University of Alabama Huntsville,United States,4426,770,812,1077,660,612,495,315
Nanzan University,Japan,4425,621,832,1326,340,863,443,316
Universidad EAFIT,Colombia,4421,545,635,1377,470,663,731,317
National Institute of Technology Hamirpur,India,4421,820,567,1200,630,813,391,318
Andalas University,Indonesia,4416,789,891,924,350,761,701,319
University of Kragujevac,Serbia,4407,627,840,1227,670,663,380,320
North Eastern University,Thailand,4401,604,899,849,265,961,823,321
Eötvös Loránd University Budapest,Hungary,4400,602,381,1575,260,813,769,322
Universidad de Puerto Rico Mayaguez,Puerto Rico,4397,755,797,1152,320,863,510,323
Petrozavodsk State University,Russia,4393,564,960,597,500,1013,759,324
"Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais",Brazil,4387,933,974,849,410,513,708,325
University of Guilan,Iran,4384,856,1032,897,695,711,193,326
Russian State Agrarian University - Moscow Timiryazev Agricultural Academy,Russia,4384,1023,717,924,425,863,432,327
Universitat Duisburg Essen,Germany,4374,719,309,1425,400,861,660,328
Universidad de Alicante,Spain,4371,396,671,1425,407,913,559,329
The University of the West Indies,Trinidad Tobago,4371,861,761,672,410,863,804,330
Central Connecticut State University,United States,4369,725,837,1227,325,811,444,331
Jordan University of Science & Technology,Jordan,4369,764,728,999,510,811,557,332
Politecnico di Bari,Italy,4362,500,713,849,390,1011,899,333
Escuela Superior Politecnica del Litoral,Ecuador,4362,806,782,873,540,912,449,334
"Laucala Campus, University of the South Pacific",Fiji,4359,720,646,1101,320,863,709,335
University of Tennessee Martin,United States,4359,1041,719,1002,348,463,786,336
Pontificia Universidad Catolica del Peru,Peru,4358,432,1200,1026,505,763,432,337
Blekinge Institute of Technology,Sweden,4356,644,985,1176,400,813,338,338
Universita IUAV di Venezia,Italy,4352,610,859,903,205,963,812,339
University of Arid Agriculture Rawalpindi,Pakistan,4351,888,791,924,385,661,702,340
University of the Arts London,United Kingdom,4333,522,903,1251,375,563,719,341
Universidad EIA,Colombia,4332,475,1047,774,704,862,470,342
Ege University,Turkey,4331,829,527,1128,120,1013,714,343
Karl Franzens Universitat Graz,Austria,4325,638,717,924,503,763,780,344
Southern Utah University,United States,4320,350,566,1452,598,863,491,345
Brandenburgische Technische Universitat Cottbus,Germany,4314,636,907,1026,260,813,672,346
Universita Politecnica delle Marche,Italy,4311,376,914,1251,650,661,459,347
Pontificia Universidade Catolica do Parana,Brazil,4289,963,600,1302,110,913,401,348
Soochow University Taiwan,Taiwan,4265,608,608,1251,450,861,487,349
Universidad Pontificia Comillas,Spain,4264,475,702,1350,675,563,499,350
CUNY Brooklyn College,United States,4248,649,500,1152,550,911,486,351
University of TRIESTE,Italy,4247,569,653,1476,350,611,588,352
Unitec Institute of Technology,New Zealand,4241,721,626,978,320,863,733,353
Universidade Estadual de Londrina,Brazil,4238,795,675,1302,360,511,595,354
Al-Aqsa University,Palestine,4233,582,924,597,445,1013,672,355
Bogazici University,Turkey,4231,874,886,750,350,863,508,356
Universidade Federal do Rio Grande do Sul - UFRGS,Brazil,4227,476,782,1278,40,1013,638,357
Kobe University,Japan,4227,661,725,1275,450,611,505,358
Universidad de Salamanca,Spain,4222,402,983,1050,395,863,529,359
Airlangga University,Indonesia,4218,400,742,999,240,1162,675,360
Skyline College,United States,4218,503,693,1275,500,811,436,361
Pontificia Universidade Catolica do Rio Grande do Sul PUCRS,Brazil,4213,555,425,1251,382,913,687,362
New Granada Military University,Colombia,4212,395,1247,1275,395,362,538,363
Universite de Versailles Saint Quentin en Yvelines,France,4209,614,657,1149,295,812,682,364
Universita degli Studi di Padova,Italy,4204,607,592,1374,370,862,399,365
TOBB Economics and Technology University,Turkey,4203,767,914,900,420,861,341,366
Bangkok University,Thailand,4197,729,1074,975,234,611,574,367
University of Arkansas Little Rock,United States,4192,980,708,774,325,863,542,368
National Dong Hwa University,Taiwan,4188,1026,589,1149,340,863,221,369
"National Institute of Technology Karnataka, Surathkal",India,4187,1096,891,747,450,863,140,370
Murray State University,United States,4176,891,563,1326,320,913,163,371
Mutah University,Jordan,4160,673,489,873,310,1013,802,372
Bowie State University,United States,4158,752,765,924,380,863,474,373
Altai State University,Russia,4153,895,543,951,550,763,451,374
Babes Bolyai University,Romania,4153,697,522,999,370,1062,503,375
University of Macedonia,Greece,4142,375,690,1551,105,963,458,376
Pacific Union College,United States,4126,889,669,1425,595,262,286,377
Atyrau State University,Kazakhstan,4109,594,976,648,350,811,730,378
Siberian Federal University,Russia,4109,849,846,822,192,861,539,379
Ubon Ratchathani Rajabhat University,Thailand,4104,996,1078,849,140,463,578,380
Winthrop University,United States,4101,861,792,876,350,763,459,381
Rajamangala University of Technology Thanyaburi,Thailand,4095,670,675,849,445,913,543,382
Hitit University,Turkey,4094,810,819,951,330,812,372,383
National Taipei University of Education,Taiwan,4094,567,622,1050,698,662,495,384
Xavier University Ateneo de Cagayan,Philippines,4093,841,911,1026,330,411,574,385
Tecnologico de Monterrey,Mexico,4087,712,946,522,420,1062,425,386
Akhmet Yassawi University,Kazakhstan,4085,999,843,597,395,863,388,387
Santo Tomas university,Colombia,4082,591,935,900,303,711,642,388
Universitas Negeri Medan,Indonesia,4072,608,854,1152,245,563,650,389
University of Malta,Mexico,4066,530,986,1101,370,861,218,390
Indian Institute of Technology Madras,India,4064,797,708,1176,249,761,373,391
World Maritime University,Sweden,4060,556,380,1200,400,913,611,392
