World Rank,Institution,Location,National Rank,Education Rank,Employability Rank,Faculty Rank,Research Rank,Score,Year
1634,Brooklyn College,USA,308,251,1375,-,1605,67.2,2019
1635,Dalarna University,Sweden,17,-,-,-,1569,67.2,2019
1636,Sakarya University,Turkey,38,-,-,-,1570,67.2,2019
1637,Meiji University,Japan,110,-,716,-,1611,67.2,2019
1638,Wichita State University,USA,309,-,846,-,1589,67.2,2019
1639,Jiangsu University of Science and Technology,China,200,-,-,-,1571,67.2,2019
1640,Hongik University,South Korea,54,-,1145,-,1578,67.2,2019
1641,Rowan University,USA,310,-,-,-,1572,67.2,2019
1642,Utah Valley University,USA,311,-,-,-,1574,67.2,2019
1643,Academy of Scientific & Innovative Research,India,40,-,-,-,1575,67.1,2019
1644,Ariel University,Israel,8,-,-,-,1576,67.1,2019
1645,Inner Mongolia University,China,201,-,-,-,1579,67.1,2019
1646,Pontifical Catholic University of Paraná,Brazil,40,-,1420,-,1580,67.1,2019
1647,Karlstad University,Sweden,18,-,1047,-,1584,67.1,2019
1648,Manisa Celal Bayar University,Turkey,39,-,-,-,1581,67.1,2019
1649,Technical University of Crete,Greece,12,-,-,-,1582,67.1,2019
1650,Towson University,USA,312,-,773,-,1610,67.1,2019
1651,Gheorghe Asachi Technical University of Iaşi,Romania,9,-,-,-,1585,67.1,2019
1652,Kanagawa University,Japan,111,-,-,-,1586,67.1,2019
1653,Technological University Dublin,Ireland,9,-,771,-,1618,67.1,2019
1654,Semnan University,Iran,28,-,-,-,1587,67.1,2019
1655,Danube University Krems,Austria,16,-,-,-,1588,67.1,2019
1656,"Indian Institute of Technology (Indian School of Mines), Dhanbad",India,41,-,704,-,1634,67.1,2019
1657,Sookmyung Women's University,South Korea,55,-,1166,-,1592,67.1,2019
1658,Başkent University,Turkey,40,-,-,-,1590,67.1,2019
1659,University of Malta,Malta,1,-,-,-,1593,67.1,2019
1660,University of Madras,India,42,434,511,-,1690,67.1,2019
1661,Sonoma State University,USA,313,-,-,-,1594,67.1,2019
1662,Pamukkale University,Turkey,41,-,-,-,1595,67.1,2019
1663,"University of Djillali Liabès, Sidi Bel-Abbès",Algeria,2,-,-,-,1596,67.1,2019
1664,European University Institute,Italy,59,-,-,-,1597,67.1,2019
1665,Gangneung-Wonju National University,South Korea,56,-,-,-,1598,67.1,2019
1666,Wellesley College,USA,314,-,552,-,1669,67.1,2019
1667,Lanzhou University of Technology,China,202,-,-,-,1599,67.1,2019
1668,Union College,USA,315,213,154,-,-,67,2019
1669,"Goldsmiths, University of London",United Kingdom,86,204,-,-,1650,67,2019
1670,Institut d'Optique Graduate School,France,83,-,-,-,1600,67,2019
1671,University of Molise,Italy,60,-,-,-,1601,67,2019
1672,Tunghai University,Taiwan,31,-,1366,-,1602,67,2019
1673,Duquesne University,USA,316,-,859,-,1625,67,2019
1674,National Defense Medical College,Japan,112,-,-,-,1606,67,2019
1675,Cyprus University of Technology,Cyprus,2,-,-,-,1607,67,2019
1676,Chapman University,USA,317,-,785,-,1632,67,2019
1677,Shanxi Medical University,China,203,-,-,-,1608,67,2019
1678,Federal University of Mato Grosso,Brazil,41,-,-,-,1609,67,2019
1679,University of Zielona Góra,Poland,29,-,-,-,1613,67,2019
1680,École nationale supérieure de chimie de Montpellier,France,84,-,-,-,1614,67,2019
1681,Kütahya Dumlupınar University,Turkey,42,-,-,-,1615,67,2019
1682,Yantai University,China,204,-,-,-,1616,67,2019
1683,University of Bialystok,Poland,30,-,-,-,1619,67,2019
1684,University of Dhaka,Bangladesh,1,-,-,-,1620,67,2019
1685,St. Lawrence University,USA,318,-,98,-,-,67,2019
1686,Institut supérieur de l'aéronautique et de l'espace,France,85,-,189,-,-,67,2019
1687,Changchun University of Science and Technology,China,205,-,-,-,1622,67,2019
1688,Clausthal University of Technology,Germany,68,-,599,-,1680,67,2019
1689,University of the West of Scotland,United Kingdom,87,-,-,-,1623,67,2019
1690,University of Paris-Est Marne-la-Vallée,France,86,-,-,-,1624,67,2019
1691,Shaanxi University of Science and Technology,China,206,-,1172,-,1629,67,2019
1692,University of Valle,Colombia,7,-,-,-,1626,67,2019
1693,Chubu University,Japan,113,-,-,-,1627,66.9,2019
1694,Jamia Millia Islamia,India,43,-,-,-,1628,66.9,2019
1695,Federal University of Ouro Preto,Brazil,42,-,-,-,1630,66.9,2019
1696,National United University,Taiwan,32,-,-,-,1633,66.9,2019
1697,Guglielmo Marconi University,Italy,61,-,-,-,1635,66.9,2019
1698,University of Westminster,United Kingdom,88,446,995,-,1641,66.9,2019
1699,North University of China,China,207,-,-,-,1636,66.9,2019
1700,University of Nova Gorica,Slovenia,3,-,-,-,1637,66.9,2019
1701,University of Alaska Anchorage,USA,319,-,-,-,1638,66.9,2019
1702,Federal University of Rio Grande,Brazil,43,-,-,-,1639,66.9,2019
1703,ISCTE – University Institute of Lisbon,Portugal,11,-,586,-,1707,66.9,2019
1704,Yazd University,Iran,29,-,-,-,1640,66.9,2019
1705,Guilin University of Electronic Technology,China,208,-,-,-,1642,66.9,2019
1706,Eulji University,South Korea,57,-,-,-,1643,66.9,2019
1707,Autonomous University of the State of Morelos,Mexico,12,-,-,-,1644,66.9,2019
1708,Liaoning University of Technology,China,209,-,-,-,1645,66.9,2019
1709,University of the Highlands and Islands,United Kingdom,89,-,-,-,1646,66.9,2019
1710,Nagaoka University of Technology,Japan,114,-,-,-,1647,66.9,2019
1711,University of Koblenz-Landau,Germany,69,-,-,-,1648,66.9,2019
1712,University of Karachi,Pakistan,7,-,-,-,1649,66.9,2019
1713,Appalachian State University,USA,320,-,1381,-,1652,66.9,2019
1714,King Saud bin Abdulaziz University for Health Sciences,Saudi Arabia,5,-,-,-,1651,66.9,2019
1715,IE University,Spain,51,-,144,-,-,66.9,2019
1716,Chengdu University of Technology,China,210,-,-,-,1653,66.9,2019
1717,Kansai University,Japan,115,-,863,-,1677,66.9,2019
1718,Xinjiang Medical University,China,211,-,-,-,1654,66.8,2019
1719,Federation University Australia,Australia,38,-,-,-,1655,66.8,2019
1720,Amrita Vishwa Vidyapeetham,India,44,-,-,-,1656,66.8,2019
1721,Osaka Medical College,Japan,116,-,-,-,1657,66.8,2019
1722,Le Mans University,France,87,-,-,-,1658,66.8,2019
1723,Annamalai University,India,45,485,-,-,1659,66.8,2019
1724,Thapar Institute of Engineering and Technology,India,46,-,-,-,1660,66.8,2019
1725,Guangdong Medical University,China,212,-,-,-,1661,66.8,2019
1726,Liaoning University,China,213,-,1027,-,1667,66.8,2019
1727,National Yunlin University of Science and Technology,Taiwan,33,-,-,-,1662,66.8,2019
1728,Western Kentucky University,USA,321,-,-,-,1663,66.8,2019
1729,Xavier University,USA,322,-,114,-,-,66.8,2019
1730,Yunnan Normal University,China,214,-,-,-,1664,66.8,2019
1731,Indian Institute of Technology Hyderabad,India,47,-,-,-,1665,66.8,2019
1732,College of Staten Island,USA,323,-,-,-,1666,66.8,2019
1733,Mendel University in Brno,Czech Republic,9,-,-,-,1668,66.8,2019
1734,Polytechnic Institute of Porto,Portugal,12,-,-,-,1670,66.8,2019
1735,Federal Rural University of Rio de Janeiro,Brazil,44,-,-,-,1671,66.8,2019
1736,University of Burgos,Spain,52,-,-,-,1672,66.8,2019
1737,Dicle University,Turkey,43,-,-,-,1673,66.8,2019
1738,Rosalind Franklin University of Medicine and Science,USA,324,-,-,-,1674,66.8,2019
1739,China Three Gorges University,China,215,-,1163,-,1681,66.8,2019
1740,Sunchon National University,South Korea,58,-,-,-,1675,66.8,2019
1741,University of Notre Dame Australia,Australia,39,-,-,-,1676,66.8,2019
1742,National Chiayi University,Taiwan,34,-,-,-,1678,66.8,2019
1743,University of Cassino and Southern Lazio,Italy,62,-,-,-,1679,66.8,2019
1744,Guru Nanak Dev University,India,48,-,1303,-,1682,66.7,2019
1745,"Institute of Chemical Technology, Mumbai",India,49,-,-,-,1683,66.7,2019
1746,National University of Tucumán,Argentina,10,-,-,-,1684,66.7,2019
1747,Nanchang Hangkong University,China,216,-,-,-,1686,66.7,2019
1748,Van Yüzüncü Yıl University,Turkey,44,-,-,-,1687,66.7,2019
1749,"West Pomeranian University of Technology, Szczecin",Poland,31,-,-,-,1688,66.7,2019
1750,Menoufia University,Egypt,13,-,-,-,1689,66.7,2019
1751,SOAS University of London,United Kingdom,90,141,825,-,1815,66.7,2019
1752,Royal Military College of Canada,Canada,39,-,1125,-,1698,66.7,2019
1753,Gebze Technical University,Turkey,45,-,-,-,1692,66.7,2019
1754,Wrocław University of Environmental and Life Sciences,Poland,32,-,-,-,1694,66.7,2019
1755,Federal University of Mato Grosso do Sul,Brazil,45,-,-,-,1695,66.7,2019
1756,Shandong University of Technology,China,217,-,1293,-,1697,66.7,2019
1757,National Changhua University of Education,Taiwan,35,-,-,-,1696,66.7,2019
1758,Federal University of Campina Grande,Brazil,46,-,-,-,1699,66.7,2019
1759,University of Rajasthan,India,50,-,1460,-,1701,66.7,2019
1760,University of North Texas Health Science Center,USA,325,-,-,-,1700,66.7,2019
1761,Anhui Agricultural University,China,218,-,-,-,1702,66.7,2019
1762,St. Marianna University School of Medicine,Japan,117,-,-,-,1703,66.7,2019
1763,Suranaree University of Technology,Thailand,9,-,-,-,1704,66.7,2019
1764,XLRI - Xavier School of Management,India,51,-,84,-,-,66.7,2019
1765,Bharathiar University,India,52,-,1329,-,1706,66.7,2019
1766,Cheikh Anta Diop University of Dakar,Senegal,1,-,-,-,1705,66.7,2019
1767,University of Mazandaran,Iran,30,-,-,-,1708,66.7,2019
1768,University of San Diego,USA,326,-,384,-,1839,66.7,2019
1769,Mazandaran University of Medical Sciences,Iran,31,-,-,-,1710,66.6,2019
1770,İnönü University,Turkey,46,-,-,-,1711,66.6,2019
1771,Western Norway University of Applied Sciences,Norway,11,-,-,-,1712,66.6,2019
1772,Çanakkale Onsekiz Mart University,Turkey,47,-,-,-,1713,66.6,2019
1773,University of Ostrava,Czech Republic,10,-,-,-,1715,66.6,2019
1774,Harbin University of Science and Technology,China,219,-,-,-,1717,66.6,2019
1775,Urmia University,Iran,32,-,-,-,1718,66.6,2019
1776,Cracow University of Technology,Poland,33,-,-,-,1719,66.6,2019
1777,Yangtze University,China,220,-,918,-,1729,66.6,2019
1778,Kawasaki Medical School,Japan,118,-,-,-,1720,66.6,2019
1779,Hanbat National University,South Korea,59,-,-,-,1721,66.6,2019
1780,Florida Agricultural and Mechanical University,USA,327,-,-,-,1722,66.6,2019
1781,Sivas Cumhuriyet University,Turkey,48,-,-,-,1723,66.6,2019
1782,Shanghai Maritime University,China,221,-,564,-,1770,66.6,2019
1783,Beni Suef University,Egypt,14,-,-,-,1724,66.6,2019
1784,Northeast Ohio Medical University,USA,328,-,-,-,1725,66.6,2019
1785,Alfaisal University,Saudi Arabia,6,-,-,-,1726,66.6,2019
1786,Jimma University,Ethiopia,4,-,-,-,1727,66.6,2019
1787,Ahmadu Bello University,Nigeria,2,-,1195,-,1730,66.6,2019
1788,Autonomous University of Chile,Chile,13,-,-,-,1731,66.6,2019
1789,University of Northern British Columbia,Canada,40,-,-,-,1733,66.6,2019
1790,Shanghai Institute of Technology,China,222,-,-,-,1734,66.6,2019
1791,"Indian Institute of Science Education and Research, Thiruvananthapuram",India,53,-,-,-,1735,66.6,2019
1792,Sohag University,Egypt,15,-,-,-,1736,66.6,2019
1793,University of La Réunion,France,88,-,-,-,1738,66.6,2019
1794,Ludong University,China,223,-,-,-,1739,66.6,2019
1795,University of West Bohemia,Czech Republic,11,-,-,-,1740,66.6,2019
1796,Liaoning Normal University,China,224,-,1383,-,1741,66.5,2019
1797,Indian Institute of Technology Indore,India,54,-,-,-,1742,66.5,2019
1798,Shenyang Agricultural University,China,225,-,-,-,1743,66.5,2019
1799,Kosin University,South Korea,60,-,-,-,1744,66.5,2019
1800,Interdisciplinary Center Herzliya,Israel,9,-,498,-,1826,66.5,2019
1801,Gakushuin University,Japan,119,-,272,-,1998,66.5,2019
1802,University of Agriculture in Krakow,Poland,34,-,-,-,1745,66.5,2019
1803,Southern University and A&M College,USA,329,-,-,-,1746,66.5,2019
1804,Far Eastern Federal University,Russia,17,-,-,-,1747,66.5,2019
1805,Eduardo Mondlane University,Mozambique,1,-,-,-,1748,66.5,2019
1806,University of Peshawar,Pakistan,8,-,-,-,1749,66.5,2019
1807,Baqiyatallah University of Medical Sciences,Iran,33,-,-,-,1750,66.5,2019
1808,University of Technology of Belfort-Montbéliard,France,89,-,-,-,1752,66.5,2019
1809,Open University of Catalonia,Spain,53,-,-,186,-,66.5,2019
1810,University of Life Sciences in Lublin,Poland,35,-,-,-,1754,66.5,2019
1811,University of Nigeria,Nigeria,3,-,1435,-,1756,66.5,2019
1812,"Victor Babeș University of Medicine and Pharmacy, Timișoara",Romania,10,-,-,-,1755,66.5,2019
1813,Tohoku Fukushi University,Japan,120,-,-,126,-,66.5,2019
1814,Nara Women's University,Japan,121,-,-,-,1757,66.5,2019
1815,Tezpur University,India,55,-,-,-,1758,66.5,2019
1816,Ss. Cyril and Methodius University in Skopje,North Macedonia,1,-,-,-,1760,66.5,2019
1817,University of Pannonia,Hungary,8,-,-,-,1761,66.5,2019
1818,Mediterranean University of Reggio Calabria,Italy,63,-,-,-,1762,66.5,2019
1819,"California State University, Sacramento",USA,330,-,659,-,1807,66.5,2019
1820,University of Richmond,USA,331,-,-,-,1763,66.5,2019
1821,Kanazawa Medical University,Japan,122,-,-,-,1764,66.5,2019
1822,PETRONAS University of Technology,Malaysia,8,-,-,-,1765,66.4,2019
1823,Kermanshah University of Medical Sciences,Iran,34,-,-,-,1766,66.4,2019
1824,Xi'an University of Architecture and Technology,China,226,-,826,-,1789,66.4,2019
1825,Meharry Medical College,USA,332,131,-,-,1918,66.4,2019
1826,Gettysburg College,USA,333,125,186,-,-,66.4,2019
1827,"National Institute of Pharmaceutical Education and Research, S.A.S. Nagar",India,56,-,-,-,1768,66.4,2019
1828,Aydın Adnan Menderes University,Turkey,49,-,-,-,1769,66.4,2019
1829,Peoples' Friendship University of Russia,Russia,18,-,971,-,1784,66.4,2019
1830,Catholic University of Portugal,Portugal,13,-,581,-,1834,66.4,2019
1831,Hebei Agricultural University,China,227,-,-,-,1771,66.4,2019
1832,University of Rzeszów,Poland,36,-,-,-,1772,66.4,2019
1833,Pontifical Catholic University of Peru,Peru,2,-,1152,-,1777,66.4,2019
1834,National Pingtung University of Science and Technology,Taiwan,36,-,-,-,1773,66.4,2019
1835,AgroSup Dijon,France,90,-,-,-,1774,66.4,2019
1836,University of Winnipeg,Canada,41,-,-,-,1775,66.4,2019
1837,Sophia University,Japan,123,-,347,-,1966,66.4,2019
1838,Toyohashi University of Technology,Japan,124,-,-,-,1776,66.4,2019
1839,Federal University of Alagoas,Brazil,47,-,-,-,1778,66.4,2019
1840,Chia Nan University of Pharmacy & Science,Taiwan,37,-,-,-,1779,66.4,2019
1841,Mimar Sinan Fine Arts University,Turkey,50,-,-,-,1780,66.4,2019
1842,Oslo Metropolitan University,Norway,12,-,-,-,1781,66.4,2019
1843,University of Québec at Chicoutimi,Canada,42,-,-,-,1782,66.4,2019
1844,Transilvania University of Brașov,Romania,11,-,-,-,1783,66.4,2019
1845,South Dakota School of Mines and Technology,USA,334,205,-,-,1832,66.4,2019
1846,Hunan University of Science and Technology,China,228,-,-,-,1785,66.4,2019
1847,Zhejiang Chinese Medical University,China,229,-,-,-,1787,66.4,2019
1848,University of Colorado Colorado Springs,USA,335,-,-,-,1788,66.4,2019
1849,SUNY Maritime College,USA,336,-,165,-,-,66.3,2019
1850,Free University of Bozen-Bolzano,Italy,64,-,-,-,1790,66.3,2019
1851,Autonomous University of Baja California,Mexico,13,-,-,-,1791,66.3,2019
1852,University of Veracruz,Mexico,14,-,-,-,1792,66.3,2019
1853,Technical University of Ostrava,Czech Republic,12,-,706,-,1824,66.3,2019
1854,Duy Tan University,Vietnam,3,-,-,-,1793,66.3,2019
1855,University of Hawaii at Hilo,USA,337,-,-,-,1794,66.3,2019
1856,University of North Florida,USA,338,-,-,-,1795,66.3,2019
1857,Hatay Mustafa Kemal University,Turkey,51,-,-,-,1796,66.3,2019
1858,Bahauddin Zakariya University,Pakistan,9,-,-,-,1797,66.3,2019
1859,Siberian Federal University,Russia,19,-,-,-,1798,66.3,2019
1860,University of Ruhuna,Sri Lanka,2,-,-,-,1799,66.3,2019
1861,Vilnius Gediminas Technical University,Lithuania,4,-,-,-,1800,66.3,2019
1862,Minya University,Egypt,16,-,-,-,1801,66.3,2019
1863,Henan University of Technology,China,230,-,-,-,1802,66.3,2019
1864,Indian Institute of Technology Gandhinagar,India,57,-,-,-,1803,66.3,2019
1865,National University of Kaohsiung,Taiwan,38,-,-,-,1804,66.3,2019
1866,Davidson College,USA,339,-,138,-,-,66.3,2019
1867,Federal University of Piauí,Brazil,48,-,-,-,1805,66.3,2019
1868,University of South-Eastern Norway,Norway,13,-,-,-,1806,66.3,2019
1869,Bharathidasan University,India,58,-,-,-,1808,66.3,2019
1870,Bahir Dar University,Ethiopia,5,-,-,-,1809,66.3,2019
1871,Kennesaw State University,USA,340,-,-,-,1810,66.3,2019
1872,University of Kurdistan,Iran,35,-,-,-,1812,66.3,2019
1873,University of Cartagena,Colombia,8,-,-,-,1813,66.3,2019
1874,Morehouse School of Medicine,USA,341,-,-,-,1814,66.3,2019
1875,Tokyo University of Agriculture,Japan,125,-,-,-,1816,66.3,2019
1876,University of Talca,Chile,14,-,-,-,1817,66.2,2019
1877,Edinburgh Napier University,United Kingdom,91,-,-,-,1818,66.2,2019
1878,University of Jammu,India,59,-,-,-,1819,66.2,2019
1879,Grand Valley State University,USA,342,-,-,-,1820,66.2,2019
1880,Federal University of Triângulo Mineiro,Brazil,49,-,-,-,1821,66.2,2019
1881,Istanbul Bilgi University,Turkey,52,-,-,-,1822,66.2,2019
1882,Federal University of Amazonas,Brazil,50,-,-,-,1823,66.2,2019
1883,University of the Pacific,USA,343,-,1017,-,1831,66.2,2019
1884,USI - University of Italian Speaking Switzerland,Switzerland,12,-,-,227,-,66.2,2019
1885,Kyoto University of Education,Japan,126,-,-,-,1825,66.2,2019
1886,University of Kinshasa,Democratic Republic of the Congo,1,-,-,-,1827,66.2,2019
1887,Asahikawa Medical University,Japan,127,-,-,-,1828,66.2,2019
1888,Chongqing Normal University,China,231,-,-,-,1829,66.2,2019
1889,Iona College,USA,344,-,194,-,-,66.2,2019
1890,Tokyo University of Marine Science and Technology,Japan,128,-,879,-,1849,66.2,2019
1891,National Institute of Mental Health and Neurosciences,India,60,-,-,-,1830,66.2,2019
1892,University of Pardubice,Czech Republic,13,-,-,-,1833,66.2,2019
1893,University of Chinese Academy of Social Sciences,China,232,-,92,-,-,66.2,2019
1894,National Chi Nan University,Taiwan,39,-,-,-,1835,66.2,2019
1895,Homi Bhabha National Institute,India,61,-,-,-,1836,66.2,2019
1896,Birzeit University,Palestine,1,-,-,-,1837,66.2,2019
1897,Konan University,Japan,129,-,950,-,1851,66.2,2019
1898,Guangdong Pharmaceutical University,China,233,-,-,-,1840,66.2,2019
1899,University of Roehampton,United Kingdom,92,-,-,-,1841,66.2,2019
1900,Sree Chitra Tirunal Institute for Medical Sciences and Technology,India,62,-,-,-,1842,66.2,2019
1901,Ningxia Medical University,China,234,-,-,-,1843,66.2,2019
1902,Humanitas University,Italy,65,-,-,235,2000,66.2,2019
1903,Harbin Normal University,China,235,-,1446,-,1844,66.1,2019
1904,Beijing Technology and Business University,China,236,-,964,-,1859,66.1,2019
1905,The New School,USA,345,492,-,-,1846,66.1,2019
1906,Simmons University,USA,346,-,-,-,1845,66.1,2019
1907,Dongbei University of Finance and Economics,China,237,-,130,-,-,66.1,2019
1908,University of Bergamo,Italy,66,-,-,-,1847,66.1,2019
1909,Jilin Agricultural University,China,238,-,-,-,1848,66.1,2019
1910,Acadia University,Canada,43,426,458,-,1968,66.1,2019
1911,Daegu University,South Korea,61,-,-,-,1850,66.1,2019
1912,Polytechnic Institute of Bragança,Portugal,14,-,-,-,1852,66.1,2019
1913,University of Desarrollo,Chile,15,-,-,-,1853,66.1,2019
1914,Sam Houston State University,USA,347,-,1387,-,1854,66.1,2019
1915,Alborz University of Medical Sciences,Iran,36,-,-,-,1855,66.1,2019
1916,Yeditepe University,Turkey,53,-,-,-,1856,66.1,2019
1917,Mae Fah Luang University,Thailand,10,-,-,-,1857,66.1,2019
1918,"Indian Institute of Science Education and Research, Bhopal",India,63,-,-,-,1858,66.1,2019
1919,Lyon 2 University,France,91,-,1049,-,1865,66.1,2019
1920,École nationale supérieure de formation de l’enseignement agricole,France,92,-,-,-,1860,66.1,2019
1921,"Indian Institute of Engineering Science and Technology, Shibpur",India,64,-,-,-,1861,66.1,2019
1922,Benha University,Egypt,17,-,-,-,1862,66.1,2019
1923,Guilin University of Technology,China,239,-,-,-,1863,66.1,2019
1924,Pakistan Institute of Engineering and Applied Sciences,Pakistan,10,-,-,-,1864,66.1,2019
1925,Zhengzhou University of Light Industry,China,240,-,-,-,1866,66.1,2019
1926,Tshwane University of Technology,South Africa,13,-,-,-,1867,66.1,2019
1927,Kettering University,USA,348,-,108,-,-,66.1,2019
1928,Jönköping University,Sweden,19,-,1448,-,1868,66.1,2019
1929,University of the Azores,Portugal,15,-,-,-,1870,66.1,2019
1930,Yerevan State University,Armenia,1,-,-,-,1872,66.1,2019
1931,École centrale de Nantes,France,93,-,-,-,1873,66,2019
1932,Josip Juraj Strossmayer University of Osijek,Croatia,4,-,-,-,1874,66,2019
1933,Bahçeşehir University,Turkey,54,-,-,-,1875,66,2019
1934,Ferhat Abbas Sétif University 1,Algeria,3,-,-,-,1876,66,2019
1935,V. N. Karazin Kharkiv National University,Ukraine,2,523,-,-,1877,66,2019
1936,Pondicherry University,India,65,-,-,-,1878,66,2019
1937,Open University of the Netherlands,Netherlands,14,-,-,-,1879,66,2019
1938,Kahramanmaraş Sütçü İmam University,Turkey,55,-,-,-,1880,66,2019
1939,Polytechnic University of Timișoara,Romania,12,-,-,-,1881,66,2019
1940,Sichuan Normal University,China,241,-,-,-,1882,66,2019
1941,Bates College,USA,349,-,188,-,-,66,2019
1942,Necmettin Erbakan University,Turkey,56,-,-,-,1883,66,2019
1943,Connecticut College,USA,350,-,137,-,-,66,2019
1944,University of Lagos,Nigeria,4,-,-,-,1884,66,2019
1945,Istanbul Aydın University,Turkey,57,-,-,-,1885,66,2019
1946,University of Havana,Cuba,1,-,-,-,1886,66,2019
1947,Middlebury College,USA,351,-,686,-,1930,66,2019
1948,American University in Cairo,Egypt,18,-,301,-,-,66,2019
1949,Lebanese University,Lebanon,2,-,-,-,1887,66,2019
1950,North Carolina A&T State University,USA,352,-,-,-,1888,66,2019
1951,Xinxiang Medical University,China,242,-,-,-,1890,66,2019
1952,International University of Health and Welfare,Japan,130,-,-,-,1891,66,2019
1953,Santa Catarina State University,Brazil,51,-,938,-,1899,66,2019
1954,Antioch College,USA,353,52,-,-,-,66,2019
1955,Kyonggi University,South Korea,62,-,-,-,1892,66,2019
1956,Corvinus University of Budapest,Hungary,9,-,315,-,-,66,2019
1957,China West Normal University,China,243,-,-,-,1893,66,2019
1958,Central University of Finance and Economics,China,244,-,838,-,1915,66,2019
1959,Technical University of Košice,Slovak Republic,4,-,-,-,1894,65.9,2019
1960,Chung Hua University,Taiwan,40,-,-,-,1895,65.9,2019
1961,University of Sharjah,United Arab Emirates,3,-,-,-,1896,65.9,2019
1962,Çağ University,Turkey,58,-,-,-,1897,65.9,2019
1963,Leeds Beckett University,United Kingdom,93,-,-,-,1898,65.9,2019
1964,Szent István University,Hungary,10,-,-,-,1900,65.9,2019
1965,Kerman University of Medical Sciences,Iran,37,-,-,-,1901,65.9,2019
1966,École des hautes études en santé publique,France,94,-,-,-,1902,65.9,2019
1967,Yanbian University,China,245,-,-,-,1903,65.9,2019
1968,Shanghai University of Electric Power,China,246,-,-,-,1904,65.9,2019
1969,Hashemite University,Jordan,3,-,-,-,1905,65.9,2019
1970,Federal University of Maranhão,Brazil,52,-,-,-,1906,65.9,2019
1971,Athens University of Economics and Business,Greece,13,-,1323,-,1909,65.9,2019
1972,Shanxi Normal University,China,247,-,-,-,1908,65.9,2019
1973,University of Wolverhampton,United Kingdom,94,-,-,-,1910,65.9,2019
1974,Kunsan National University,South Korea,63,-,-,-,1911,65.9,2019
1975,Sri Ramachandra Institute of Higher Education and Research,India,66,-,-,-,1912,65.9,2019
1976,American University of Sharjah,United Arab Emirates,4,-,-,-,1913,65.9,2019
1977,Bolu Abant İzzet Baysal University,Turkey,59,-,-,-,1914,65.9,2019
1978,Tôn Đức Thắng University,Vietnam,4,-,-,-,1916,65.9,2019
1979,Taibah University,Saudi Arabia,7,-,-,-,1917,65.9,2019
1980,University of Massachusetts Dartmouth,USA,354,-,1106,-,1926,65.9,2019
1981,Częstochowa University of Technology,Poland,37,-,-,-,1919,65.9,2019
1982,"California State Polytechnic University, Pomona",USA,355,-,-,-,1920,65.9,2019
1983,Asian Institute of Technology,Thailand,11,-,306,-,-,65.9,2019
1984,Catholic Kwandong University,South Korea,64,-,-,-,1921,65.9,2019
1985,University of Piraeus,Greece,14,-,996,-,1936,65.9,2019
1986,Bezmialem Vakıf University,Turkey,60,-,-,-,1922,65.9,2019
1987,Jamia Hamdard,India,67,-,-,-,1923,65.8,2019
1988,Minzu University of China,China,248,-,-,-,1924,65.8,2019
1989,Technical University of Cluj-Napoca,Romania,13,-,-,-,1925,65.8,2019
1990,Loyola Marymount University,USA,356,-,835,-,1952,65.8,2019
1991,Colby College,USA,357,-,318,-,-,65.8,2019
1992,Institut national des sciences appliquées de Rennes,France,95,-,-,-,1927,65.8,2019
1993,University of Primorska,Slovenia,4,-,-,-,1928,65.8,2019
1994,Linyi University,China,249,-,-,-,1929,65.8,2019
1995,Pace University,USA,358,-,205,-,-,65.8,2019
1996,University of Klagenfurt,Austria,17,-,-,-,1931,65.8,2019
1997,National University of Río Cuarto,Argentina,11,-,-,-,1932,65.8,2019
1998,Osmania University,India,68,505,1035,-,1942,65.8,2019
1999,Muğla Sıtkı Koçman University,Turkey,61,-,-,-,1933,65.8,2019
2000,Government College University Faisalabad,Pakistan,11,-,-,-,1934,65.8,2019
